"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","sex","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","414833","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Chloraea","arechavaletae","Chloraea arechavaletae","Kraenzl.","F. W. L. Kraenzlin","P. K. H. Dusén","6685","1908","09","08","South America","Brazil","Paraná","Curitiba","Curitiba","-49.2731","-25.4281","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=741033' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414833","NY00414833_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","414837","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Chloraea","pennicillata","Chloraea pennicillata","Rchb.f.","M. N. Correa","P. K. H. Dusén","15495","1914","09","05","South America","Brazil","Paraná","Curitiba","Curitiba","-49.2731","-25.4281","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408801' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414837","NY00414837_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:46:07-03","NBC","NL-BOTANY","L.1500106","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Chloraea","teixeirana","Chloraea teixeirana","(Barb.Rodr.) Cogn.",NA,"Dusén PKH",NA,"1914","09","05","Southern America","Brazil",NA,NA,"Plantae Brasilienses. Parana: Curityba, in campo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1500106 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1500106","NL-L1500106","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:26:31-03","IAP","PACA-AGP","27211","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb. F.) Cisternas & Salazar","C.R. Buzatto","Rambo, B.",NA,"1944","09","07",NA,"Brasil","RS","Porto Alegre","Morro da Polícia","-51.2299995422363","-30.0331001281738",NA,"Habitat: In campestribus graminosis Fenofase: flor","PACA027211",NA,"Liliatae","2012","03","07","29946","auto",NA,NA,NA,NA
"5","2019-08-27 13:26:31-03","IAP","PACA-AGP","368","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb. F.) Cisternas & Salazar","C.R. Buzatto","Rambo, B.",NA,"1932","10","05",NA,"Brasil","RS","Porto Alegre","M. da Glória","-51.2299995422363","-30.0331001281738",NA,"Habitat: in campo Fenofase: flor","PACA000368",NA,"Liliatae","2013","03","07","29946","auto",NA,NA,NA,NA
"6","2019-08-27 13:26:31-03","IAP","PACA-AGP","30623","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb. F.) Cisternas & Salazar","C.R. Buzatto","Rambo, B.",NA,"1945","11","27",NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,"Habitat: In campestribus graminosis Fenofase: flor","PACA030623",NA,"Liliatae","2013","03","07","29946","auto",NA,NA,NA,NA
"7","2019-08-27 13:26:31-03","IAP","PACA-AGP","27211","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb. F.) Cisternas & Salazar","C.R. Buzatto","Rambo, B.",NA,"1944","09","07",NA,"Brasil","RS","Porto Alegre","Morro da Polícia","-51.2299995422363","-30.0331001281738",NA,"Habitat: In campestribus graminosis Fenofase: flor","PACA027211",NA,"Liliatae","2012","03","07","29946","auto",NA,NA,NA,NA
"8","2019-08-27 13:26:31-03","IAP","PACA-AGP","368","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb. F.) Cisternas & Salazar","C.R. Buzatto","Rambo, B.",NA,"1932","10","05",NA,"Brasil","RS","Porto Alegre","M. da Glória","-51.2299995422363","-30.0331001281738",NA,"Habitat: in campo Fenofase: flor","PACA000368",NA,"Liliatae","2013","03","07","29946","auto",NA,NA,NA,NA
"9","2019-08-27 13:26:31-03","IAP","PACA-AGP","30623","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb. F.) Cisternas & Salazar","C.R. Buzatto","Rambo, B.",NA,"1945","11","27",NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,"Habitat: In campestribus graminosis Fenofase: flor","PACA030623",NA,"Liliatae","2013","03","07","29946","auto",NA,NA,NA,NA
"10","2020-10-14 10:04:04-03","FURB","FURB","2574","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Geoblasta","penicillata","Geoblasta penicillata","(Rchb.f.) Hoehne ex M.N.Correa","Mancinelli, WS","Esemann-Quadros, K.",NA,"1998","01","08",NA,"Chile","Ñuble","Chillán","Termas de Chillan.",NA,NA,NA,NA,"FURB03835","FURB03835",NA,"2010","01","25",NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:38:28-03","MBM","MBM","213786","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Geoblasta","penicillata","Geoblasta penicillata","(Reichb. f.) Hoehne ex M.D. Correa","Buzatto, C.R.","Tessmann, G.","3357","1948","09","19","Southern America","Brazil","Paraná","Curitiba",NA,"-49.2731018066406","-25.4277992248535",NA,"Erva. Campo. Isolado e raro. Flor sépalas e pétalas verde claro com veias verde-escuras; lábio no fundo, por cima da cor carmim-pardo escuro; coluna verde internas amarelo. Floresc. setembro. Unicata","MBM213786","MBM213786",NA,"2010","11","01","25180","auto",NA,NA,NA,NA
"12","2020-12-21 16:38:28-03","MBM","MBM","49066","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Geoblasta","penicillata","Geoblasta penicillata","(Reichb. f.) Hoehne ex M.D. Correa","Buzatto, C.R.","Hatschbach, G.","166","1945","09",NA,"Southern America","Brazil","Paraná","Ponta Grossa","Vila Velha","-50.1618995666504","-25.0949993133545",NA,"Terrestre, do campo. Flor verde","MBM049066","MBM049066",NA,"2010","11",NA,"46557","auto",NA,NA,NA,NA
"13","2015-09-03 19:54:10-03","MNHN","RECOLNAT_MNHN_P","P00372173","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb.f.) Cisternas & Salazar","Batista","Gay, C.",NA,"1828","9",NA,NA,"Uruguay",NA,NA,"Montevideo",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372173' target='other'> <mi>dwc_moreinfo</mi></a>","P00372173","P00372173_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2015-09-03 19:54:09-03","MNHN","RECOLNAT_MNHN_P","P00372174","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb.f.) Cisternas & Salazar","Batista","Fruchard, C.",NA,"1875","8","31",NA,"Uruguay",NA,NA,"Montevideo",NA,NA,"hb","Reçu le 15 mai 1883 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372174' target='other'> <mi>dwc_moreinfo</mi></a>","P00372174","P00372174_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2015-09-18 20:25:42-03","MNHN","RECOLNAT_MNHN_P","P00372175","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb.f.) Cisternas & Salazar","Batista","Fruchard, C.",NA,"1876","8","22",NA,"Uruguay",NA,NA,"La Pan",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372175' target='other'> <mi>dwc_moreinfo</mi></a>","P00372175","P00372175_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2015-09-03 19:32:36-03","MNHN","RECOLNAT_MNHN_P","P00372178","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb.f.) Cisternas & Salazar","Batista","Fruchard, C.",NA,"1871","8",NA,NA,"Uruguay",NA,NA,"Carasco",NA,NA,"hb","Reçu le 15 mai 1883. 3 récoltes, part associée avec P00372176 et P00372177 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372178' target='other'> <mi>dwc_moreinfo</mi></a>","P00372178","P00372178_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2015-09-03 19:50:28-03","MNHN","RECOLNAT_MNHN_P","P00372179","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb.f.) Cisternas & Salazar","Batista","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Uruguay",NA,NA,"Banda Oriental del Uruguay",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372179' target='other'> <mi>dwc_moreinfo</mi></a>","P00372179","P00372179_01",NA,NA,NA,NA,NA,NA,"C2 2140",NA,NA,NA
"18","2015-09-03 19:32:36-03","MNHN","RECOLNAT_MNHN_P","P00372180","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb.f.) Cisternas & Salazar","Batista","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Province de Rio Grande do Sul",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372180' target='other'> <mi>dwc_moreinfo</mi></a>","P00372180","P00372180_01",NA,NA,NA,NA,NA,NA,"C2 2037",NA,NA,NA
"19","2015-09-03 19:54:09-03","MNHN","RECOLNAT_MNHN_P","P00372181","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb.f.) Cisternas & Salazar","Batista","Nadeaud, J.",NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372181' target='other'> <mi>dwc_moreinfo</mi></a>","P00372181","P00372181_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2015-09-03 19:54:09-03","MNHN","RECOLNAT_MNHN_P","P00372182","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb.f.) Cisternas & Salazar","Batista","Dusén, P.",NA,"1914","9","5",NA,"Brésil",NA,NA,"Parana: Curitiba, in campo",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372182' target='other'> <mi>dwc_moreinfo</mi></a>","P00372182","P00372182_01",NA,NA,NA,NA,NA,NA,"15495",NA,NA,NA
"21","2015-09-03 20:01:57-03","MNHN","RECOLNAT_MNHN_P","P00372183","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb.f.) Cisternas & Salazar","Batista","Gonnot",NA,"1893",NA,NA,NA,"Argentine",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372183' target='other'> <mi>dwc_moreinfo</mi></a>","P00372183","P00372183_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2015-09-03 19:54:10-03","MNHN","RECOLNAT_MNHN_P","P00372173","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb.f.) Cisternas & Salazar","Batista","Gay, C.",NA,"1828","9",NA,NA,"Uruguay",NA,NA,"Montevideo",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372173' target='other'> <mi>dwc_moreinfo</mi></a>","P00372173","P00372173_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-09-03 19:54:09-03","MNHN","RECOLNAT_MNHN_P","P00372174","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb.f.) Cisternas & Salazar","Batista","Fruchard, C.",NA,"1875","8","31",NA,"Uruguay",NA,NA,"Montevideo",NA,NA,"hb","Reçu le 15 mai 1883 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372174' target='other'> <mi>dwc_moreinfo</mi></a>","P00372174","P00372174_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2015-09-18 20:25:42-03","MNHN","RECOLNAT_MNHN_P","P00372175","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb.f.) Cisternas & Salazar","Batista","Fruchard, C.",NA,"1876","8","22",NA,"Uruguay",NA,NA,"La Pan",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372175' target='other'> <mi>dwc_moreinfo</mi></a>","P00372175","P00372175_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2015-09-03 19:32:36-03","MNHN","RECOLNAT_MNHN_P","P00372178","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb.f.) Cisternas & Salazar","Batista","Fruchard, C.",NA,"1871","8",NA,NA,"Uruguay",NA,NA,"Carasco",NA,NA,"hb","Reçu le 15 mai 1883. 3 récoltes, part associée avec P00372176 et P00372177 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372178' target='other'> <mi>dwc_moreinfo</mi></a>","P00372178","P00372178_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2015-09-03 19:50:28-03","MNHN","RECOLNAT_MNHN_P","P00372179","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb.f.) Cisternas & Salazar","Batista","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Uruguay",NA,NA,"Banda Oriental del Uruguay",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372179' target='other'> <mi>dwc_moreinfo</mi></a>","P00372179","P00372179_01",NA,NA,NA,NA,NA,NA,"C2 2140",NA,NA,NA
"27","2015-09-03 19:32:36-03","MNHN","RECOLNAT_MNHN_P","P00372180","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb.f.) Cisternas & Salazar","Batista","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Province de Rio Grande do Sul",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372180' target='other'> <mi>dwc_moreinfo</mi></a>","P00372180","P00372180_01",NA,NA,NA,NA,NA,NA,"C2 2037",NA,NA,NA
"28","2015-09-03 19:54:09-03","MNHN","RECOLNAT_MNHN_P","P00372181","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb.f.) Cisternas & Salazar","Batista","Nadeaud, J.",NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372181' target='other'> <mi>dwc_moreinfo</mi></a>","P00372181","P00372181_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2015-09-03 19:54:09-03","MNHN","RECOLNAT_MNHN_P","P00372182","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb.f.) Cisternas & Salazar","Batista","Dusén, P.",NA,"1914","9","5",NA,"Brésil",NA,NA,"Parana: Curitiba, in campo",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372182' target='other'> <mi>dwc_moreinfo</mi></a>","P00372182","P00372182_01",NA,NA,NA,NA,NA,NA,"15495",NA,NA,NA
"30","2015-09-03 20:01:57-03","MNHN","RECOLNAT_MNHN_P","P00372183","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bipinnula","penicillata","Bipinnula penicillata","(Rchb.f.) Cisternas & Salazar","Batista","Gonnot",NA,"1893",NA,NA,NA,"Argentine",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372183' target='other'> <mi>dwc_moreinfo</mi></a>","P00372183","P00372183_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2015-09-03 19:32:36-03","MNHN","RECOLNAT_MNHN_P","P00372176","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Geoblasta","penicillata","Geoblasta penicillata","(Rchb.f.) Hoehne ex M.N.Correa","Correa","Fruchard, C.",NA,"1871","8",NA,NA,"Uruguay",NA,NA,"Montevideo",NA,NA,"hb","Reçu le 15 mai 1883. 3 récoltes, part associée avec P00372177 et P00372178 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372176' target='other'> <mi>dwc_moreinfo</mi></a>","P00372176","P00372176_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2015-09-03 19:32:36-03","MNHN","RECOLNAT_MNHN_P","P00372177","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Geoblasta","penicillata","Geoblasta penicillata","(Rchb.f.) Hoehne ex M.N.Correa","Correa","Fruchard, C.",NA,"1871","8",NA,NA,"Uruguay",NA,NA,"Rincon del Cerro",NA,NA,"hb","Reçu le 15 mai 1883. 3 récoltes, part associée avec P00372176 et P00372178 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372177' target='other'> <mi>dwc_moreinfo</mi></a>","P00372177","P00372177_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2015-09-03 19:54:09-03","MNHN","RECOLNAT_MNHN_P","P00372184","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Geoblasta","penicillata","Geoblasta penicillata","(Rchb.f.) Hoehne ex M.N.Correa","Correa","Gonnot",NA,"1893",NA,NA,NA,"Argentine",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00372184' target='other'> <mi>dwc_moreinfo</mi></a>","P00372184","P00372184_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
