"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2020-09-23 10:38:47-03","E","E","305592","PreservedSpecimen","Plantae","Dryopteridaceae","Elaphoglossum","edwallii","Elaphoglossum edwallii","Sano, P.T.; Laessoe, T.","1992","02","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:313928","<a href=http://data.rbge.org.uk/herb/E00305592 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00305592",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","886030","PreservedSpecimen","Plantae","Dryopteridaceae","Elaphoglossum","edwallii","Elaphoglossum edwallii","G. G. Hatschbach","1969","04","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=974137' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886030","Pteridophyta","Polypodiales","Rosenst.","A. Sehnem","21350","Paraná","Balsa Nova","Serra S'Ana","-49.6356","-25.5842","1100","1100","NY00886030_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","810670","PreservedSpecimen","Plantae","Dryopteridaceae","Elaphoglossum","edwallii","Elaphoglossum edwallii","A. C. Brade","1929","10",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807003' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810670","Pteridophyta","Polypodiales","Rosenst.",NA,"9762","Rio de Janeiro","Teresópolis","Pedra Chapadão","-42.9656","-22.4122",NA,NA,"NY00810670_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","810668","PreservedSpecimen","Plantae","Dryopteridaceae","Elaphoglossum","edwallii","Elaphoglossum edwallii","P. T. Sano","1992","02","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807001' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810668","Pteridophyta","Polypodiales","Rosenst.","E. J. Prado","P52347","Bahia","Abaíra","Tijuquinho","-41.9","-13.27","1700","1800","NY00810668_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","720554","PreservedSpecimen","Plantae","Dryopteridaceae","Elaphoglossum","edwallii","Elaphoglossum edwallii","N. F. de O. Mota","2007","11","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2517756' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720554","Pteridophyta","Polypodiales","Rosenst.",NA,"1043","Minas Gerais",NA,"Alagoa","-44.7608","-22.2078","2225",NA,"NY00720554_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02597038","PreservedSpecimen","Plantae","Dryopteridaceae","Elaphoglossum","edwallii","Elaphoglossum edwallii","P. G. Windisch","1992","03","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2870402' target='other'> <mi>dwc_moreinfo</mi></a>","NY02597038","Pteridophyta","Polypodiales","Rosenst.",NA,"6836","São Paulo",NA,"Campos da Bocaina, Serra do Mar (acesso Campos de Cunha e Macacos).","-44.83","-22.92","1500","1500","NY02597038_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1039020","PreservedSpecimen","Plantae","Dryopteridaceae","Elaphoglossum","edwallii","Elaphoglossum edwallii","P. C. Porto","1937","02","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1479261' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039020","Pteridophyta","Polypodiales","Rosenst.","A. C. Brade","3022","São Paulo","Campos do Jordao","Campos de Jordão","-45.540301","-22.687374",NA,NA,"NY01039020_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1018924","PreservedSpecimen","Plantae","Dryopteridaceae","Elaphoglossum","edwallii","Elaphoglossum edwallii","R. Engelmann","2005","02","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1264790' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018924","Pteridophyta","Polypodiales","Rosenst.","F. B. Matos","RE258","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Plot 18.","-43","-22.4542",NA,NA,"NY01018924_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","810669","PreservedSpecimen","Plantae","Dryopteridaceae","Elaphoglossum","edwallii","Elaphoglossum edwallii","J. N. Rose","1915","07","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807002' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810669","Pteridophyta","Polypodiales","Rosenst.","A. F. Rojas Alvarado","20482","Rio de Janeiro","Itatiaia","Vicinity of Itatiaya","-44.5631","-22.4961","2000","2000","NY00810669_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","810667","PreservedSpecimen","Plantae","Dryopteridaceae","Elaphoglossum","edwallii","Elaphoglossum edwallii","J. Prado","2000","06","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807000' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810667","Pteridophyta","Polypodiales","Rosenst.","J. T. Mickel","1123","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, subida do Pico das Agulhas Negras","-44.67","-22.38","2397","2397","NY00810667_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
