"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","verbatimLongitude","verbatimLatitude","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","4445","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Macrolobium","cidii","Macrolobium cidii","Barneby","isotype","C. A. Cid Ferreira","5980","1985","05","02","South America","Brazil","Amazonas","Município de Novo Aripuana, BR 230. Rodovia Transamazônica a 400 km de Humaitá. Projeto INCRA-Rio Juma, vicinal Corujá a 25 km da Transamazônica.","-60","-7.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=317371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00004445","NY00004445_01 NY00004445_02",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:41:03-03","EAO","IAN","178931","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Detarioideae","Macrolobium","cidii","Macrolobium cidii","Barneby",NA,"Freitas, JC; Carmo, NAS do; Oliveira, JCL de; Silva-e-Silva, AE","139","2003","05","08","Southern America","Brasil","Pará","Campo Experimental da Embrapa Amazônia Oriental, rodovia PA 150, Km 34.","-5.420861","-2.180861",NA,"Árvore de 10m alt. x 10cm DAP; base com raízes aéreas do tipo suporte; tronco cilindrico; ritidoma marrom claro e escuro, desprendendo em placas; lenticelas verticais; casca morta marrom escura, 1mm espess.; casca viva creme, >3mm espe","IAN178931",NA,"Félix-da-Silva, MM","2015","12","Moju","-5.420861","-2.180861",NA,NA
"3","2021-04-08 17:41:03-03","EAO","IAN","FRUTO187","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Detarioideae","Macrolobium","cidii","Macrolobium cidii","Barneby",NA,"Freitas, JC; Carmo, NAS do; Oliveira, JCL de; Silva-e-Silva, AE","139","2003","05","08","Southern America","Brasil","Pará","Campo Experimental da Embrapa Amazônia Oriental, rodovia PA 150, Km 34.","-5.420861","-2.180861",NA,"Árvore de 10m alt. x 10cm DAP; base com raízes aéreas do tipo suporte; tronco cilindrico; ritidoma marrom claro e escuro, desprendendo em placas; lenticelas verticais; casca morta marrom escura, 1mm espess.; casca viva creme, >3mm es","IANFRUTO187",NA,"Félix-da-Silva, MM","2015","12","Moju","-5.420861","-2.180861",NA,NA
"4","2020-08-31 08:51:53-03","INPA","INPA","127446","S","Plantae","Dicotyledon","Fabales","Leguminosae-Caes","Macrolobium","cidii","Macrolobium cidii","Barneby","holotype","Ferreira, CAC","5980","1985","05","02","Southern America","Brasil","Amazonas","BR 230, 400 km de Humaitá, INCRA Rio Juma, BR 230. Rodovia Transamazônica a 400 Km de Humaitá. Vicinal a 25 km da Transamazônica.","-60","-7.25",NA,NA,"INPA0127446","INPA0127446 INPA0127446_e INPA0127446_s INPA0127446_se","Félix-da-Silva, MM","2015","01","Novo Aripuanã","-60","-7.25",NA,NA
"5","2020-09-12 05:00:02-03","US","US","3232441","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Macrolobium","cidii","Macrolobium cidii","Barneby","Isotype","C. A. Cid Ferreira","5980","1985","5","2","South America - Neotropics","Brazil","Amazonas","Br 230. rod Transamazonica a 400 km de Humaita, projecto Incra-rio juma, vicinal coruja a 25 km da Transamaz.","-60","-7.25",NA,NA,"US00385870","US00385870_01",NA,NA,NA,"Novo Aripuanã",NA,NA,"Dicotyledonae","1"
"6","2020-05-08 11:11:32-03","UEFS","HUEFS","191096","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Detarioideae","Macrolobium","cidii","Macrolobium cidii","Barneby",NA,"Bonadeu, F.","644","2012","07","17",NA,"Brasil","Amazonas","Comunidade de Assunção do Rio Içana.","-67.594722","-1.079722",NA,NA,"HUEFS0191096",NA,"F.Bonadeu",NA,NA,"São Gabriel da Cachoeira","67W35'41''","1S4'47''","Rosanae",NA
"7","2019-09-04 18:33:03-03","F","FMNH-SEEDPLANTS","V0057833F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Macrolobium","cidii","Macrolobium cidii",NA,"Isotype","C. A. Cid Ferreira","5980","1985","5","2","South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,"V0057833F","V0057833F_01",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
