"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","barcode","imagecode","scientificNameAuthorship","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","order","identifiedBy","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","continentOcean","typeStatus","individualCount","fieldNumber","sex","preparationType"
"1","2020-11-04 10:59:58-03","ESALQ","ESA","98376","PreservedSpecimen","Plantae","Magnoliophyta","Apocynaceae","Oxypetalum","confusum","Oxypetalum confusum","Schwarz, E.A.","765.0","2000","01","21","Brasil","Paraná","Palmeiras","ESA098376","ESA098376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:35:23-03","MN","R","215854","PreservedSpecimen","Plantae",NA,"Apocynaceae","Oxypetalum","confusum","Oxypetalum confusum","Schwarz, E.A.","771","2000","01","21","Brasil","Paraná","Palmeira",NA,NA,"Malme","-50.0064010620117","-25.4293994903564","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:35:23-03","MN","R","95052","PreservedSpecimen","Plantae",NA,"Apocynaceae","Oxypetalum","confusum","Oxypetalum confusum","Dusén, P.K.H.","3074 b","1904","01","07","Brasil","Paraná","Ponta Grossa",NA,NA,"Malme","-50.1618995666504","-25.0949993133545","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:34:16-03","IAP","PACA-AGP","2890","PreservedSpecimen","Plantae","Magnoliophyta","Apocynaceae","Oxypetalum","confusum","Oxypetalum confusum","Rambo, B.",NA,"1938","01","28","Brasil","RS","Caaró","PACA002890",NA,"Malme",NA,NA,NA,NA,"Magnoliopsida","Gentianales","Emrich-Rambo","1954","05","10","São Luiz","Habitat: in siccis graminosis erecta Fenofase: flor",NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:34:16-03","IAP","PACA-AGP","28205","PreservedSpecimen","Plantae","Magnoliophyta","Apocynaceae","Oxypetalum","confusum","Oxypetalum confusum","Rambo, B.",NA,"1945","03",NA,"Brasil","RS","Nonoai","PACA028205",NA,"Malme","-52.7714004516602","-27.3617000579834","35080","auto","Magnoliopsida","Gentianales","Emrich-Rambo","1954","05","10","ad fl. Uruguai","Habitat: in siccis graminosis erecta Fenofase: flor",NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:34:16-03","IAP","PACA-AGP","28206","PreservedSpecimen","Plantae","Magnoliophyta","Apocynaceae","Oxypetalum","confusum","Oxypetalum confusum","Rambo, B.",NA,"1945","03",NA,"Brasil","RS","Nonoai","PACA028206",NA,"Malme","-52.7714004516602","-27.3617000579834","35080","auto","Magnoliopsida","Gentianales","Emrich-Rambo","1954","05","10","ad fl. Uruguai","SEM MATERIAL Habitat: in siccis graminosis erecta Fenofase: flor",NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:34:16-03","IAP","PACA-AGP","53019","PreservedSpecimen","Plantae","Magnoliophyta","Apocynaceae","Oxypetalum","confusum","Oxypetalum confusum","Rambo, B.",NA,"1942","11","17","Brasil","RS","Santo Ângelo","PACA053019",NA,"Malme","-54.2630996704102","-28.2992000579834","25915","auto","Magnoliopsida","Gentianales","Emrich-Rambo","1954","05","10",NA,"Habitat: in campestribus graminosis Fenofase: flor",NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:12:47-03","MBM","MBM","2585","PreservedSpecimen","Plantae",NA,"Apocynaceae","Oxypetalum","confusum","Oxypetalum confusum","Hatschbach, G.","15340","1966","12","10","Brazil","Paraná","Palmeira","MBM002585","MBM002585","Malme","-50.0064010620117","-25.4293994903564","35166","auto",NA,NA,"Farinaccio, M.A.","2000","05",NA,"Rio Capivara","Do campo seco; flor alvecente com pétalas e sápalas esverdeadas. Unicata.","Southern America",NA,NA,NA,NA,NA
"9","2020-12-21 16:12:47-03","MBM","MBM","45913","PreservedSpecimen","Plantae",NA,"Apocynaceae","Oxypetalum","confusum","Oxypetalum confusum","Krapovickas, A.; Cristóbal, C.L.; Cristóbal, C.L.","28962","1976","01","27","Argentina",NA,NA,"MBM045913","MBM045913","Malme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA
"10","2020-12-21 16:12:47-03","MBM","MBM","44614","PreservedSpecimen","Plantae",NA,"Apocynaceae","Oxypetalum","confusum","Oxypetalum confusum","Hatschbach, G.","15539","1966","12","16","Brazil","Paraná","Laranjeiras do Sul","MBM044614","MBM044614","Malme","-52.4160995483398","-25.4078006744385","28404","auto",NA,NA,"Farinaccio, M.A.","2000","05",NA,"Laranjeiras do Sul, arredores","Do campo pedregoso. Flor alva, sepalas e pétalas esverdeadas. Unicata.","Southern America",NA,NA,NA,NA,NA
