"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1921374","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Deuterocohnia","meziana","meziana","Deuterocohnia meziana meziana","Kuntze ex Mez","N. Schütz","M. H. Nee","35601","1987","08","08","South America","Bolivia","Santa Cruz","Florida","On road from Comapara to Mariana, 1 km S of Los Negros.","-64.12","-18.07","1350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2272573' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921374","NY01921374_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1921376","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Deuterocohnia","meziana",NA,"Deuterocohnia meziana","Kuntze ex Mez","N. Schütz","M. H. Nee","53741","2005","12","10","South America","Bolivia","Santa Cruz","Manuel María Caballero","5.4 km (by road) E of Saipina on road to Pulquina.","-64.5428","-18.0939","1465","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2272578' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921376","NY01921376_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","873210","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Deuterocohnia","meziana",NA,"Deuterocohnia meziana","Kuntze ex Mez","R. C. Forzza","J. E. de Paula","1853","1985","09","12","South America","Brazil","Mato Grosso do Sul","Corumbá","Corumbá","-57.6531","-19.0094",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953221' target='other'> <mi>dwc_moreinfo</mi></a>","NY00873210","NY00873210_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1921390","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Deuterocohnia","meziana",NA,"Deuterocohnia meziana","Kuntze ex Mez","N. Schütz","M. H. Nee","35574","1987","08","07","South America","Bolivia","Santa Cruz","Manuel María Caballero","7 km from Saipina, E side of Rio Mizque, near archaeological pictograph site.","-64.58","-18.17","1450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2273426' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921390","NY01921390_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","247066","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Deuterocohnia","meziana",NA,"Deuterocohnia meziana","Kuntze ex Mez",NA,"C. E. O. Kuntze","s.n.","1892","08",NA,"South America","Brazil","Mato Grosso do Sul","Corumbá","Corumbá","-57.6531","-19.0094",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535751' target='other'> <mi>dwc_moreinfo</mi></a>","NY00247066","NY00247066_01","possible holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","247065","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Deuterocohnia","meziana",NA,"Deuterocohnia meziana","Kuntze ex Mez",NA,"C. E. O. Kuntze","s.n.","1892","08",NA,"South America","Brazil","Mato Grosso do Sul","Corumbá","Corumbá","-57.6531","-19.0094",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535750' target='other'> <mi>dwc_moreinfo</mi></a>","NY00247065","NY00247065_01","possible holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","873209","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Deuterocohnia","meziana",NA,"Deuterocohnia meziana","Kuntze ex Mez","R. C. Forzza","J. E. de Paula","1769","1984","06","02","South America","Brazil","Mato Grosso do Sul","Corumbá","Corumbá","-57.6531","-19.0094",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953218' target='other'> <mi>dwc_moreinfo</mi></a>","NY00873209","NY00873209_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1921375","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Deuterocohnia","meziana",NA,"Deuterocohnia meziana","Kuntze ex Mez","N. Schütz","M. H. Nee","50662","1999","11","26","South America","Bolivia","Santa Cruz","Manuel María Caballero","3 km (by air) WSW of Comarapa, 2.9 km by road from highway at Comarapa, on gravel road to Chiló.","-64.55","-17.92","1960","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2272575' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921375","NY01921375_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","873208","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Deuterocohnia","meziana",NA,"Deuterocohnia meziana","Kuntze ex Mez","L. B. Smith","G. G. Hatschbach","29493","1972","04","14","South America","Brazil","Mato Grosso do Sul","Corumbá","Rod. Br 262, Serra do Urucum","-57.6531","-19.0094",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953216' target='other'> <mi>dwc_moreinfo</mi></a>","NY00873208","NY00873208_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-26 18:07:25-03","CPAN-UFMS","COR","11811","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Deuterocohnia","meziana",NA,"Deuterocohnia meziana","Kuntze ex Mez",NA,"Damasceno-Júnior, G. A.; Maria, V. R.; Batilani, J.; Pott, A. & Velasques, J.","3747","2005","09","05",NA,"Brasil","Mato Grosso do Sul","Bonito","Fazenda Santa Laura","-56.546111","-20.973333","433",NA,"Erva rupícola em afloramento rochoso; flor laranja, amarela e verde; 1,30 m de inflorescência Habito: Erva rupícola",NA,NA,NA,"56º32'46''W","20º58'24''S","433",NA,NA,NA,NA,NA,NA,NA,NA,NA
