"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","relationshipType","infraspecificEpithet","fieldNumber","typeStatus","individualCount","sex"
"1","2021-04-05 14:25:10-03","UNESC","CRI","12656","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.","Renato Colares & Aline V. Guislon","2017","09","18","Alexandre Medeiros","2017","07","05","Brasil","Santa Catarina","Balneário Camboriú","Praia do Estaleiro.","-48.6347007751465","-26.9906005859375","8793","Coleta 542. Flor verde/amarelo","CRI010870","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:32-03","E","E","153148","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans",NA,NA,NA,NA,NA,"Lowe, J.","1981","05","21","BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153148 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153148",NA,"4192","E. Tropical South America","herbarium specimen of unspecif","BGBASE:160289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:32-03","E","E","153048","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153048 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153048",NA,"187","E. Tropical South America","herbarium specimen of unspecif","BGBASE:160178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:38:32-03","E","E","153149","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans",NA,NA,NA,NA,NA,"Harley, R.M.","1974","02","06","BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153149 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153149",NA,"16088","E. Tropical South America","herbarium specimen of unspecif","BGBASE:160288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:38:32-03","E","E","153035","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153035 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153035",NA,"250","E. Tropical South America","herbarium specimen of unspecif","BGBASE:160191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:38:32-03","E","E","153146","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans",NA,NA,NA,NA,NA,NA,"1905","01","10","AR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153146 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153146",NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:160295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:38:32-03","E","E","153145","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans",NA,NA,NA,NA,NA,"Saltzmann","1905","01","04","BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153145 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153145",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:38:32-03","E","E","153147","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans",NA,NA,NA,NA,NA,"Gardner, George",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153147 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153147",NA,"859","E. Tropical South America","herbarium specimen of unspecif","BGBASE:160290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01174569","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","M. H. Nee",NA,NA,NA,"M. H. Nee",NA,NA,NA,"Brazil",NA,NA,"Manaus, Distrito Agropecuario da SUFRAMA, Rodovia BR 174, km 64, then 23 m east on ZF3, Fazenda Esteio.","-59.8885828","-2.4292245",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531120' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174569",NA,"42300","South America","sheet",NA,"Magnoliophyta","Poales","NY01174569_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01174566","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","T. M. Koyama",NA,NA,NA,"A. S. L. da Silva",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1395959' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174566",NA,"1892","South America","sheet",NA,"Magnoliophyta","Poales","NY01174566_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
