"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","01090535","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","itacarensis","Eugenia itacarensis","Mattos","M. Sobral","P. Fiaschi","2166","2004","03","28","South America","Brazil","Bahia","Valença","Estrada de Valença para Guaibim, ca. 2 km, entrada à esquerda, 8 km, ramal vicinal à esquerda, ca. 1 km. RPPN Água Branca.","-39.0903","-13.3289","220","220","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1223192' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090535","NY01090535_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","517996","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","itacarensis","Eugenia itacarensis","Mattos",NA,"W. W. Thomas","10317","1994","02","06","South America","Brazil","Bahia","Una","Reserva Biologica de Una (Reserva de Mico Leao), 4.1 km west of road from Ilhéus to Una, 5.6 km west of reserve gate","-39.0611","-15.1806",NA,NA,"sheet","Site: R <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=90388' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517996","NY00517996_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01067394","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","itacarensis","Eugenia itacarensis","Mattos","M. Sobral","A. M. V. de Carvalho","1500","1983","02","07","South America","Brazil","Bahia","Valença","Estrada para Orobó, com entrada no km 3 da rodovia Valença/BR 101. Coletas entre os km 3-10","-39.1500807","-13.3684259",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1211181' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067394","NY01067394_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01067272","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","itacarensis","Eugenia itacarensis","Mattos","M. Sobral","W. W. Thomas","7298","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest.","-39.0617","-14.4231",NA,NA,"sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=90382' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067272","NY01067272_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","579986","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","itacarensis","Eugenia itacarensis","Mattos","M. Sobral","W. W. Thomas","8694","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.","-39.0617","-14.4231",NA,NA,"sheet","Parcel:44. Tree #2225. Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=90387' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579986","NY00579986_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01240673","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","itacarensis","Eugenia itacarensis","Mattos","M. Sobral","W. W. Thomas","9010",NA,NA,NA,"South America","Brazil","Bahia","Ilhéus","Road from Olivença to Serra das Trempes, 6km from Olivença.","-39.05","-14.98",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479208' target='other'> <mi>dwc_moreinfo</mi></a>","NY01240673","NY01240673_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-19 14:08:31-03","UFRPE","PEUFR","49048","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","itacarensis","Eugenia itacarensis","Mattos","Marcos Sobral","GELMacedo; AF.Souza, BL","1063","2004","08","03",NA,"Brasil","Bahia","Jequié fazenda brejo novo","A 10,5 km da Av. Otávio Mangabeira pela Exupério Miranda no Bairro do Mandacarú","-40.109417","-13.944722",NA,NA,NA,"Árvore com 3,5. Folhas Simples, crassas, discolor.","PEUFR049048",NA,"2005","10","11","40º6'33,9W","13º56'41S",NA,NA,NA,NA,NA,NA,NA
"8","2019-11-19 14:08:31-03","UFRPE","PEUFR","16892","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","itacarensis","Eugenia itacarensis","Mattos","M. Sobral","M.T. Monteiro","23511","1971","07","28",NA,"Brasil","Bahia","Itamarajú","Fazenda Várzea Alegre","-39.5311012268066","-17.0391998291016",NA,NA,NA,"Árvore; flores alvas; grandes com perfume desagradável","PEUFR016892",NA,"2005",NA,NA,NA,NA,"55932","auto",NA,NA,NA,NA,NA
"9","2019-08-15 09:04:06-03","UESC","UESC","14371","S","Plantae","Angiospermae","Florideophycidae","Myrtaceae","Eugenia","itacarensis","Eugenia itacarensis","Mattos",NA,"L.A.Mattos Silva","5179","2010","03","10",NA,"Brasil","Bahia","Uruçuca",NA,"-39.034167","-14.340278","60","500",NA,"Arvoreta em crescimento, 4,5m x 4m5cm.; Solo argiloso.","UESC0014371",NA,NA,NA,NA,"39W2'3''","14S20'25''",NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"10","2016-03-09 17:11:55-03","MNHN","RECOLNAT_MNHN_P","P00849618","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Eugenia","itacarensis","Eugenia itacarensis","Mattos",NA,"Harley, R.M.",NA,"1977","1","29",NA,"Brasil","Bahia",NA,"Ca. 6 km S.W. of Itacaré. On side road south from the main Itacaré - Ubaitaba road; south of the mouth of the rio de Contas","-39.01667","-14.31667",NA,"100","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00849618' target='other'> <mi>dwc_moreinfo</mi></a>","P00849618","P00849618_01",NA,NA,NA,NA,NA,NA,NA,NA,"18384",NA,NA,NA
