"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","minimumElevationInMeters","maximumElevationInMeters","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","341961","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glabratoides","Pfaffia glabratoides","Suess.","isotype","P. K. H. Dusén","7819","1909","02","25","South America","Brazil","Paraná","Iraty","-50.653284","-25.478315","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92998' target='other'> <mi>dwc_moreinfo</mi></a>","NY00341961","NY00341961_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02461048","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glabratoides","Pfaffia glabratoides","Suess.",NA,"E. Pereira","7917","1963","11","16","South America","Brazil","Paraná",NA,"-52.4160995483398","-25.4078006744385","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2691871' target='other'> <mi>dwc_moreinfo</mi></a>","NY02461048","NY02461048_01","Laranjeiras do Sul","28404","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02461049","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glabratoides","Pfaffia glabratoides","Suess.",NA,"G. G. Hatschbach","20590","1968","12","09","South America","Brazil","Paraná","Rio Iguaçu, prox. Barra do Perdido.","-52.4160995483398","-25.4078006744385","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2691872' target='other'> <mi>dwc_moreinfo</mi></a>","NY02461049","NY02461049_01","Laranjeiras do Sul","28404","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:18:46-03","UFRJ","RFA","14922","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Pfaffia","glabratoides","Pfaffia glabratoides","Suess.",NA,"A.P. Duarte","11947","1969","10","21",NA,"Brasil","Minas Gerais","Serra do Cipó. km 137",NA,NA,NA,NA,"RFA13101",NA,"Minas Gerais",NA,NA,"Nahya Paola S. de Souza","2004","01","12",NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 10:59:02-03","ESALQ","ESA","37458","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Amaranthaceae","Quaternella","glabratoides","Quaternella glabratoides","(Suess.) Pedersen",NA,"Torezan, J.M.; Arima, L.I.A.; Pimenta, J.A.; Resende, J.C.F.; Sifuentes, D.V.O.","641.0","1997","12","15",NA,"Brasil","São Paulo","Estrada Bom Sucesso de Itararé 2km antes da Mineração São Judas","-491.304","-241.913",NA,"Erva até 1,5m. Inflorescências brancas com estames amarelos","ESA037458",NA,"Bom Sucesso de Itararé",NA,NA,"Marchioretto, M.S.",NA,NA,NA,"-491,304","-241,913",NA,NA,NA,NA,NA
"6","2020-11-04 10:59:02-03","ESALQ","ESA","37459","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Amaranthaceae","Quaternella","glabratoides","Quaternella glabratoides","(Suess.) Pedersen",NA,"Torezan, J.M.; Arima, L.I.A.; Pimenta, J.A.; Resende, J.C.F.; Sifuentes, D.V.O.","641.0","1997","12","15",NA,"Brasil","São Paulo",NA,"-49.1399993896484","-24.3099994659424",NA,NA,"ESA037459","ESA037459 ESA037459_1","Bom Sucesso de Itararé","14955","auto","Marchioretto, M.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-14 13:52:04-03","IAP","PACA-AGP","102573","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Quaternella","glabratoides","Quaternella glabratoides","(Suess.) Pedersen",NA,"T. Mota","2","2006","01","20",NA,"Brasil","MG","Serra Negra, Canion do Funil.","-43.827778","-22.089444",NA,"Arbusto com cerca de 1,5m, folhas membranáceas com a face abaxial roxa.&nf;Herbário Leopoldo Krieger, CESJ 46691. Habitat: Interior de mata. Fenofase: flor alva","PACA102573",NA,"Rio Preto",NA,NA,"M. S. Marchioretto","2007","05",NA,"43º49'40W","22º05'22S","Magnoliatae",NA,NA,NA,NA
"8","2019-08-27 13:28:35-03","IAP","PACA-AGP","107089","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Quaternella","glabratoides","Quaternella glabratoides","(Suess.) Pedersen",NA,"Marchioretto, M. S.","464","2010","04","09",NA,"Brasil","RS","próximo ao parque Turvo","-53.883267","-27.14265",NA,"Habitat: borda de mata","PACA107089",NA,"Derrubadas",NA,NA,"M.S. Marchioretto","2010","04",NA,"53°52.996'W","27°08.559'S","Magnoliatae",NA,NA,NA,NA
"9","2019-08-27 13:28:35-03","IAP","PACA-AGP","118201","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Quaternella","glabratoides","Quaternella glabratoides","(Suess.) Pedersen",NA,"Melo, P.H.A.","6341","2017","02","02",NA,"Brasil","GO","fazenda sucupira, proximo povoado barreiro","-47.185056","-15.352528",NA,"(cont) formação aberta de carste, floresta estacional decidual e mata ciliar. Envoltos por pastagem e cerrado Habitat: morros com afloramentos de calcario em camadas soerguidas, paredoes, campos de lapiás, sumidouros e resurgencias. (","PACA118201",NA,"Formosa",NA,NA,"Marchioretto, M.S.","2018","08",NA,"-47º 11'6.2w","-15º21'9,1s","Magnoliatae","820","820",NA,NA
"10","2021-04-07 11:40:36-03","UFMS","CGMS","75514","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Quaternella","glabratoides","Quaternella glabratoides","(Suess.) Pedersen",NA,"C.R. Pelacani",NA,"1988","04","21",NA,"Brasil","Paraná","Campus da UEM.","-51.9385986328125","-23.4253005981445",NA,"Inflorescência branca sem odor. Folhas mais velhas e coloração roxa. UPCB 16640.","CGMS1108468",NA,"Maringá","19250","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
