"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","locality","imagecode","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","identifiedBy","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:33-03","E","E","304712","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","parviflora","Trembleya parviflora","Silva, J.M.","1946","1997","04","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:314552","<a href=http://data.rbge.org.uk/herb/E00304712 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00304712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:33-03","E","E","82974","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","parviflora","Trembleya parviflora","Silva, Cordeiro, J. & Poliquesti, C.B.","1454","1995","04","18","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:91426","<a href=http://data.rbge.org.uk/herb/E00082974 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","558575","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","heterostemon","Trembleya heterostemon","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=289295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558575","Magnoliophyta","Myrtales","DC.","{From protologue: Ad Serra da Piedade]","NY00558575_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","558574","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","heterostemon","Trembleya heterostemon","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=289294' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558574","Magnoliophyta","Myrtales","DC.","{From protologue: Ad Serra da Piedade]","NY00558574_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","558576","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","heterostemon","Trembleya heterostemon","Martii Herbar. Florae Brasil.","931","1841",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=289293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558576","Magnoliophyta","Myrtales","DC.","Brasilia","NY00558576_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","558577","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","heterostemon","Trembleya heterostemon","G. Gardner","II.379","1837","03",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=289296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558577","Magnoliophyta","Myrtales","DC.","Serra dos Orgaos","NY00558577_01","Rio de Janeiro","-43.066548","-22.510784","914.4","914.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1019070","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","parviflora","Trembleya parviflora","P. G. Delprete","9205","2005","07","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1278591' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019070","Magnoliophyta","Myrtales","(D.Don) Cogn.","Serra dos Pireneus. 5-8 km da cidade em direção para Cocalzinho. Mata de galeria próxima ao Córrego dos Alunos.","NY01019070_01","Goiás","-48.8783","-15.8075","1180","1180","Pirenópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00942022","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","parviflora","Trembleya parviflora","J. N. Nakajima","1972","1996","07","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942022","Magnoliophyta","Myrtales","(D.Don) Cogn.","Trilha para a guarita de baixo, Cachoeira da Casca d'Anta.","NY00942022_01","Minas Gerais","-46.525806","-20.307365",NA,NA,"São Roque de Minas","R. Romero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00942019","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","parviflora","Trembleya parviflora triflora","H. S. Irwin","8149","1965","09","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023145' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942019","Magnoliophyta","Myrtales","(DC.) Cogn.","Córrego Samambaia, near Taguatinga","NY00942019_01","Distrito Federal","-48.042","-15.792","1100","1100","Brasília","J. J. Wurdack","triflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","245858","PreservedSpecimen","Plantae","Melastomataceae","Trembleya","parviflora","Trembleya parviflora latifolia","G. Gardner","380","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=217747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00245858","Magnoliophyta","Myrtales","Cogn.","Brasilia","NY00245858_01 NY00245858_02",NA,NA,NA,NA,NA,NA,NA,"latifolia","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
