"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:35:43-03","E","E","267567","PreservedSpecimen","Plantae","Achatocarpaceae","Achatocarpus","bicornutus","Achatocarpus bicornutus","Francisco, E.M.; Souza, L.R.M.","1905","06","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:277673","<a href=http://data.rbge.org.uk/herb/E00267567 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00267567",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","309691","PreservedSpecimen","Plantae","Achatocarpaceae","Achatocarpus","praecox","Achatocarpus praecox","M. H. Nee","1998","06","23","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98527' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309691","Magnoliophyta","Caryophyllales","Griseb.","M. H. Nee","49852","Santa Cruz","Andrés Ibáñez","Jardín Botánico de Santa Cruz, 12 km E of center of Santa Cruz on road to Cotoca.","-63.07","-17.77","375","375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00202271","PreservedSpecimen","Plantae","Achatocarpaceae","Achatocarpus","praecox","Achatocarpus praecox","D. E. Williams","1988","02","09","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1149614' target='other'> <mi>dwc_moreinfo</mi></a>","NY00202271","Magnoliophyta","Caryophyllales","Griseb.","M. H. Nee","681","Santa Cruz","Andrés Ibáñez","Jardin Botanico de Santa Cruz.","-63.07","-17.77","375","375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","230253","PreservedSpecimen","Plantae","Achatocarpaceae","Achatocarpus","praecox","Achatocarpus praecox","M. H. Nee","1998","01","03","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98526' target='other'> <mi>dwc_moreinfo</mi></a>","NY00230253","Magnoliophyta","Caryophyllales","Griseb.","M. H. Nee","47778","Santa Cruz","Florida","6 km (by air) SSW of Mairana, Quebrada Los Cántaros","-63.97","-18.17","1350","1350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","424073","PreservedSpecimen","Plantae","Achatocarpaceae","Achatocarpus","praecox","Achatocarpus praecox bicornutus","S. B. Mikich","1996","10","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742166' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424073","Magnoliophyta","Caryophyllales","(Schinz & Autran) Botta","M. Borgo","s.n.","Paraná","Fênix","Fazenda Cagibi","-51.97","-23.92",NA,NA,"bicornutus","NY00424073_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 05:26:00-03","NY","NYBG","424075","PreservedSpecimen","Plantae","Achatocarpaceae","Achatocarpus","praecox","Achatocarpus praecox bicornutus","E. M. Zardini","1992","12","02","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742165' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424075","Magnoliophyta","Caryophyllales","(Schinz & Autran) Botta","R. L. Liesner","34013","Central",NA,"Estero del Ypoá. Villeta - Puerto Guyrati. 1.5 km S of Villeta","-57.53","-25.52",NA,NA,"bicornutus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","424071","PreservedSpecimen","Plantae","Achatocarpaceae","Achatocarpus","praecox","Achatocarpus praecox bicornutus","F. Chagas e Silva","1995","10","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742170' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424071","Magnoliophyta","Caryophyllales","(Schinz & Autran) Botta",NA,NA,"Paraná","Bela Vista do Paraíso","Bela Vista do Paraíso. Fazenda Horizonte","-51.1906","-22.9969",NA,NA,"bicornutus","NY00424071_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 15:06:00-03","NY","NYBG","424074","PreservedSpecimen","Plantae","Achatocarpaceae","Achatocarpus","praecox","Achatocarpus praecox bicornutus","S. G. Tressens","1999","04","27","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424074","Magnoliophyta","Caryophyllales","(Schinz & Autran) Botta","S. G. Tressens","6113","Misiones","Guaraní","Predio Guarani. Sendero CIFOR en selva",NA,NA,NA,NA,"bicornutus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-27 05:26:00-03","NY","NYBG","424072","PreservedSpecimen","Plantae","Achatocarpaceae","Achatocarpus","praecox","Achatocarpus praecox bicornutus","E. M. Zardini","1989","01","13","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742169' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424072","Magnoliophyta","Caryophyllales","(Schinz & Autran) Botta",NA,"9438","Paraguarí",NA,"Cordillera de Ybytyruzú. Valley between Cerro Peró, Cerro Acati and Cerro Muy Muy","-56.25","-25.92",NA,NA,"bicornutus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","424070","PreservedSpecimen","Plantae","Achatocarpaceae","Achatocarpus","praecox","Achatocarpus praecox bicornutus","L. B. Smith","1964","12","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742171' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424070","Magnoliophyta","Caryophyllales","(Schinz & Autran) Botta",NA,"14119","Santa Catarina","Itapiranga","Forest above Rio Uruguai, Barra Macaco Branco","-53.77","-27.17","150","250","bicornutus","NY00424070_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
