"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","375430","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","pachycalyx","Pouteria pachycalyx","T.D.Penn.","A. Alves-Araújo","A. M. Amorim","1632","1994","03","30","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Sede da rebio em area de mata alta de restinga, com a ocorrencia de piaçava","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339546' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375430","NY00375430_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","375755","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","pachycalyx","Pouteria pachycalyx","T.D.Penn.","A. Alves-Araújo","S. A. Mori","12050","1979","06","26","South America","Brazil","Bahia","Uruçuca","Estrada que liga Uruçuca/Serra Grande, a 28-30 km ao NE de Uruçuca","-39.1028872","-14.4796443","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375755","NY00375755_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2862071","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","pachycalyx","Pouteria pachycalyx","T.D.Penn.","A. Alves-Araújo","W. W. Thomas","7047",NA,NA,NA,"South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest.","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=730604' target='other'> <mi>dwc_moreinfo</mi></a>","NY02862071","NY02862071_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","375435","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","pachycalyx","Pouteria pachycalyx","T.D.Penn.","A. Alves-Araújo","A. M. Amorim","2043","1997","06","18","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=339555' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375435","NY00375435_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02447568","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","pachycalyx","Pouteria pachycalyx","T.D.Penn.",NA,"D. A. Folli","2266","1994","03","24","South America","Brazil","Minas Gerais","Marliéria","Parque Rio Doce. Lado da estrada para o Viveiro.","-42.7322006225586","-19.7122001647949","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2623511' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447568","NY02447568_01","28215","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:04:17-03","JBP","HPL","6930","S","Plantae",NA,NA,"Sapotaceae","Pouteria","pachycalyx","Pouteria pachycalyx",NA,"R. Tsuji & H. Lorenzi et al.","R. Tsuji & H. Lorenzi et al.","1507","2007","01","24",NA,"Brasil","ES","João Neiva","Coletado na BR101 8,4km do trevo de Colatina, 19°42'13,4''S; 40°19'24,7''W.","-40.3856","-19.7575",NA,NA,NA,NA,"16286","auto","2007","01","24",NA,NA,NA,NA,NA,NA,NA
"7","2015-07-02 14:04:17-03","JBP","HPL","7225","S","Plantae",NA,NA,"Sapotaceae","Pouteria","pachycalyx","Pouteria pachycalyx",NA,"R. Tsuji","E.R. Salviani","139","1998","07","22",NA,"Brasil","ES","São Jorge Tiradentes","Coletado entre os municípios de Rio Bananal e Tiradentes - ca. 1km antes de chegar em Tiradentes.",NA,NA,NA,NA,NA,NA,NA,NA,"2007","02","16",NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:19:26-03","UFV","VIC","018228","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pachycalyx","Pouteria pachycalyx","Penn.",NA,"Ana Luiza.;","630",NA,NA,NA,NA,"Brasil","Bahia",NA,"FLONA Rio Preto",NA,NA,NA,"Altura de 13 m, P 26 n°06.","VIC018228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-24 17:10:02-03","UFES","SAMES","5426","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pachycalyx","Pouteria pachycalyx","T.D.Penn.","Ribeiro,M.","Ribeiro,M.; Giaretta,A.O.;Broggio,I.S.","418","2011","01","24",NA,"Brasil","Espírito Santo","Pinheiros","Reserva Biológica Córrego do Veado. Floresta de Tabuleiro, estrada que vai em direção à Mata da Água Limpa.","-40.2132987976074","-18.3703002929688",NA,"Com látex leitoso abundante; tricomas marronzado no ápice dos ramos, pecíolo e nervuras principais. Botões verdes. Habito: Árvore","SAMES05426",NA,"28525","auto","2012","02","06",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-24 17:10:02-03","UFES","SAMES","5427","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pachycalyx","Pouteria pachycalyx","T.D.Penn.","Alves-Araújo,A.","Menezes,L.F.T.; Pereira,O.J.;Giaretta,A.O.;Fantin,R.","1827","2008","03","05",NA,"Brasil","Espírito Santo","Linhares","Estrada que liga Pontal do Ipiranga a Degredo. Floresta alta sobre cordões arenosos.","-40.0722007751465","-19.3910999298096",NA,"Látex pouco abundante, flores brancas. Habito: Árvore","SAMES05427",NA,"48094","auto","2013","10","19",NA,NA,NA,NA,NA,NA,NA
"11","2019-11-21 14:45:03-03","UFJF","CESJ","49864","PreservedSpecimen","Plantae","Angiosperma",NA,"Sapotaceae","Pouteria","pachycalyx","Pouteria pachycalyx","T.D.Penn","F.R.G. Salimena","M.G. Rezende; R.C.L. Elias; F.R.G. Salimena; P.H. Nobre; S.A. Roman; F.S. Souza","58","2008","03","28","América do Sul","Brasil","Minas Gerais","Caldas","Pocinhos do Rio Verde, Pedra Branca","-46.386100769043","-21.9235992431641",NA,"Árovore ca. 4m, em frente ao Grande Hotel Pocinhos. Frutos ferrugíneos.","CESJ049864",NA,"25710","auto","2008","04",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-07 11:48:47-03","UFMS","CGMS","7858","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pachycalyx","Pouteria pachycalyx","T.D.Penn.",NA,"Nicácio",NA,"1999","09","09",NA,"Brasil","Mato Grosso do Sul","Aquidauana","Fazenda São José. Pousada.","-55.7872009277344","-20.4710998535156",NA,"Flor amarela. Habitat: Mata ciliar e baías. Habito: Arbusto.","CGMS1017329",NA,"212961","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:41:10-03","UNICAMP","UEC","111132","S","Plantae","Magnoliopsida",NA,"Sapotaceae","Pouteria","pachycalyx","Pouteria pachycalyx","T.D.Penn.",NA,"Nicacio, JNL","s.n.","1999","05","09",NA,"Brazil","Mato Grosso do Sul","Aquidauana","Fazenda São José - Pousada. Aguapé.","-58.383333","-19.483333",NA,"Nome vulgar: Laranjinha de poar/ moranguinha. Porte arbustiv. Cor da flor: amarela.; Mata ciliar e baías.","UEC031091","UEC031091",NA,NA,NA,NA,NA,"-58.383333","-19.483333",NA,NA,NA,NA,NA
"14","2020-04-27 16:11:41-03","UFES","VIES","19603","S","Plantae",NA,NA,"Sapotaceae","Pouteria","pachycalyx","Pouteria pachycalyx","T.D.Penn.","Fabris, L.C.","Fabris, L.C.; Gomes, J.M.L.","861","2008","10","15",NA,"Brasil","Espírito Santo","Vitória","Camburi.","-40.278056","-20.269167",NA,NA,"VIES019603","VIES019603 VIES019603_1",NA,NA,"2009","05","26","40º16'41''W","20º16'9''S",NA,NA,NA,NA,NA
