"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","859937","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","adenophyllus","Lessingianthus adenophyllus","(Mart. ex DC.) H.Rob.","L. Riedel","s.n.","1824","12","South America","Brazil","Minas Gerais","Tejugo?","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960706' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859937","NY00859937_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:52:01-03","NBC","NL-BOTANY","L.1595245","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Vernonia","adenophylla","Vernonia adenophylla","Mart. ex DC.","Riedel L",NA,NA,NA,"Southern America","Brazil",NA,"(Teste. Ich. Bip.).*?",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1595245 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1595245","NL-L1595245","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:24:28-03","MN","R","6257","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","adenophylla","Vernonia adenophylla","Mart.","Glaziou, A.F.M.","17081","1887","10",NA,"Brasil","Minas Gerais",NA,NA,"Plantas do Brasil Central","R000006257","R000006257_001",NA,"22","São João del Rei","-44.2616996765137","-21.1355991363525","39093","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:24:28-03","UNICAMP","UEC","175579","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lessingianthus","adenophyllus","Lessingianthus adenophyllus","(Mart. ex A.DC.) H.Rob.","Marques, D; Araújo, IM","389","2011","12",NA,"Brazil","Minas Gerais","Parque Estadual do Biribiri, Vargem da Santa Polonha",NA,"Subarbusto, ca. 0.1m, brácteas involucrais negras, corola e ramos do estilete púrpuros","UEC021301","UEC021301",NA,"14","Diamantina","-43.593306","-18.139139",NA,NA,"Marques, D","2012","01","08","-43.593306","-18.139139","1297","1297",NA,NA,NA
"5","2020-03-12 10:29:00-03","UFOP","OUPR","33589","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","adenophyllus","Lessingianthus adenophyllus","(Mart. ex DC.) H.Rob.","Pedrosa, L.G.","1446","2019","03",NA,"Brasil","Minas Gerais","Arredores de Santo Antônio do Leite.",NA,"Erva, 15cm. Flores lilases. Campo rupestre.",NA,NA,NA,"23","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto","Pedrosa, L.G.","2019","03","23",NA,NA,NA,NA,NA,NA,NA
"6","2020-03-12 10:29:00-03","UFOP","OUPR","34534","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","adenophyllus","Lessingianthus adenophyllus","(Mart. ex DC.) H.Rob.","Pedrosa, L.G.","2002","2019","09",NA,"Brasil","Minas Gerais","Cerâmica",NA,"Erva, 5-20cm. Flores lilases. Campo graminoso.",NA,NA,NA,"22","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto","Pedrosa, L.G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-05 16:44:59-03","UFOP","OUPR","31828","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","adenophyllus","Lessingianthus adenophyllus","(Mart. ex DC.) H.Rob.","Pedrosa, L.G.","696","2018","09",NA,"Brasil","Minas Gerais","Minério Velho",NA,"Erva, ca. 20cm. Flores lilases. Cerrado.",NA,NA,NA,"01","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto","Teles, A.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-03-12 10:29:00-03","UFOP","OUPR","34499","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","adenophyllus","Lessingianthus adenophyllus","(Mart. ex DC.) H.Rob.","Pedrosa, L.G.","1968","2019","09",NA,"Brasil","Minas Gerais","Rio Doce Manganês / Vale.",NA,"Erva, 15cm. Flores lilases. Campo cerrado.",NA,NA,NA,"16","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto","Pedrosa, L.G.","2019","09","16",NA,NA,NA,NA,NA,NA,NA
"9","2019-11-05 16:44:59-03","UFOP","OUPR","31586","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","adenophyllus","Lessingianthus adenophyllus","(Mart. ex DC.) H.Rob.","Pedrosa, L.G.","592","2018","08",NA,"Brasil","Minas Gerais","Rodrigo Silva",NA,"Erva, ca. 10cm. Flores lilases. Cerrado.",NA,NA,NA,"10","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto","Teles, A.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2014-10-14 15:56:23-03","BS","M","M-0029306","S","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","adenophyllus","Lessingianthus adenophyllus","(Mart. ex DC.) H.Rob.","Martius, C.F.P. von",NA,NA,NA,NA,"Brasil",NA,"Habitat in altis Serro Frio; Provinciae Minas Geraes.",NA,NA,"M0029306",NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOTATYPE",NA,NA
