"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","infraspecificEpithet","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","578957","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","halteris","Cnidoscolus halteris","Fern.Casas","holotype","F. M. O. Villarouco","85","1995","05","South America","Brazil","Pernambuco","Brejo da Madre de Deus","Fazenda Bituri","-36.3708","-8.1458","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267650' target='other'> <mi>dwc_moreinfo</mi></a>","NY00578957","NY00578957_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1027919","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","infestus","Cnidoscolus infestus","Pax & K.Hoffm.",NA,"A. Castellanos","24231","1963","09","South America","Brazil","Minas Gerais",NA,"Pirapora a Montes Claros.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143094' target='other'> <mi>dwc_moreinfo</mi></a>","NY01027919",NA,"C. Castro de Oliveira","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","778747","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","infestus","Cnidoscolus infestus","Pax & K.Hoffm.",NA,"Grupo Pedra do Cavalo","225","1980","06","South America","Brazil","Bahia","Cachoeira","Vale dos Rios, Paraguaçu e Jacuipe.","-39.08","-12.53","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797829' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778747",NA,"F. J. Fernández Casas",NA,"40","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","640218","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","infestus","Cnidoscolus infestus","Pax & K.Hoffm.",NA,"M. de F. Agra","2081","1993","06","South America","Brazil","Paraíba","Campina Grande","Distrito Sao José da Mata, Fazenda Pedro da Costa Agra, estrada para Soledade, 16 km Oeste do centro de Campina Grande","-35.87","-7.77","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196698' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640218",NA,"F. J. Fernández Casas","25","500","510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1146319","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","infestus","Cnidoscolus infestus","Pax & K.Hoffm.",NA,"D. B. O. S. Cardoso","112","2004","06","South America","Brazil","Bahia","Tucano","Povoado Bizamum, ca. 23 km de Tucano.","-38.9781","-10.8925","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1337063' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146319","NY01146319_01","C. Castro de Oliveira","24","217","217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1182811","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","infestus","Cnidoscolus infestus","Pax & K.Hoffm.",NA,"D. B. O. S. Cardoso","2237","2007","11","South America","Brazil","Bahia","Tucano","Povoado Pedra Grande. Na estrada para a Serra do Paí Miguel.","-38.7736","-11.1233","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409009' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182811","NY01182811_01","C. Castro de Oliveira","20","224","224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","640220","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","infestus","Cnidoscolus infestus","Pax & K.Hoffm.",NA,"J. N. Rose","19840","1915","06","South America","Brazil","Bahia","Queimadas",NA,"-39.6264","-10.9783","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196697' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640220",NA,"F. J. Fernández Casas","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","886680","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","infestus","Cnidoscolus infestus","Pax & K.Hoffm.",NA,"D. B. O. S. Cardoso","132","2004","07","South America","Brazil","Bahia","Tucano","Povoado Bizamum, ca. 23 km de Tucano.","-38.9781","-10.8925","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032375' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886680","NY00886680_01","C. Castro de Oliveira","10","270","270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","593283","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","infestus","Cnidoscolus infestus","Pax & K.Hoffm.",NA,"G. L. Webster","25026","1984","07","South America","Brazil","Bahia","Santa Cruz Cabrália","Estaçao Ecológica Pau Brasil, 14 km NW of Porto Seguro","-39.25","-16.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=416962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00593283",NA,"C. Castro de Oliveira","23","80","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","590253","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","infestus","Cnidoscolus infestus","Pax & K.Hoffm.",NA,"S. A. Mori","14217","1981","06","South America","Brazil","Bahia","Paulo Afonso","15-20 km NW of Paulo Alfonso on airport road that eventually leads to Petrolandia","-38.2144","-9.4061","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=735421' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590253","NY00590253_01","C. Castro de Oliveira","06","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
