"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:24:56-03","UNESC","CRI","3424","PreservedSpecimen","Plantae","Asteraceae","Chaptalia","cordifolia","Chaptalia cordifolia","(Baker) Cabrera","Renato Colares","2018","12","10","Robson dos Santos","189","1994","12","13","Brasil","Rio Grande do Sul","Cambará do Sul","Interior do Canion do Itaimbezinho.","-50.144722","-29.047778","50º8'41''W","29º2'52''S","200","200","Habitat: mata atlântica","CRI000819","CRI000819",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01080756","PreservedSpecimen","Plantae","Asteraceae","Chaptalia","cordifolia","Chaptalia cordifolia","(Baker) Cabrera","E. Pasini",NA,NA,NA,"A. F. M. Glaziou","17104",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1209718' target='other'> <mi>dwc_moreinfo</mi></a>","NY01080756","NY01080756_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:35:11-03","EAO","IAN","76591","PreservedSpecimen","Plantae","Asteraceae","Trichocline","cordifolia","Trichocline cordifolia","Baker",NA,NA,NA,NA,"Glaziou, AFM","17104","1892",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN076591",NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:24:48-03","PUCPR","HUCP","6637","S","Plantae","Asteraceae","Chaptalia","cordifolia","Chaptalia cordifolia","(Baker.) Cabrera.","Acra, LA",NA,NA,NA,"Basso, RL","033","1989",NA,NA,"Brasil","Paraná","Antonina","Pico Paraná","-48.7118988037109","-25.4286003112793",NA,NA,NA,NA,NA,"HUCP00007064","HUCP00007064","Eudicotiledonea",NA,NA,NA,"38300","auto",NA,NA,NA,NA
"5","2019-08-27 13:27:13-03","IAP","PACA-AGP","86962","PreservedSpecimen","Plantae","Compositae","Chaptalia","cordifolia","Chaptalia cordifolia","(Baker) Cabrera","E. Pasini","2010","11","17","Sehnem, A.","5677","1951","02","24","Brasil","RS","São Francisco de Paula","Taimbé","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"Habitat: in humoin dumetoso","PACA086962",NA,"Magnoliophyta","Asterales",NA,NA,"76715","auto","Magnoliatae",NA,NA,NA
"6","2019-08-27 13:27:13-03","IAP","PACA-AGP","50705","PreservedSpecimen","Plantae","Compositae","Chaptalia","cordifolia","Chaptalia cordifolia","(Baker) Cabrera","C. A. Mondin","1994","02",NA,"Reitz, R.","3778","1948","12","15","Brasil","SC","Bom Retiro","Campo dos Padres","-49.489200592041","-27.7971992492676",NA,NA,NA,NA,"EM PERIGO Habitat: in araucarieto Fenofase: flor","PACA050705",NA,"Magnoliophyta","Asterales",NA,NA,"35974","auto","Magnoliatae",NA,NA,NA
"7","2019-08-27 13:27:13-03","IAP","PACA-AGP","54111","PreservedSpecimen","Plantae","Compositae","Chaptalia","cordifolia","Chaptalia cordifolia","(Baker) Cabrera","C. A. Mondin","1994","02",NA,"Rambo, B.",NA,"1953","02","20","Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"EM PERIGO&nf;Cf. por E. Passini em 05.2012. Habitat: in araucarieto humido umbroso Fenofase: flor","PACA054111",NA,"Magnoliophyta","Asterales",NA,NA,"76715","auto","Magnoliatae",NA,NA,NA
"8","2019-08-27 13:28:01-03","IAP","PACA-AGP","49430","PreservedSpecimen","Plantae","Compositae","Trichocline","cordifolia","Trichocline cordifolia","Baker","Emrich-Rambo","1954","07","09","Sehnem, A.",NA,"1950","12","18","Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"SEM MATERIAL - fl. indeciso Habitat: in araucarieto humido umbroso Fenofase: flor","PACA049430",NA,"Magnoliophyta","Asterales",NA,NA,"76715","auto","Magnoliatae",NA,NA,NA
"9","2019-08-27 13:28:01-03","IAP","PACA-AGP","56810","PreservedSpecimen","Plantae","Compositae","Trichocline","cordifolia","Trichocline cordifolia","Baker","Emrich-Rambo","1955","04","07","Rambo, B.",NA,"1955","02","16","Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"SEM MATERIAL Habitat: in ipso barathro Fenofase: flor","PACA056810",NA,"Magnoliophyta","Asterales",NA,NA,"76715","auto","Magnoliatae",NA,NA,NA
"10","2019-11-21 14:31:35-03","UFJF","CESJ","50776","PreservedSpecimen","Plantae","Asteraceae","Chaptalia","cordifolia","Chaptalia cordifolia","(Baker) Cabrera","G. Hatschbach","2007",NA,NA,"J.M. Silva; J. Cordeiro; C.B. Poliquesi","6120","2007","10","25","Brasil","Paraná","Antonina","Usina Hidrelétrica Parigot de Souza, cota 800","-48.7118988037109","-25.4286003112793",NA,NA,NA,NA,"Ereta, capítulo alvo. Floresta atlântica, alto do morro.","CESJ050776","CESJ050776","Angiosperma",NA,"América do Sul",NA,"38300","auto",NA,NA,NA,NA
