"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","identifiedBy","coordinatePrecision","geoFlag","fieldNumber","class","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","555917","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","bennettianum","Piper bennettianum","C.DC.","G. F. J. Pabst","7054","1962","09","29","South America","Brazil","Rio de Janeiro","Parque Nacional da Serra dos Orgaos, Barragem","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=294730' target='other'> <mi>dwc_moreinfo</mi></a>","NY00555917","NY00555917_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","555916","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","bennettianum","Piper bennettianum","C.DC.","E. A. A. dos Santos","1200","1962","04","28","South America","Brazil","Rio de Janeiro","Parque Nacional da Serra dos Orgaos, inter Barragem et Abrigo 1","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=294729' target='other'> <mi>dwc_moreinfo</mi></a>","NY00555916","NY00555916_01","Teresópolis","-42.9656","-22.4122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","555915","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","bennettianum","Piper bennettianum","C.DC.","H. de Magalhaes","s.n.","1896",NA,NA,"South America","Brazil",NA,"Serra da Mantiqueira","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=294728' target='other'> <mi>dwc_moreinfo</mi></a>","NY00555915","NY00555915_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:39:39-03","MBM","MBM","23027","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","bennettianum","Piper bennettianum","DC.","Pabst, G.; Yuncker, D.; Emmerich, M.; Yuncker, D.; Emmerich, M.","7054",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Parque Nacional da Serra dos Orgãos, Barragem",NA,NA,"MBM023027","MBM023027","Teresópolis","-42.9655990600586","-22.4122009277344","Yuncker","38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-03 18:47:51-03","MNHN","RECOLNAT_MNHN_P","P02025045","PreservedSpecimen",NA,NA,NA,"Piperaceae","Piper","bennettianum","Piper bennettianum","C.DC.","Glaziou, A.",NA,"1879","4","10",NA,"Brasil","Rio de Janeiro","Serra do Pìcú.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02025045' target='other'> <mi>dwc_moreinfo</mi></a>","P02025045","P02025045_01",NA,NA,NA,NA,NA,NA,"11576",NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-09-03 18:48:11-03","MNHN","RECOLNAT_MNHN_P","P02025047","PreservedSpecimen",NA,NA,NA,"Piperaceae","Piper","bennettianum","Piper bennettianum","C.DC.","Glaziou, A.",NA,"1883","6","9",NA,"Brasil","Rio de Janeiro",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02025047' target='other'> <mi>dwc_moreinfo</mi></a>","P02025047","P02025047_01","Petrópolis","-43.1786003112793","-22.5049991607666",NA,"36524","auto","15439",NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-03 18:48:11-03","MNHN","RECOLNAT_MNHN_P","P02025046","PreservedSpecimen",NA,NA,NA,"Piperaceae","Piper","bennettianum","Piper bennettianum","C.DC.","Glaziou, A.",NA,"1883","6","9",NA,"Brasil","Rio de Janeiro",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02025046' target='other'> <mi>dwc_moreinfo</mi></a>","P02025046","P02025046_01","Petrópolis","-43.1786003112793","-22.5049991607666",NA,"36524","auto","15439",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-07 09:23:27-03","UEFS","HUEFS","40886","PreservedSpecimen","Plantae","Angiospermae","Piperales","Piperaceae","Piper","bennettianum","Piper bennettianum","C.DC.","Miranda, E.B.","305","1999","10","23",NA,"Brasil","Bahia","Catolés: Mata do Curião",NA,NA,"HUEFS0040886","HUEFS0040886","Abaíra","-41.6636009216309","-13.2496995925903","E.F.Guimarães","26531","auto",NA,"Magnolianae","2004","08","1300","1300",NA,NA,NA
"9","2019-10-07 09:23:27-03","UEFS","HUEFS","250786","PreservedSpecimen","Plantae","Angiospermae","Piperales","Piperaceae","Piper","bennettianum","Piper bennettianum","C.DC.","Nascimento, F.H.F.","1707","2008","11",NA,NA,"Brasil","Bahia","Serra Itubira. Bela Vista.",NA,"Mata Atlântica lato sensu. Floresta Montana.","HUEFS0250786","HUEFS0250786","Rio de Contas","-41.887778","-13.365278",NA,NA,NA,NA,"Magnolianae",NA,NA,"1650","1650","41W53'16''","13S21'55''",NA
"10","2019-10-07 09:23:27-03","UEFS","HUEFS","250818","PreservedSpecimen","Plantae","Angiospermae","Piperales","Piperaceae","Piper","bennettianum","Piper bennettianum","C.DC.","Nascimento, F.H.F.","1739","2008","11",NA,NA,"Brasil","Bahia","Serra das Almas. Campo do Queiroz. Mata do Chiquinho",NA,"Mata Atlântica lato sensu. Floresta Montana.","HUEFS0250818","HUEFS0250818","Rio de Contas","-41.936389","-13.532778",NA,NA,NA,NA,"Magnolianae",NA,NA,"1400","1400","41W56'11''","13S31'58''",NA
