"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:44:05-03","E","E","324061","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","scirpinum","Eryngium scirpinum","Hoehne, W.","1941","12","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:326630","<a href=http://data.rbge.org.uk/herb/E00324061 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00324061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","617642","PreservedSpecimen","Plantae","Apiaceae","Eryngium","scirpinum","Eryngium scirpinum","R. Reitz","1965","12","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92645' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617642","Magnoliophyta","Apiales","Cham.","L. Constance","17456","Paraná","Balsa Nova","Serra de Sao Luiz, Balsa Nova","-49.6356","-25.5842","1100","1100","NY00617642_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","617637","PreservedSpecimen","Plantae","Apiaceae","Eryngium","scirpinum","Eryngium scirpinum","R. Reitz","1958","01","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617637","Magnoliophyta","Apiales","Cham.","M. E. Mathias; L. Constance","6028","Santa Catarina","Campo Alegre","Morro do Iquererim, Campo Alegre","-49.2656","-26.1925","1300","1300","NY00617637_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","617635","PreservedSpecimen","Plantae","Apiaceae","Eryngium","scirpinum","Eryngium scirpinum","P. K. H. Dusén","1909","02","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92650' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617635","Magnoliophyta","Apiales","Cham.","K. F. A. H. Wolff","7744","Paraná",NA,"Capao Grande",NA,NA,NA,NA,"NY00617635_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","617638","PreservedSpecimen","Plantae","Apiaceae","Eryngium","scirpinum","Eryngium scirpinum","L. B. Smith","1964","12","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617638","Magnoliophyta","Apiales","Cham.","M. E. Mathias; L. Constance","13630","Santa Catarina","Agua Doce","Campos de Palmas, 3 km northwest of Herciliópolis","-51.53","-26.78","1100","1200","NY00617638_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","617640","PreservedSpecimen","Plantae","Apiaceae","Eryngium","scirpinum","Eryngium scirpinum","P. K. H. Dusén","1911","11","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92651' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617640","Magnoliophyta","Apiales","Cham.","K. F. A. H. Wolff","13453","Paraná",NA,"Serrinha",NA,NA,NA,NA,"NY00617640_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","617641","PreservedSpecimen","Plantae","Apiaceae","Eryngium","scirpinum","Eryngium scirpinum","G. G. Hatschbach","1972","02","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92646' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617641","Magnoliophyta","Apiales","Cham.","L. Constance","29250","Paraná","Sengés","S. Antonio, 5 km ao Norte","-49.4633","-24.1131",NA,NA,"NY00617641_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","617634","PreservedSpecimen","Plantae","Apiaceae","Eryngium","scirpinum","Eryngium scirpinum","W. Hoehne","1941","12","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92652' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617634","Magnoliophyta","Apiales","Cham.","W. Hoehne","s.n.","São Paulo",NA,"Campo de Cogonhas",NA,NA,NA,NA,"NY00617634_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","617636","PreservedSpecimen","Plantae","Apiaceae","Eryngium","scirpinum","Eryngium scirpinum","R. Reitz","1960","12","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92644' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617636","Magnoliophyta","Apiales","Cham.","L. Constance","10465","Santa Catarina","Sao Francisco do Sul","Morro do Campo Alegre, Sao Francisco do Sul","-48.6381","-26.2433","1200","1200","NY00617636_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","617643","PreservedSpecimen","Plantae","Apiaceae","Eryngium","scirpinum","Eryngium scirpinum","L. B. Smith","1965","01","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92649' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617643","Magnoliophyta","Apiales","Cham.","M. E. Mathias; L. Constance","14439","Paraná","Balsa Nova","Serra de Sao Luiz by the Rodovia de Café","-49.67","-25.5","1100","1100","NY00617643_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
