"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","typeStatus","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:17-03","E","E","134628","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","Dubs, Balthasar","1203","1991","10","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:143056","<a href=http://data.rbge.org.uk/herb/E00134628 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134628",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:17-03","E","E","134627","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","Dubs, Balthasar","988","1989","05","30","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:143057","<a href=http://data.rbge.org.uk/herb/E00134627 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:17-03","E","E","55565","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","Ratter, J.A.; Bridgewater, S.; Filho, J. Fonsêca; Ribeiro, J.F. & Proença, C.",NA,"1997","11","14","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:62334","<a href=http://data.rbge.org.uk/herb/E00055565 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00055565",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:17-03","E","E","134628","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","Dubs, Balthasar","1203","1991","10","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:143056","<a href=http://data.rbge.org.uk/herb/E00134628 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134628",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:17-03","E","E","134627","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","Dubs, Balthasar","988","1989","05","30","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:143057","<a href=http://data.rbge.org.uk/herb/E00134627 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:17-03","E","E","55565","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","Ratter, J.A.; Bridgewater, S.; Filho, J. Fonsêca; Ribeiro, J.F. & Proença, C.",NA,"1997","11","14","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:62334","<a href=http://data.rbge.org.uk/herb/E00055565 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00055565",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00893429","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","J. Ramos","R. & S.152","1967","10",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893429","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Mato Grosso","Collected near the base camp of the expedition. (c. 270 km N of Xavantina.)","-51.87","-12.9","NY00893429_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00893423","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","G. T. Prance","26133","1979","06","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969321' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893423","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Mato Grosso","Vicinity of Acurizal","-57.53","-17.87","NY00893423_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00893437","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","J. R. Pirani","1172","1985","10","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969422' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893437","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Mato Grosso","Perto da cidade, em pequena elevação à margem do Rio Araguaia.","-50.5","-10.42","NY00893437_01","Santa Terezinha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00893441","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","C. E. O. Kuntze","s.n.","1892","07",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893441","Magnoliophyta","Malpighiales","A.Juss.",NA,"Mato Grosso",NA,NA,NA,"NY00893441_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
