"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","class","coordinatePrecision","geoFlag","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","399914","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","passerinum","Erythroxylum passerinum","Mart.","isotype","Martii Herbar. Florae Brasil.","647","1839","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=116371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00399914","NY00399914_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","376749","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","passerinum","Erythroxylum passerinum","Mart.",NA,"J. P. de Sousa",NA,"1975","South America","Brazil","Praia de Piata","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=116360' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376749","NY00376749_01","T. C. Plowman","01","12","Bahia","Salvador","-38.5106","-12.9711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02636880","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","passerinum","Erythroxylum passerinum","Mart.",NA,"P. da C. Gadelha Neto","3793","2014","South America","Brazil","Sítio Brejo de Lima","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952454' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636880","NY02636880_01","J. L. da Costa Lima","02","20","Paraíba","Caaporã","-34.960278","-7.425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","393252","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","passerinum","Erythroxylum passerinum","Mart.",NA,"T. C. Plowman","13936","1985","South America","Brazil","4 km. south of Barra do Sao Joao on highway (RJ-106) to Cabo Frio. Remnants of restinga woodland between the highway and the sea (east of road)","sheet","Voucher for chemical analysis <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=116361' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393252","NY00393252_01","T. C. Plowman","02","14","Rio de Janeiro","Cabo Frio","-42.0183","-22.8794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","393254","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","passerinum","Erythroxylum passerinum","Mart.",NA,"R. M. Harley","17632","1974","South America","Brazil","65 km N.E. of Itabuna, at the mouth of the Rio de Contas on the N. bank opposite Itacaré. Alt. sea level","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=116368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393254","NY00393254_01","C. Grey-Wilson","04","01","Bahia",NA,"-39.02","-14.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","393251","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","passerinum","Erythroxylum passerinum","Mart.",NA,"A. P. Duarte","3728","1953","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=116353' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393251","NY00393251_01","T. C. Plowman","11","14","Espírito Santo","Nova Venécia","-40.4006","-18.7108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1688926","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","passerinum","Erythroxylum passerinum","Mart.",NA,"D. M. Cavalcanti Ferreira","332","2010","South America","Brazil","RPPN Fazenda Tabatinga. Borda do fragmento.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1551665' target='other'> <mi>dwc_moreinfo</mi></a>","NY01688926","NY01688926_01","J. L. da Costa Lima","11","12","Pernambuco","Goiana","-34.8206","-7.6061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","393261","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","passerinum","Erythroxylum passerinum","Mart.",NA,"A. M. V. de Carvalho","3330","1991","South America","Brazil","Dunas de Ita..(unclear-see label), arredores da Lagoa de Abaete","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=116369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393261","NY00393261_01","J. A. Kallunki","06","15","Bahia","Salvador","-38.352556","-12.93708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","393257","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","passerinum","Erythroxylum passerinum","Mart.",NA,"D. S. D. de Araújo","6030","1984","South America","Brazil","Lagoa de Címa, próx. a margem","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=116363' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393257","NY00393257_01","T. C. Plowman","01","27","Rio de Janeiro","Campos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","393255","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","passerinum","Erythroxylum passerinum","Mart.",NA,"T. C. Plowman","13953","1985","South America","Brazil","Town of Itapua. Near sea level","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=116362' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393255","NY00393255_01","T. C. Plowman","02","24","Bahia","Salvador","-38.5106","-12.9711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
