"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:39:17-03","E","E","202952","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","Proença, C.; Oliveira, R.S.; Clemente, C.M.; Ribeiro, J.F.","2085","1999","02","06","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217728","<a href=http://data.rbge.org.uk/herb/E00202952 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202952",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:17-03","E","E","134629","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","Dubs, Balthasar","1207","1991","10","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:143055","<a href=http://data.rbge.org.uk/herb/E00134629 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134629",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:17-03","E","E","205467","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","Proenca, C., Ratter, J.A., Fonseca Filho, J.A.ET., Bridgewater, S., Simon, M.F.","1802","1997","11","11","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:218288","<a href=http://data.rbge.org.uk/herb/E00205467 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00205467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1064787","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita tripartita","R. M. Harley","10287","1968","09","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222473' target='other'> <mi>dwc_moreinfo</mi></a>","NY01064787","Magnoliophyta","Malpighiales","tripartita","(Spreng.) Müll.Arg.","Mato Grosso","Near Base Camp.","-51.77","-12.82","NY01064787_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1065524","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","H. C. de Lima","2931","1987","05","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237956' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065524","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","Espírito Santo","Estrada Rodovia do Sol, Meaípe, ca. 10 km depois de Guaraparí.",NA,NA,"NY01065524_01","J. M. Mendoza F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1065314","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita xavantinensis","D. Philcox","3105","1967","11","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1228379' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065314","Magnoliophyta","Malpighiales","xavantinensis","(D.J.Rogers & Appan) Allem","Mato Grosso","Cerrado road between base camp and main road. km. 264 Xavantina-Cachimbo road.","-51.77","-12.82","NY01065314_01","A. C. Allem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1027145","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","E. P. Heringer","3146","1980","01","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1132659' target='other'> <mi>dwc_moreinfo</mi></a>","NY01027145","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","Distrito Federal","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797","NY01027145_01","M. L. L. Martins","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01091886","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita dalechampiaeformis","W. Hoehne","s.n.","1951","11","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1265207' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091886","Magnoliophyta","Malpighiales","dalechampiaeformis","(Pohl) Pax in Engl.","São Paulo","Próximo a Araraquara. Bairro do Serraial. Sítio do Sr. Orlando Da Valle.","-48.1697","-21.7903","NY01091886_01","W. Hoehne","Araraquara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1552383","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1941260' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552383","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.",NA,NA,NA,NA,"NY01552383_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01451390","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","T. C. Plowman","9703","1980","03","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1693036' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451390","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","Pará","Breu Branco, km.40 south of Represa Tucuruí along highway BR 422.","-49.733333","-3.916667","NY01451390_01","L. J. Gillespie","Tucuruí","90","90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
