"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","recordNumber","day","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","individualCount","typeStatus","relatedCatalogItem","fieldNumber","sex"
"1","2021-04-05 14:25:00-03","UNESC","CRI","13752","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","Renato Colares","2018","05","28","Renato Colares","2018","02","Brasil","Santa Catarina","Criciúma","Bairro Jardim Angelica","-49.398056","-28.701944","49º23'53''W","28º42'7''S","48","48","Habitat: Terrestre Habito: Subarbustivo","CRI012359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:19-03","UNESC","CRI","4816","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","Daniel B. Falkenberg",NA,NA,NA,"Vanilde Citadini Zanette","1996","02","Brasil","Santa Catarina","Araranguá","Inter-praias, entre Araranguá e Sombrio.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4",NA,"CRI001292","2086","15","CRI001292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:19-03","UNESC","CRI","14818","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","Vanilde Citadini-Zanette","1997","02","19","Vanilde Citadini-Zanette; Tânia M. Medeiros","1997","02","Brasil","Santa Catarina","Araranguá","Morro dos Conventos.","-49.375278","-28.942222","49º22'31''W","28º56'32''S",NA,NA,"Habito: Subarbustivo","CRI014143",NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:19-03","UNESC","CRI","6170","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","Daniel B. Falkenberg","1997","11","12","Vanilde Citadini Zanette; Valdemar P. Boff","1997","05","Brasil","Santa Catarina","Araranguá","Ilhas, Hercílio Luz.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","Habitat: restinga","CRI001295","2504","03","CRI001295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:00-03","UNESC","CRI","8463","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","Vanilde C. Zanette",NA,NA,NA,"Régis Cardoso da Silva","2009","01","Brasil","Rio Grande do Sul","Torres","Parque Estadual de Itapeva.","-49.727222","-29.335833","49º43'38''W","29º20'9''S",NA,NA,NA,"CRI001291",NA,"01","CRI001291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:19-03","UNESC","CRI","4918","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.",NA,NA,NA,NA,"Vanilde Citadini Zanette; R. dos Santos","1996","02","Brasil","Santa Catarina","Governador Celso Ramos",NA,"-48.559444","-27.315278","48º33'34''W","27º18'55''S","24","24","Habitat: restinga","CRI001294","2148","02","CRI001294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:00-03","UNESC","CRI","13591","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","Renato Colares","2018","05","28","Renato Colares; Thuany Machado","2018","03","Brasil","Santa Catarina","Treviso","Campo Morozini","-49.445556","-28.531389","49º26'44''W","28º31'53''S","161","161","Habitat: Terrestre Habito: Herbácea","CRI012198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:00-03","UNESC","CRI","6085","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","Vanilde Citadini-Zanette","1997","01","20","V. P. Boff","1997","01","Brasil","Santa Catarina","Içara","Praia do Rincão.","-49.300556","-28.713889","49º18'2''W","28º42'50''S",NA,NA,"Habitat: coletado sobre dunas, em áreas degradadas","CRI001130",NA,"20","CRI001130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:19-03","UNESC","CRI","4821","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","Daniel B. Falkenberg",NA,NA,NA,"Vanilde Citadini Zanette","1996","02","Brasil","Santa Catarina","Araranguá","Interpraias entre araranguá e sombrio.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4",NA,"CRI001296","2091","15","CRI001296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:00-03","UNESC","CRI","3728","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.",NA,NA,NA,NA,"V. P. Boff","1996","06","Brasil","Santa Catarina","Imbituba","Lot. Henrique Lage.","-48.670278","-28.240556","48º40'13''W","28º14'26''S",NA,NA,"Habitat: dunas Habito: arbustiva","CRI001297",NA,"27","CRI001297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:25:00-03","UNESC","CRI","14092","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","Renato Colares","2018","11","20","Valdemar Boff & Vanilde Citadini","1998","01","Brasil","Santa Catarina","Araranguá","Morro dos Conventos","-49.486389","-28.935556","49º29'11''W","28º56'8''S",NA,NA,"Habitat: Terrestre Habito: subarbustivo","CRI012742",NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","788736","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","L. B. Smith",NA,NA,NA,"L. B. Smith","1952","03","Brazil","Santa Catarina","Florianópolis","Morro Itacorubí, Ilha de Santa Catarina.","-48.48","-27.57",NA,NA,"150","150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429837' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788736","6165","12","NY00788736_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
