"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","verbatimLongitude","verbatimLatitude","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","02859453","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","samborae","Pouteria samborae","Alves-Araújo & Mônico","isotype","A. Z. Mônico","15","2014","02","20","South America","Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia, encontro da Trilha Seca com a Trilha do Rio","-40.529878","-19.971892","662","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3243836' target='other'> <mi>dwc_moreinfo</mi></a>","NY02859453","NY02859453_01",NA,NA,NA,NA
"2","2019-12-06 19:30:22-03","UFES","VIES","28886","S","Plantae",NA,NA,"Sapotaceae","Pouteria","samborae","Pouteria samborae","Alves-Araújo & Mônico","Isotipo","A.Z. Mônico; A. Alves-Araújo","15","2014","02","20",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia, encontro da Trilha Seca com a Trilha do Rio.","-40.529722","-19.971667","662",NA,NA,"VIES028886","VIES028886","A.Z. Mônico & A. Alves-Araújo","40º31'47''W","19º58'18''S","662"
"3","2020-07-10 09:49:21-03","MBML","MBML-HERBARIO","50683",NA,"Plantae",NA,NA,"Sapotaceae","Pouteria","samborae","Pouteria samborae","Alves-Araújo & Mônico","HOLOTIPO","A.Z. Monico; Alves-Araújo","15","2014","02","20",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia, encontro da Trilha Seca com a Trilha do Rio","-40.529878","-19.971892","662",NA,"Árvore na beira do rio, botões florais e flores cremes","MBML050683","MBML050683_1 MBML050683_2",NA,"40W31'47,56","19S58'18,81","662"
"4","2020-07-10 09:49:21-03","MBML","MBML-HERBARIO","50771",NA,"Plantae",NA,NA,"Sapotaceae","Pouteria","samborae","Pouteria samborae","Alves-Araújo & Mônico","PARATIPO","J. Freitas; A.Z. Monico","444","2016","12","09",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia, encontro da Trilha Seca com a Trilha do Rio","-40.529878","-19.971892","662",NA,"Árvore na beira do rio, fruto seco","MBML050771","MBML050771",NA,"40W31'47,56","19S58'18,81","662"
