"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","recordNumber","stateProvince","imagecode","identifiedBy","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem","sex"
"1","2020-09-23 10:41:17-03","E","E","387648","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","sericea","Byrsonima sericea","Gifford, D.R. & da Fonsêca, Sidney G.","1971","08","29","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:437231","<a href=http://data.rbge.org.uk/herb/E00387648 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00387648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:17-03","E","E","104522","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","sericea","Byrsonima sericea","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","08","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:113821","<a href=http://data.rbge.org.uk/herb/E00104522 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:17-03","E","E","100031","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","sericea","Byrsonima sericea","Ratter, J.A., Bridgewater, S., Filho, J. Fonsêca & Dias, T.","1999","08","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109535","<a href=http://data.rbge.org.uk/herb/E00100031 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","475479","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","sericea","Byrsonima sericea eglandulosa","G. Gardner","1837",NA,NA,"South America","Brazil","sheet",NA,"Same collection number as NY barcode 475477 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=468684' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475479","Magnoliophyta","Malpighiales","eglandulosa","(A.Juss.) Griseb.","946","Pernambuco","NY00475479_01 NY00475479_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","475444","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","sericea","Byrsonima sericea","A. S. Moreira","1967","03","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=730984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475444","Magnoliophyta","Malpighiales",NA,"DC.","39","Rio de Janeiro","NY00475444_01","W. R. Anderson","Rio de Janeiro","Jacarepaguá, restinga de Itapeba","-43.39678","-23.000764",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","475509","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","sericea","Byrsonima sericea","G. Eiten","1966","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=730971' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475509","Magnoliophyta","Malpighiales",NA,"DC.","7866","Rio de Janeiro","NY00475509_01","W. R. Anderson","Magé","Along road 4.2 km north of Mauá Beach","-43.0406","-22.6531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","475446","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","sericea","Byrsonima sericea","L. R. Landrum","1982","01","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=731007' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475446","Magnoliophyta","Malpighiales",NA,"DC.","4191","Rio de Janeiro","NY00475446_01","W. R. Anderson","Maricá","Marica, Restinga de Marica, between ocean and Lagoa de Marica, ca. 40 km E of Rio de Janeiro","-42.865151","-22.958935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","778717","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","sericea","Byrsonima sericea","A. Furlan","1980","12","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778717","Magnoliophyta","Malpighiales",NA,"DC.","s.n.","Bahia","NY00778717_01","M. C. H. Mamede",NA,"Igatú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1758947","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","sericea","Byrsonima sericea","L. A. Pereira","2010","12","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2013692' target='other'> <mi>dwc_moreinfo</mi></a>","NY01758947","Magnoliophyta","Malpighiales",NA,"DC.","60","Paraíba","NY01758947_01",NA,"João Pessoa","Mata Ciliar do Rio Cuiá: Valentina.","-34.8631","-7.115","47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","475498","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","sericea","Byrsonima sericea","R. M. Harley","1974","02","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=730973' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475498","Magnoliophyta","Malpighiales",NA,"DC.","15789","Bahia","NY00475498_01","W. R. Anderson",NA,"Lagoa Encantada, 19 km N.E. of Ibicoara near Brejao","-41.22","-13.33","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
