"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","maximumElevationInMeters","minimumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","fieldNumber","individualCount","infraspecificEpithet","relatedCatalogItem","previousCatalogNumber"
"1","2021-04-05 14:25:33-03","UNESC","CRI","1546","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","clavata","Tibouchina clavata","(Pers.) Wurdack","Maria Leonor de Souza D#?#el Rey","R. Negrelle; et al.","1992","03","14","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI004505","CRI004505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 00:48:00-03","NY","NYBG","01091721","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","clavata","Tibouchina clavata",NA,"S. A. C. Chiea","B. V. Skvortzov","1966","04","28","Brazil","São Paulo",NA,"Cultivado no Instituto de Botânico de São Paulo, capital.",NA,NA,NA,NA,"NY01091721","NY01091721_01","Magnoliophyta","Myrtales","11","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1251210' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","523077","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","clavata","Tibouchina clavata","(Pers.) Wurdack","P. J. F. Guimarães","P. E. Gibbs","1976","11","09","Brazil","São Paulo",NA,"Estrada Ubatuba a Caraguatatuba","-45.244772","-23.548517",NA,NA,"NY00523077","NY00523077_01","Magnoliophyta","Myrtales","3504","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=610276' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 00:47:00-03","NY","NYBG","01091704","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","clavata","Tibouchina clavata",NA,"S. A. C. Chiea","M. Kuhlmann","1939","08","30","Brazil","Paraná",NA,"Morro Grande",NA,NA,NA,NA,"NY01091704","NY01091704_01","Magnoliophyta","Myrtales","s.n.","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250963' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 15:59:00-03","NY","NYBG","523080","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","clavata","Tibouchina clavata",NA,"P. J. F. Guimarães","L. B. Smith","1929","03","05","Brazil","São Paulo","Itanhaém","Conceiçao de Itanhaen","-46.78","-24.18",NA,NA,"NY00523080","NY00523080_01","Magnoliophyta","Myrtales","2070","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=610281' target='other'> <mi>dwc_moreinfo</mi></a>","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 15:59:00-03","NY","NYBG","523078","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","clavata","Tibouchina clavata",NA,"P. J. F. Guimarães","F. C. Hoehne","1931","09","28","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,"NY00523078","NY00523078_01","Magnoliophyta","Myrtales","28295","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=610279' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 20:07:00-03","NY","NYBG","687341","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","clavata","Tibouchina clavata",NA,"S. A. C. Chiea","S. C. Mazzoni-Viveiros","1991","03","18","Brazil","São Paulo","Cubatao","Área da Industria Ultrafertil (prox. Câmara)","-46.4197","-23.89",NA,NA,"NY00687341","NY00687341_01","Magnoliophyta","Myrtales","83","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=874282' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 20:07:00-03","NY","NYBG","687340","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","clavata","Tibouchina clavata",NA,"S. A. C. Chiea","F. C. Hoehne","1931","11","28","Brazil","São Paulo",NA,"Serra do Mar. Cultivada no Jardim Botânico de São Paulo (Parque do Estado)",NA,NA,NA,NA,"NY00687340","NY00687340_01","Magnoliophyta","Myrtales","s.n.","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=874281' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-30 01:36:00-03","NY","NYBG","1145622","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","clavata","Tibouchina clavata",NA,"R. Goldenberg","R. Goldenberg","2007","11","01","Brazil","Paraná","Pontal do Paraná","Restinga em frente ao Centro de Estudos do Mar.","-48.5111","-25.6736",NA,NA,"NY01145622","NY01145622_01","Magnoliophyta","Myrtales","1022","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320689' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 15:59:00-03","NY","NYBG","523079","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","clavata","Tibouchina clavata",NA,"P. J. F. Guimarães","L. B. Smith","1929","02","23","Brazil","São Paulo","Santo André","Estaçao Biologica, Campo Grande","-46.33","-23.77",NA,NA,"NY00523079","NY00523079_01","Magnoliophyta","Myrtales","1979","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=610280' target='other'> <mi>dwc_moreinfo</mi></a>","900","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
