"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","country","stateProvince","individualCount","occurrenceRemarks","dayIdentified","recordNumber","month","day","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","continentOcean","coordinatePrecision","geoFlag","class","typeStatus"
"1","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","11","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","pinottii","Vriesea pinottii","Reitz","Elton. C. M. Leme","2011","08","Janes Caldas da Silva;","1981","Brasil","Santa Catarina","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-14 10:00:18-03","FURB","FURB","33251","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","pinottii","Vriesea pinottii","Reitz","Costa, A","2011","10","Korte, A.; Gasper, A.L. de","2010","Brasil","Santa Catarina",NA,"Florística IFFSC 8010 (Erva Terrícola) Habitat: Restinga; Estágio Avançado Habito: erva terrícola; flor botão floral amarelo","03","5176","11","29","São Francisco do Sul","Parque Estadual do Acaraí - Praia do Ervino.","-48.5633333","-26.3497222","-48.5633333","-26.3497222","5","5","FURB01177","FURB01177",NA,NA,NA,NA,NA
"3","2020-12-21 16:19:34-03","MBM","MBM","7454","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","pinotti","Vriesea pinotti","Reitz","Leme, E.M.C.",NA,NA,"Hatschbach, G.","1968","Brazil","Paraná",NA,"Epífita.",NA,"19453","06","27","Paranaguá","Rio Cachoeirinha","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,"MBM007454","MBM007454","Southern America","24916","auto",NA,NA
"4","2020-09-12 05:00:02-03","US","US","2025795","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Vriesea","pinottii","Vriesea pinottii","Reitz",NA,NA,NA,"R. Reitz","1951","Brazil","Paraná","1",NA,NA,"4023","5","5",NA,"Guaratuba, super limitem cum Sta. Catarina.",NA,NA,NA,NA,NA,NA,"US00091204","US00091204_01","South America",NA,NA,"Monocotyledonae","Isotype"
