"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","class","individualCount","monthIdentified","relatedCatalogItem","dayIdentified"
"1","2020-09-23 10:39:32-03","E","E","187576","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Harley, R.M.","1992","02","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:195345","<a href=http://data.rbge.org.uk/herb/E00187576 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00187576",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","639119","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","R. M. Harley","1992","02","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=166743' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639119","Magnoliophyta","Lamiales","Wiehler & Chautems","L. E. Skog; A. Chautems","H51552","Bahia","Abaíra","Estrada Catolés-Barra","-41.66","-13.25","1100","1200","NY00639119_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","639118","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","R. M. Harley","1992","02","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=166744' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639118","Magnoliophyta","Lamiales","Wiehler & Chautems","L. E. Skog","H51552","Bahia","Abaíra","Estrada Catolés-Barra","-41.66","-13.25","1100","1200","NY00639118_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:17:36-03","UFBA","ALCB","031910","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Harley, RM; Mayo, S; et al.","1977","02","17","Southern America","Brasil",NA,NA,"Extremely viscid herb with stems to ca. 35cm, often less, from fleshy tuber. Leaves mid-green above, pale beneath. Calyx green. Corolla bright pinkish-red with irregular narrow broken longitudinal bands of dark pink on paler ground, within tube.; San",NA,"Dicotyledon",NA,"Wiehler & Chautems","Woodgyer, EM","19500","Bahia",NA,"Lower N.E. slopes of the Pico das Almas, ca. 25km. W.N.W. of the Vila do Rio de Contas.","-41.95","-13.55","1500","1500",NA,"1992","-41.95","-13.55",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:11:16-03","ESALQ","ESA","23877","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Atkins, S. et al.","1994","03","03",NA,"Brasil",NA,NA,NA,"ESA023877","Magnoliophyta",NA,NA,NA,NA,"Bahia","Rio de Contas",NA,"-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,NA,NA,"49773","auto",NA,NA,NA,NA,NA,NA
"6","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0029845","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","G. Hatschbach; M. Hatschbach & E. Barbosa","1992","4","6",NA,"Brazil",NA,NA,"Rupicola, flor vermelho sanguíneo; untuosa ao tacto.",NA,"Magnoliophyta","Lamiales","Chautems","A. Chautems","56707","Bahia",NA,"Salto do Fragra (mun. Rio de Contas).","-41.810072","-13.58381","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-27 10:25:18-03","UFES","VIES","26558","S","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Perret, M.; Chautems, A.; Peixoto, M. & Dutra, V.F.","2012","04","30",NA,"Brasil",NA,NA,NA,"VIES026558",NA,NA,"Wiehler & Chautems",NA,"50","Bahia","Rio de Contas","Cachoeira do Fraga.","-41.8114013671875","-13.5789003372192","970","970","VIES026558",NA,NA,NA,"49773","auto",NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:29:10-03","MBM","MBM","151479","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Harley, R.M.; Gulietti, A.M.; Pirani, J.R.; Stannard, B.L.; Cordeiro, I.; Kameya; Gulietti, A.M.; Pirani, J.R.; Stannard, B.L.; Cordeiro, I.; Kameyama, C.","1987","02","16","Southern America","Brazil",NA,NA,"Erva viscosa até 20 cm. Nas fendas das rochas perto do rio. Cpalice verde, corola rosa intenso, o tubo na parte ventral mais claro, o tubo inferior e os lóbulos com listras brancas e rosa-intenso. Filetes, anteras e estilete brancos.","MBM151479",NA,NA,"Wiehler & Chautems","Chautems, A.","24338","Bahia","Jussiape","Água empoçada a margem do rio de Contas, próximo da Cidade. Cachoeira da Fraga.","-41.5924987792969","-13.5166997909546",NA,NA,"MBM151479","1992",NA,NA,"26624","auto","PARATYPE",NA,NA,NA,NA,NA
"9","2020-12-21 16:29:10-03","MBM","MBM","150643","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Carvalho, A.M. de; et al.; et al.","1991","02","11","Southern America","Brazil",NA,NA,"Planta com tubérculo crescendo em fresta de rochas calcárias. Planta inreiramente viscosa, com pelos glandulosos e com forte aroma agradável. Flores com cálice verde-pálido e corola róseo-avermelhado, face ninterna do tubo e lobos co","MBM150643",NA,NA,"Wiehler & Chautems","Chautems; Wiehler","3235","Bahia","Rio de Contas","Ca. 5 km S da sede do Município. Cachoeira do Fraga","-41.8114013671875","-13.5789003372192","1000","1000","MBM150643","1991",NA,NA,"49773","auto","ISOTYPE",NA,NA,NA,NA,NA
"10","2020-12-21 16:29:10-03","MBM","MBM","216541","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Harley, R.M.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"MBM216541",NA,NA,"Wiehler & Chautems","Woodgyer, E.M.","19500","Bahia","Rio de Contas","Pico das Almas","-41.8114013671875","-13.5789003372192",NA,NA,"MBM216541",NA,NA,NA,"49773","auto",NA,NA,NA,NA,NA,NA
