"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","yearIdentified","monthIdentified","dayIdentified","recordNumber","year","month","day","barcode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","imagecode","infraspecificEpithet","class","typeStatus","preparationType","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1370","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cereus","fernambucensis","Cereus fernambucensis","Lem.","Nygel Taylor","Juliana Ordones Rego;","Brasil","Espírito Santo","Conceição da Barra","Dunas de Itáunas","-39.7322006225586","-18.5932998657227","41644","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1342","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Cereus","fernambucensis","Cereus fernambucensis","Lem.","Nygel Taylor","Juliana Ordones Rego;","Brasil","Espírito Santo","Conceição da Barra","Dunas de Itáunas","-39.7322006225586","-18.5932998657227","41644","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:29:42-03","UFRJ","RFA","22196","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","fernambucensis","Cereus fernambucensis","Lem.","M. Machado","C.M. Rizzini","Brasil","Rio de Janeiro","Maricá","Barra de Maricá (Zacarias)","-42.8185997009277","-22.9193992614746","20726","Flor em botão branco","auto","2013","09","18","438","1988","08","29","RFA18335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:29:42-03","UFRJ","RFA","39393","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","fernambucensis","Cereus fernambucensis","Lem.","M. Machado","A.C.M. Vieira","Brasil","Rio de Janeiro","Maricá","Praia de Itaipuaçu","-42.8185997009277","-22.9193992614746","20726","Cladódios com ca. de 40 cm de altura. Flores brancas com cerca de 20 cm de comprimento, antese noturna, comum no local, primeiro cordão arenoso da restinga","auto","2013","09","18","14","2008","01","22","RFA24376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:19:15-03","UFRJ","RFA","29693","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","fernambucensis","Cereus fernambucensis","Lem.","Marlon Machado","Flávio de Britto Pereira","Brasil","Rio de Janeiro","Carapebus","1º Distrito, PPM Mineração.","-41.634167","-22.243611",NA,"Herbácea, folha verde, flor amarela, comum na região.",NA,"2013","09","18","10/133","2001","12","11","RFA35362","41º38'3''W","22º14'37''S","18","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:19:15-03","UFRJ","RFA","29694","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","fernambucensis","Cereus fernambucensis","Lem.","Marlon Machado","Flávio de Britto Pereira","Brasil","Rio de Janeiro","Carapebus","1º Distrito, PPM Mineração.","-41.634167","-22.243611",NA,"Herbácea, folha verde, flor branca, abundante na região.",NA,"2013","09","18","11/133","2001","12","11","RFA35361","41º38'3''W","22º14'37''S","19","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:19:15-03","UFRJ","RFA","22536","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","fernambucensis","Cereus fernambucensis","Lem.","M. Machado","C.M. Rizzini","Brasil","Rio de Janeiro","Maricá","Barra de Maricá. Picada da Aeronáutica","-42.8185997009277","-22.9193992614746","20726","Flores brancas, botões","auto","2013","09","18","444","1988","10","25","RFA18551",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:29:42-03","UFRJ","RFA","21457","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cereus","obtusus","Cereus obtusus","Haw.","C.M. Rizzini","C.M. Rizzini","Brasil","Rio de Janeiro","Rio de Janeiro","Ilha da Marambaia, Praia Grande","-43.2075004577637","-22.9027996063232","57442","cactus de ca. 2 m de altura. flores brancas","auto",NA,NA,NA,"306","1986","01","16","RFA17737",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:12:20-03","UFBA","ALCB","134622","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Cereus","fernambucensis","Cereus fernambucensis","Lem.","Guedes, ML","Guedes, ML; Alunos de Botânica Econômica","Brasil","Bahia","Uruçuca","Serra Grande, Restinga.do Pompilho.","-39.466667","-14.983333",NA,"Cladódios cilíndricos, aréolas com espinhos longos. Frutos quando maduros vermelhos, comestíveis.",NA,"2019","06",NA,"31585","2019","05","17","ALCB059382","-39.466667","-14.983333",NA,NA,"Southern America","ALCB059382",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:12:17-03","UFBA","ALCB","025622","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Cereus","fernambucensis","Cereus fernambucensis","Lem.","Toppo, D","Guedes, ML","Brasil","Bahia",NA,"Área de Aracruz celulose.",NA,NA,NA,"Planta Terrestre, colunar, anguloso. Aréolas com espinhos. Flores e espinhos originados na mesma aréola. Perianto infundibuliforme, caduco por abscisão.",NA,"1998","08",NA,"3525","1993","08","23",NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-02-08 21:31:57-03","UFBA","ALCB","02902","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Cereus","fernambucensis","Cereus fernambucensis","Lem.","Taylor, NP; Zappi, D","Costa, AL","Brasil","Bahia",NA,"Jardim de Alá (Pituba).",NA,NA,NA,NA,NA,"1992","04",NA,"s/n","1959",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:12:17-03","UFBA","ALCB","029819","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Cereus","fernambucensis","Cereus fernambucensis","Lem.","Toppo, D","Gomes, M","Brasil","Bahia",NA,"Dunas de Itapuã.","-38.35","-12.933333",NA,"Suculenta. Folhas reduzidas em mamilos com espinhos. Frequência: Ocasional.; Dunas. Substrato arenoso.",NA,"1998","08",NA,"10","1996","03","13",NA,"-38.35","-12.933333",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-10-09 11:12:17-03","UFBA","ALCB","039278","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Cereus","fernambucensis","Cereus fernambucensis","Lem.","Fonseca, MR","Fonseca, MR; Guedes, ML","Brasil","Bahia","Prado","Extremo Sul","-39.183333","-17.266667",NA,"1 m. Flores perfumadas, visitadas por coleopteros e abelhas. Comum.; arbórea. Substrato arenoso.",NA,"1998","12",NA,"1171","1998","12","14",NA,"-39.183333","-17.266667",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-10-09 11:12:17-03","UFBA","ALCB","051846","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Cereus","fernambucensis","Cereus fernambucensis","Lem.","Ana, LYS","Guedes, ML; Alunos de Botânica III","Brasil","Bahia",NA,NA,"-38.283333","-12.516667",NA,NA,NA,"2006","02",NA,"8203","2001","02","03",NA,"-38.283333","-12.516667",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
