"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","phylum","order","monthIdentified","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","barcode","imagecode","typeStatus","dayIdentified","individualCount","class"
"1","2021-03-10 14:35:19-03","UFSC","CTBS","3781","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","elegans","Galianthe elegans","E.L.Cabral","Floretin, J.E.","2016","Florentín, J.E.; Núñes Florentin, M. & Pastore, J.F.B.","47","2016","12","12","Brasil","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","Sufrutice erecto,70 cm aprox, escasas, fruto verde.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-16 17:52:32-03","UCS","HUCS","51308","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","elegans","Galianthe elegans","E.L. Cabral","Gonzatti, F.","2020","Gonzatti, F.","2886","2016","11","13","Brasil","Paraná","Ponta Grossa","-49.9575","-25.189167",NA,"Erva ereta. Entre a vegetação campestre. Flores alvas, tubulosas.",NA,"Angiospermae","Gentianales","10","Parque Estadual de Vila Velha","-49.9575","-25.189167","870","870",NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:43:19-03","MBM","MBM","394528","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","elegans","Galianthe elegans","E.L. Cabral",NA,NA,"Silva, A.R.","s.n.","2012","02","15","Brazil","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","Erva de 57cm de altura.; Em campo seco.","auto",NA,NA,NA,"Parque Estadual de Vila Velha",NA,NA,NA,NA,"Southern America","MBM394528","MBM394528",NA,NA,NA,NA
"4","2020-12-21 16:43:19-03","MBM","MBM","397868","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","elegans","Galianthe elegans","E.L. Cabral","Barboza, E.","2014","Amaral-Neto, L.P.","24","2011","09","24","Brazil","Paraná","Ponta Grossa","-50.008056","-25.241944",NA,"Herbácea, flor branca.; Campos Gerais, campo seco as margens de um riacho.",NA,NA,NA,"04","Parque Estadual de Vila Velha, Atrás da igreja","-50.008056","-25.241944","880","880","Southern America","MBM397868","MBM397868",NA,NA,NA,NA
"5","2020-12-21 16:43:19-03","MBM","MBM","397872","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","elegans","Galianthe elegans","E.L. Cabral","Barboza, E.","2014","Amaral-Neto, L.P.","34","2011","10","11","Brazil","Paraná","Ponta Grossa","-50.008056","-25.241944",NA,"Herbácea, flor branca.; Campos Gerais, campo seco as margens de um riacho.",NA,NA,NA,"04","Parque Estadual de Vila Velha, Atrás da igreja","-50.008056","-25.241944","880","880","Southern America","MBM397872","MBM397872",NA,NA,NA,NA
"6","2020-12-21 16:43:19-03","MBM","MBM","397876","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","elegans","Galianthe elegans","E.L. Cabral","Barboza, E.","2014","Amaral-Neto, L.P.","41","2011","12","28","Brazil","Paraná","Ponta Grossa","-50.008056","-25.241944",NA,"Herbácea, flor branca.; Campos Gerais, campo seco.",NA,NA,NA,"04","Parque Estadual de Vila Velha, Atrás da igreja","-50.008056","-25.241944","880","880","Southern America","MBM397876","MBM397876",NA,NA,NA,NA
"7","2020-12-21 16:43:19-03","MBM","MBM","429088","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","elegans","Galianthe elegans","E.L. Cabral","Lozano, E.D.","2017","Lozano, E.D.; Martins-Filho, V.S.; Oliveira, A.A.; Silva, A.A.; Martins-Filho, V.S.; Oliveira, A.A.; Silva, A.A.","3630","2017","03","14","Brazil","Paraná","Ponta Grossa","-50.035444","-25.060333",NA,"Subarbusto, 80 cm, flores alvas, em campo seco.; Campos Gerais.",NA,NA,NA,NA,"Sítio da Família Martins","-50.035444","-25.060333",NA,NA,"Southern America","MBM429088",NA,NA,NA,NA,NA
"8","2020-12-21 16:43:19-03","MBM","MBM","162458","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","elegans","Galianthe elegans","E.L. Cabral","Cabral, E.L.","1993","Krapovickas, A.; Cristóbal, C.L.; Cristóbal, C.L.","40875","1987","01","15","Brazil","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","Ereta.; En campo.","auto",NA,NA,NA,"Vila Velha, Alrededor de la iglesia",NA,NA,NA,NA,"Southern America","MBM162458","MBM162458","HOLOTYPE",NA,NA,NA
"9","2021-02-11 17:21:32-03","UFPR","UPCB","50396","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","elegans","Galianthe elegans","Cabral","Guimarães, O.A.","2004","Gonçalves, R.","123","2003","10","04","Brasil","Paraná","Ponta Grossa","-49.983333","-25.233333",NA,"40cm, flor branca, bulbo subterrâneo..",NA,NA,NA,"01","Parque Estadual de Vila Velha, próximo a Fortaleza, 25°14'S49°59'W","-49.983333","-25.233333",NA,NA,NA,NA,NA,NA,"01",NA,NA
"10","2016-11-15 05:15:00-02","MO","MOBOT","100175311","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","elegans","Galianthe elegans","E.L. Cabral","E.L. Cabral, Type",NA,"Antonio C. Krapovickas|Carmen L. Cristóbal","Krapovickas 40875","1987","1","15","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vila Velha.",NA,NA,NA,NA,"South America",NA,NA,NA,NA,"1",NA
"11","2020-09-12 05:00:02-03","US","US","2602337","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","elegans","Galianthe elegans","E.L. Cabral",NA,NA,"H. Moreira F. & M. Joly","472",NA,NA,NA,"Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"Rubiales",NA,"Vila Velha, Ponta Grossa.",NA,NA,NA,NA,"South America","US02687768","US02687768_01",NA,NA,"1","Dicotyledonae"
"12","2020-09-12 05:00:02-03","US","US","2708043","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","elegans","Galianthe elegans","E.L. Cabral",NA,NA,"H. Moreira F. & M. Joly","472",NA,NA,NA,"Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"Rubiales",NA,"Vila Velha, Ponta Grossa.",NA,NA,NA,NA,"South America","US02687767","US02687767_01",NA,NA,"1","Dicotyledonae"
"13","2020-09-12 05:00:02-03","US","US","2821321","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","elegans","Galianthe elegans","E.L. Cabral",NA,NA,"L. Dombrowski","6462","1976","10","11","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"Rubiales",NA,"Ponta Grossa-PR (proximo a Vila Velha).",NA,NA,NA,NA,"South America","US02687766","US02687766_01",NA,NA,"1","Dicotyledonae"
"14","2020-09-12 05:00:02-03","US","US","2456529","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","elegans","Galianthe elegans","E.L. Cabral",NA,NA,"E. A. Moreira","3",NA,NA,NA,"Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"Rubiales",NA,"Rodovia, P. Grossa-Castro",NA,NA,NA,NA,"South America","US02687765","US02687765_01",NA,NA,"1","Dicotyledonae"
"15","2020-09-12 05:00:02-03","US","US","2577385","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","elegans","Galianthe elegans","E.L. Cabral",NA,NA,"L. Dombrowski","715",NA,NA,NA,"Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"Rubiales",NA,"Vila Velha, Pta Grossa-Pr.",NA,NA,NA,NA,"South America","US02687769","US02687769_01",NA,NA,"1","Dicotyledonae"
"16","2014-04-04 18:28:32-03","PNFM","IRAI","2974","S","Plantae","Rubiaceae","Galianthe","elegans","Galianthe elegans","E.L.Cabral","Cordeiro, J.; Santos, E.L. dos","2012","Ristow, R.","965","2010","10","23","Brasil","Paraná","Ponta Grossa","-49.998722","-25.236806",NA,"Herbácea, 50 cm, flor alba. Campo limpo",NA,"Magnoliophyta",NA,"05","Fortaleza, Parque Estadual de Vila Velha","-49.998722","-25.236806",NA,NA,NA,"IRAI00002974",NA,NA,NA,NA,NA
"17","2014-04-04 18:28:32-03","PNFM","IRAI","5277","S","Plantae","Rubiaceae","Galianthe","elegans","Galianthe elegans","E.L.Cabral","Ristow, R.; Teixeira, T.B.","2012","Ristow, R.","2064","2011","12","29","Brasil","Paraná","Ponta Grossa","-49.989639","-25.239583",NA,"Herbácea, 70 cm, flor alba. Campo limpo seco",NA,"Magnoliophyta",NA,"01","Parque Estadual de Vila Velha","-49.989639","-25.239583","965","965",NA,"IRAI00005277",NA,NA,"11",NA,NA
"18","2014-04-04 18:28:32-03","PNFM","IRAI","5196","S","Plantae","Rubiaceae","Galianthe","elegans","Galianthe elegans","E.L.Cabral","Ristow, R.; Teixeira, T.B.","2012","Maranho, L.T.","s.n.","2011","12","29","Brasil","Paraná","Ponta Grossa","-50.001778","-25.241556",NA,"Herbácea, 45 cm, flor branca. Campo limpo seco",NA,"Magnoliophyta",NA,"01","Parque Estadual de Vila Velha","-50.001778","-25.241556","915","915",NA,"IRAI00005196",NA,NA,"11",NA,NA
