"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","month","day","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","monthIdentified","dayIdentified","individualCount","fieldNumber"
"1","2020-09-23 10:39:40-03","E","E","221686","PreservedSpecimen","Plantae","Gramineae","Paspalum","distichum","Paspalum distichum","Smith, Herbert H.","2159","W. Tropical South America","CO","herbarium specimen of unspecif","BGBASE:232218","<a href=http://data.rbge.org.uk/herb/E00221686 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00221686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","662918","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","F. R. Fosberg","43386","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207994' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662918","Magnoliophyta","Poales","L.","1962","11","02","Rio de Janeiro","Restinga de Barros de Tijuca","-43.36594","-23.011012","NY00662918_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-11-01 14:26:00-02","NY","NYBG","662916","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","G. Davidse","11808","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207987' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662916","Magnoliophyta","Poales",NA,"1976","04","02","Sergipe","Banks of the Rio Real at the state border of Sergipe and Bahia along Highway BR-101","-37.7553","-11.4758","NY00662916_01","Cristinápolis","80","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 01:50:00-03","NY","NYBG","662924","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","C. Bruch","s.n.","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207992' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662924","Magnoliophyta","Poales",NA,"1908",NA,NA,"Tucumán","Valle de Tafí",NA,NA,NA,NA,NA,NA,"J. R. Swallen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","662922","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","J. R. Swallen","7586","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207991' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662922","Magnoliophyta","Poales","L.","1945","12","04","Rio Grande do Sul","Fazenda Experimental de Criacao Bagé",NA,NA,"NY00662922_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","662923","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","R. L. Barbieri","s.n.","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662923","Magnoliophyta","Poales","L.","1991","02","13","Rio Grande do Sul","Nova Milano","-51.338611","-29.276126","NY00662923_01",NA,"700","700","L. B. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","662920","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","S. M. Silva","s.n.","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662920","Magnoliophyta","Poales","L.","1997","09","24","Paraná","Ilha do Mel, Praia do Farol","-48.3","-25.53","NY00662920_01","Paranaguá",NA,NA,"C. Kozera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","662925","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","N. J. Andersson","s.n.","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207995' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662925","Magnoliophyta","Poales","L.","1852","03","18",NA,"Insula San Lorenzo prope Callao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","662921","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","J. R. Swallen","7528","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207990' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662921","Magnoliophyta","Poales","L.","1945","11","30","Rio Grande do Sul","Fazenda Experimental de Criacao Bagé",NA,NA,"NY00662921_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","662919","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","F. C. Hoehne","s.n.","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207988' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662919","Magnoliophyta","Poales","L.","1932","12","29","São Paulo","Parque do Estado","-46.621883","-23.654505","NY00662919_01","Sao Paulo",NA,NA,"F. C. Hoehne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
