"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","stateProvince","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:24:48-03","UNESC","CRI","2796","PreservedSpecimen","Plantae","Annonaceae","Annona","dioica","Annona dioica","A.St.-Hil.","A. P. Duarte","A. P. Duarte","1962","11","18","Brasil","Várzea","Faz. da Mãe d#?#água.","-44.731111","-17.598611","44º43'52''W","17º35'55''S","103","103","CRI000143","CRI000143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:02-03","E","E","102404","PreservedSpecimen","Plantae","Annonaceae","Annona","dioica","Annona dioica",NA,NA,"Ratter, J.A.; Filho, J. Fonsêca; Bridgewater, S. & Farias, R.","1998","11","14","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00102404",NA,"8013","E. Tropical South America","herbarium specimen of unspecif","BGBASE:110854","<a href=http://data.rbge.org.uk/herb/E00102404 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","378731","PreservedSpecimen","Plantae","Annonaceae","Annona","dioica","Annona dioica","A.St.-Hil.","F. A. Vitta; R. de Mello-Silva","A. M. Giulietti","1986","10",NA,"Brazil","Pirassununga","Pirassununga: Cerrado de Emas","-47.375621","-21.941912",NA,NA,NA,NA,"NY00378731","NY00378731_01",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162164' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","378733","PreservedSpecimen","Plantae","Annonaceae","Annona","dioica","Annona dioica","A.St.-Hil.","W. Morawetz; H. Rainer","I. Silberbauer-Gottsberger","1972","12","14","Brazil","Botucatu","18 km north of Botucatu, (14 km east of Sao Manuel). Along the Sao Manuel-Piracicaba highway. Near ex-RR station 13 de Maio","-48.42","-22.75",NA,NA,"550","550","NY00378733","NY00378733_01","2012","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162167' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","378952","PreservedSpecimen","Plantae","Annonaceae","Annona","dioica","Annona dioica","A.St.-Hil.","W. Morawetz; H. Rainer","J. C. Solomon","1982","02","08","Paraguay",NA,"Parque Nacional Cerro Corá, Many isolated, flat topped sandstone hills tall, with level areas of sandy soil between","-56.05","-22.65",NA,NA,"300","300","NY00378952","NY00378952_01","6838","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162165' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","Amambay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00836196","PreservedSpecimen","Plantae","Annonaceae","Annona","dioica","Annona dioica","A.St.-Hil.","L. Aristeguieta","H. S. Irwin","1965","11","18","Brazil","Cabeceiras","Serra do Rio Preto, ca. 7 km E. of Cabeceiras","-46.91797","-15.8",NA,NA,"1000","1000","NY00836196",NA,"10494","South America","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920589' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","378732","PreservedSpecimen","Plantae","Annonaceae","Annona","dioica","Annona dioica","A.St.-Hil.","W. Morawetz; H. Rainer","I. Silberbauer-Gottsberger","1972","11","09","Brazil","Botucatu","18 km north of Botucatu, (14 km east of Sao Manuel). Along the Sao Manuel-Piracicaba highway. Near ex-RR station 13 de Maio","-48.42","-22.75",NA,NA,"550","550","NY00378732","NY00378732_01","1191172","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162166' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-28 10:07:00-03","NY","NYBG","378953","PreservedSpecimen","Plantae","Annonaceae","Annona","dioica","Annona dioica",NA,"W. Morawetz; H. Rainer","T. J. Killeen","1985","09","06","Bolivia",NA,"Nuflo d Chavez, Est. Viera, 2 km SE of Concepcion","-62.03","-16.15",NA,NA,"500","500","NY00378953",NA,"1170","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162168' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","Santa Cruz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","378734","PreservedSpecimen","Plantae","Annonaceae","Annona","dioica","Annona dioica","A.St.-Hil.",NA,"J. A. Ratter","1978","10","23","Brazil","Padre Bernardo","Fazenda Lagoa Santa","-48.58","-15.5",NA,NA,NA,NA,"NY00378734","NY00378734_01","4218","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162170' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00836278","PreservedSpecimen","Plantae","Annonaceae","Annona","dioica","Annona dioica","A.St.-Hil.","W. Morawetz; H. Rainer","L. Riedel",NA,NA,NA,"Brazil",NA,"Brasilia",NA,NA,NA,NA,NA,NA,"NY00836278","NY00836278_01","s.n.","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920950' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
