"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","infraspecificEpithet","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:18-03","E","E","144570","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","St.G.Beck","6909","1981","07","20","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:153939","<a href=http://data.rbge.org.uk/herb/E00144570 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00144570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:18-03","E","E","144556","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","L.A.Mattos Silva, L.R.Noblick, T.S.dos Santos & H.S.Brito","1881","1985","08","06","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:153918","<a href=http://data.rbge.org.uk/herb/E00144556 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00144556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","867339","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","B. A. Krukoff","5763",NA,NA,NA,"South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867339","Magnoliophyta","Malvales","(L.) Gaertn.","A. C. Smith","Acre","Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33","NY00867339_01 NY00867339_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","784843","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","M.-F. Prévost","4580","2002","09","29","South America","French Guiana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359384' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784843","Magnoliophyta","Malvales","(L.) Gaertn.","M.-F. Prévost; D. R. L. Sabatier",NA,"Cayenne. Centre ORSTOM. Jardin.","-52.3178","4.9481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00996656","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","D. C. Daly","D398","1980","10","01","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1115741' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996656","Magnoliophyta","Malvales","(L.) Gaertn.","J. A. Kallunki","Maranhão","Road from São Luiz Gonzaga to Santo Antonio, 53 to 35 km from Bacabal.","-44.67","-4.32","NY00996656_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","867337","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","B. A. Krukoff","5763",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867337","Magnoliophyta","Malvales","(L.) Gaertn.","A. C. Smith","Acre","Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33","NY00867337_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00996657","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","R. de Lemos Fróes","1997","1932","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1115748' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996657","Magnoliophyta","Malvales","(L.) Gaertn.",NA,"Maranhão","Maracassumé River Region.","-45.8917809","-1.8926301","NY00996657_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-26 23:49:00-03","NY","NYBG","784841","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","Kröll","67","1986","07","01","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359397' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784841","Magnoliophyta","Malvales",NA,NA,"Huánuco","Dtto. Yuyapichis, Prov. Puerto Inca.","-75.03","-9.67",NA,"270","270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","195540","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","W. L. Balée","2262","1986","05","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00195540","Magnoliophyta","Malvales","(L.) Gaertn.",NA,"Maranhão","Ka'apor Indian Reserve. Inventory of 80 year old fallow","-45.25","-3.5","NY00195540_01",NA,NA,"Monção",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","784844","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","M.-F. Prévost","4580","2002","09","29","South America","French Guiana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784844","Magnoliophyta","Malvales","(L.) Gaertn.","M.-F. Prévost; D. R. L. Sabatier",NA,"Cayenne. Centre ORSTOM. Jardin.","-52.3178","4.9481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
