"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","fieldNumber","county","minimumElevationInMeters","individualCount","class","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","172351","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Cucurbitaceae","Cayaponia","pedata","latifolia","Cayaponia pedata latifolia","Cogn.","not a type","A. F. M. Glaziou","10861","1878","06","18","South America","Brazil","Rio de Janeiro","Corcovado, avant d'arrivier á la passerelle.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00172351","NY00172351_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-02-02 14:37:57-02","BGBM","B","B 10 0268343","S","Plantae",NA,NA,"Cucurbitaceae","Cayaponia","pedata",NA,"Cayaponia pedata",NA,NA,"F. C. Hoehne","5074",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100268343 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100268343","B100268343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:28:46-03","UNICAMP","UEC","120764","S","Plantae","Magnoliopsida",NA,"Cucurbitaceae","Cayaponia","pedata",NA,"Cayaponia pedata","Cogn.",NA,"Nakano, S; Vasconcellos-Neto, J","1050","2000","01","16",NA,"Brazil","São Paulo","Serra do Japi, Paradise 3, 45 km from Campinas, SP.",NA,"grow beside the road, a leaf is divided into three small leaves.","UEC036959","UEC036959","Gomes-Klein, VL","2016","06","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-11-06 22:14:10-02","MNHN","RECOLNAT_MNHN_P","P02273885","PreservedSpecimen",NA,NA,NA,"Cucurbitaceae","Cayaponia","pedata",NA,"Cayaponia pedata","Cogn.","syntype","Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,"Province de Minas Geraes","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02273885' target='other'> <mi>dwc_moreinfo</mi></a>","P02273885","P02273885_01","Gomes-Klein",NA,NA,NA,"Voyage d'Auguste de Saint-Hilaire de 1816 à 1821/B1 543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-11-06 22:14:17-02","MNHN","RECOLNAT_MNHN_P","P02273886","PreservedSpecimen",NA,NA,NA,"Cucurbitaceae","Cayaponia","pedata",NA,"Cayaponia pedata","Cogn.","syntype","Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,"Province de Minas Geraes","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02273886' target='other'> <mi>dwc_moreinfo</mi></a>","P02273886","P02273886_01","Gomes-Klein",NA,NA,NA,"Voyage d'Auguste de Saint-Hilaire de 1816 à 1821/B1 543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2014-10-22 10:39:06-02","MNHN","RECOLNAT_MNHN_P","P02273887","PreservedSpecimen",NA,NA,NA,"Cucurbitaceae","Cayaponia","pedata",NA,"Cayaponia pedata","Cogn.","syntype","Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,"Province de Minas Geraes","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02273887' target='other'> <mi>dwc_moreinfo</mi></a>","P02273887","P02273887_01","Cogniaux",NA,NA,NA,"Voyage d'Auguste de Saint-Hilaire de 1816 à 1821/B1 543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2014-10-22 10:39:06-02","MNHN","RECOLNAT_MNHN_P","P02273888","PreservedSpecimen",NA,NA,NA,"Cucurbitaceae","Cayaponia","pedata","latiloba","Cayaponia pedata latiloba","Cogn.","isotype","Glaziou, A.",NA,"1878","1","18",NA,"Brésil",NA,"Rio Janeiro. Corcovado, avant d'arriver à la passerelle.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02273888' target='other'> <mi>dwc_moreinfo</mi></a>","P02273888","P02273888_01","Gomes-Klein",NA,NA,NA,"10861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-05 09:29:04-03","MNHN","RECOLNAT_MNHN_P","P06395726","PreservedSpecimen",NA,NA,NA,"Cucurbitaceae","Cayaponia","pedata","latiloba","Cayaponia pedata latiloba","Cogn.","isotype","Glaziou, A.",NA,"1878","1","18",NA,"Brésil",NA,"Rio Janeiro. Corcovado, avant d'arriver à la passerelle.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06395726' target='other'> <mi>dwc_moreinfo</mi></a>","P06395726","P06395726_01 P06395726_02",NA,NA,NA,NA,"10861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-09-05 09:29:04-03","MNHN","RECOLNAT_MNHN_P","P06395727","PreservedSpecimen",NA,NA,NA,"Cucurbitaceae","Cayaponia","pedata","latiloba","Cayaponia pedata latiloba","Cogn.","isotype","Glaziou, A.",NA,"1878","1","18",NA,"Brésil",NA,"Rio Janeiro. Corcovado, avant d'arriver à la passerelle.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06395727' target='other'> <mi>dwc_moreinfo</mi></a>","P06395727","P06395727_01 P06395727_02","Gomes-Klein",NA,NA,NA,"10861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2014-11-19 12:33:00-02","MO","MOBOT","1910432","PreservedSpecimen","Plantae",NA,NA,"Cucurbitaceae","Cayaponia","pedata",NA,"Cayaponia pedata","Cogn.",NA,"Pedro Acevedo-Rodríguez|et al.","Acevedo-Rodríguez 1261","1986","7","11","South America","Colombia","Antioquia","Corregimiento de nutibara",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Frontino","1780.00000000","1",NA,NA,NA,NA,NA,NA,NA
