"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","recordNumber","phylum","order","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","infraspecificEpithet","typeStatus","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-04-05 14:25:41-03","UNESC","CRI","10378","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","graciliflora","Guapira graciliflora","(Mart. ex Schmidt) Lundell","Marcos Sobral","2011","Vanilde Citadini-Zanette","2000","10","31","Brasil","Santa Catarina","Governador Celso Ramos","Praia de Palmas.","-48.533333","-27.332778","48º32'0''W","27º19'58''S","Habito: Arbustivo","CRI014216","CRI014216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:01-03","E","E","99992","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","graciliflora","Guapira graciliflora",NA,NA,NA,"Bridgewater, S., Ratter, J.A. & Filho, J.F.","1999","08","15","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00099992 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00099992",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:109303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:01-03","E","E","68788","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","graciliflora","Guapira graciliflora",NA,NA,NA,"Harley, R.M.; Hind, D.J.N.; Simao, R. & Fothergill, J.M.","1988","11","06","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00068788 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00068788",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:76810","25918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:42:02-03","E","E","104496","PreservedSpecimen","Plantae","Nyctaginaceae","Pisonia","graciliflora","Pisonia graciliflora",NA,NA,NA,"Bridgewater, S., Ratter, J.A. & Filho, J.F.","1998","11","15","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00104496 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104496",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:113733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","657099","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","graciliflora","Guapira graciliflora","(Mart. ex J.A.Schmidt) Lundell","A. Furlan",NA,"R. M. Harley","1988","10","12","Brazil","Minas Gerais","Buenópolis","Serra do Cabral, a 6-7 km da cidade","-44.25","-17.88",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38356' target='other'> <mi>dwc_moreinfo</mi></a>","NY00657099","NY00657099_01","South America","sheet",NA,"24864","Magnoliophyta","Caryophyllales","760","760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00859208","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","graciliflora","Guapira graciliflora","(Mart. ex J.A.Schmidt) Lundell",NA,NA,"G. C. G. Argent","1967","10","02","Brazil","Mato Grosso",NA,"Base Camp","-51.77","-12.82",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956490' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859208","NY00859208_01","South America","sheet",NA,"6597","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2434813","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","graciliflora","Guapira graciliflora","(Mart. ex J.A.Schmidt) Lundell",NA,NA,"R. M. Harley","1968","09","12","Brazil","Mato Grosso",NA,"Near base camp","-51.77","-12.82",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2660212' target='other'> <mi>dwc_moreinfo</mi></a>","NY02434813","NY02434813_01","South America","sheet",NA,"10003","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2434811","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","graciliflora","Guapira graciliflora","(Mart. ex J.A.Schmidt) Lundell",NA,NA,"J. A. Ratter","1976","08","09","Brazil","Distrito Federal","Brasília","Close to the Escola Fazendária, c. 11km SE of the Brasília TV Tower.","-47.9294","-15.7797",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2660210' target='other'> <mi>dwc_moreinfo</mi></a>","NY02434811","NY02434811_01","South America","sheet",NA,"R3424","Magnoliophyta","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","657072","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","graciliflora","Guapira graciliflora","(Mart. ex J.A.Schmidt) Lundell","A. Furlan",NA,"R. M. Harley","1988","10","25","Brazil","Bahia","Rio de Contas","5km da cidade na estrada para Livramento do Brumado","-41.82","-13.62",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38354' target='other'> <mi>dwc_moreinfo</mi></a>","NY00657072","NY00657072_01","South America","sheet",NA,"25605","Magnoliophyta","Caryophyllales","600","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","657098","PreservedSpecimen","Plantae","Nyctaginaceae","Guapira","graciliflora","Guapira graciliflora","(Mart. ex J.A.Schmidt) Lundell","A. Furlan",NA,"R. M. Harley","1988","11","06","Brazil","Bahia","Rio de Contas","Pico das Almas. Vertente leste. Junco. 9-11km ao N-O da cidade","-41.88","-13.53",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=38357' target='other'> <mi>dwc_moreinfo</mi></a>","NY00657098","NY00657098_01","South America","sheet",NA,"25918","Magnoliophyta","Caryophyllales","1120","1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
