"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","402612","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","macrantha","Jacaranda macrantha","Cham.","A. H. Gentry","59214","1987","09","14","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal CVRD, N of Linhares.","-40","-19.17","20","20","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587831' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402612","NY00402612_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","402615","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","macrantha","Jacaranda macrantha","Cham.","H. Q. B. Fernandes","2279","1988","02","15","South America","Brazil","Espírito Santo","Santa Teresa","Santa Teresa, sede, Museu de Biologia, morro atrás da residência do diretor.","-40.6003","-19.9358",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587825' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402615","NY00402615_01","A. H. Gentry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01109594","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","macrantha","Jacaranda macrantha","Cham.","H. L. de M. Barreto","1869","1934","01","20","South America","Brazil","Minas Gerais","Belo Horizonte","Bello Horizonte, Jardim Botanico","-43.9378","-19.9208",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1300974' target='other'> <mi>dwc_moreinfo</mi></a>","NY01109594","NY01109594_01","P. C. Standley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 01:25:00-03","NY","NYBG","01109593","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","macrantha","Jacaranda macrantha",NA,"J. Ramos","6681","1966","07","19","South America","Brazil","Distrito Federal","Brasília","at Fazenda Vargem Bonita, ca. 10 km. south of Brasilia","-47.9294","-15.7797","900","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1300977' target='other'> <mi>dwc_moreinfo</mi></a>","NY01109593","NY01109593_01","P. C. Standley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","402613","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","macrantha","Jacaranda macrantha","Cham.","W. W. Thomas","10897","1995","03","28","South America","Brazil","Bahia","Uruçuca","7.4 km north of Serra Grande on road to Itacaré, Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0606","-14.4233",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587830' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402613","NY00402613_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","402614","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","macrantha","Jacaranda macrantha","Cham.","W. W. Thomas","8844","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Parcel: 49. Tree # 2472.","-39.0617","-14.4231",NA,NA,"sheet","Serra Grande inventory voucher specimen. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587829' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402614","NY00402614_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","777296","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","macrantha","Jacaranda macrantha","Cham.","L. Rossi","2180","2000","09","21","South America","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Nucleo Caraguatatuba, Trilha do Poçao","-45.43","-23.58","60","85","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587826' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777296","NY00777296_01","L. Rossi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01109597","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","macrantha","Jacaranda macrantha","Cham.","Y. E. J. Mexia","5194a","1930","10","17","South America","Brazil","Minas Gerais","Viçosa","Fazenda do Deserto; small valley at head of stream.","-42.8817","-20.7542","720","720","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305807' target='other'> <mi>dwc_moreinfo</mi></a>","NY01109597","NY01109597_01","N. Y. Sandwith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01109596","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","macrantha","Jacaranda macrantha","Cham.","Y. E. J. Mexia","4579","1930","04","08","South America","Brazil","Minas Gerais","Viçosa","Agricultural College lands; Barbado. Above reservoir.","-42.860644","-20.766686","685","685","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305799' target='other'> <mi>dwc_moreinfo</mi></a>","NY01109596","NY01109596_01","N. Y. Sandwith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 16:17:00-03","NY","NYBG","402619","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","macrantha","Jacaranda macrantha",NA,"E. L. Little Jr.","40031","1984","01","20","South America","Paraguay","Paraguarí",NA,"90 km SE Asunción. Parque Nacional Ybycuí","-57","-26",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587828' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402619",NA,"I. de Vattimo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","402616","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","macrantha","Jacaranda macrantha","Cham.","Y. E. J. Mexia","4092","1929","12","04","South America","Brazil","Espírito Santo",NA,"Santa Barbara de Caparaó. Steep, rocky hill north of village.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=587827' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402616","NY00402616_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-01-06 11:41:58-03","UFPI-MRV","HDELTA","3581","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","macrantha","Jacaranda macrantha","Cham.","Paula-Zárate, E. L.","(s.n.)",NA,NA,NA,NA,"Brasil","Ceará","Guaramiranga","Sítio Mucunã, Serra de Baturité.","-38.9331016540527","-4.26332998275757",NA,NA,NA,NA,"HDELTA003581",NA,"Fernandes, A.","1992","13198","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-13 09:19:10-03","UFRJ","RFA","17998","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","macrantha","Jacaranda macrantha","Cham.","E.P. Heringer","2192","1946","01","08",NA,"Brasil",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"RFA15290",NA,"José Corrêa Gomes","1951",NA,NA,"03","01",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-13 09:19:10-03","UFRJ","RFA","26884","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","macrantha","Jacaranda macrantha","Cham.","A. Quinet","23/73","2001","02","17",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Sitio dos Lírios Brancos.","-42.3825","-22.356667","700","700",NA,"árvore, 7 m de altura, 30 cm de DAP, folíolos discolores verdes, flor com cálice verde e corola vinho.","RFA34187",NA,"C.M. Vieira",NA,NA,NA,NA,NA,"42º22'57''W","22º21'24''S",NA,NA,NA,NA,NA,NA
"15","2020-06-29 11:29:29-03","UFRJ","RFA","39816","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","macrantha","Jacaranda macrantha","Cham.","Finotti R.; Caruzo J.","248",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Guapimirim","Interior de fragmento florestal localizado na propriedade do Sr. Renato Cozzolino.","-42.909444","-22.536944",NA,NA,NA,"Árvore.","RFA34320",NA,"Ricardo Finotti",NA,NA,NA,NA,NA,"42º54'34''W","22º32'13''S",NA,NA,NA,NA,NA,NA
"16","2020-06-29 11:29:29-03","UFRJ","RFA","40748","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","macrantha","Jacaranda macrantha","Cham.","Célio Alves Pereira","2","2012","11","25",NA,"Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232",NA,NA,NA,"Planta cultivada, arbórea, folhas recompostas, flores roxas.","RFA34312",NA,"Ana Cláudia de Macêdo Vieira","2012","20531","auto","11","25",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-06-29 11:29:29-03","UFRJ","RFA","299","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda","macrantha","Jacaranda macrantha","Cham.","Dionisio Constantino",NA,"1935","03","00",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"RFA19981",NA,"F.R. da Silveira",NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-24 17:10:32-03","UTFPR","DVPR","5395","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bignoniaceae","Jacaranda","macrantha","Jacaranda macrantha","Cham.","Moretto, AP","s.n.","2017","09","11",NA,"Brasil","Paraná","Quedas do Iguaçu","Sitio Nossa Senhora Aparecida. Linha Estrela.","-52.9081001281738","-25.4496994018555",NA,NA,NA,"Árvore, 4 m de altura, Flor roxa vistosa.","DVPR005395",NA,"Moretto, AP","2017","24667","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-15 11:14:30-03","FUNED","FUNED-POL","3619","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Jacaranda","macrantha","Jacaranda macrantha",NA,"Sandra Matoso",NA,NA,NA,NA,NA,"Brasil","MG",NA,"Mata da Bilogia UFV",NA,NA,NA,NA,NA,NA,"POL003619","POL003619_p01 POL003619_p02 POL003619_p03 POL003619_p04 POL003619_p05 POL003619_p06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-19 15:43:31-03","UNEB","HUNEB","11327","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Bignoniaceae","Jacaranda","heteroptila","Jacaranda heteroptila","Bureau & K.Schum","Rocha, M. M. da","11","2007","03","17",NA,"Brasil","Bahia","Alagoinhas","Campus II.","-38.4225","-12.185556",NA,NA,NA,NA,"HUNEB0011327",NA,NA,NA,NA,NA,NA,NA,"38W25'21''","12S11'8''","Dicotyledoneae",NA,NA,NA,NA,NA
"21","2019-11-19 15:43:31-03","UNEB","HUNEB","4279","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Bignoniaceae","Jacaranda","heteroptila","Jacaranda heteroptila","Bureau & K.Schum","Fonseca, M.R.","69","2001","01","12",NA,"Brasil","Bahia","Entre Rios","Restinga de Massarandupió.",NA,"-12.329167",NA,NA,NA,"Restinga interna, solos de areias brancas, após o rio.","HUNEB0004279",NA,NA,NA,NA,NA,NA,NA,"37W52'84''","12S19'45''","Dicotyledoneae",NA,NA,NA,NA,NA
"22","2019-11-19 15:43:31-03","UNEB","HUNEB","11238","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Bignoniaceae","Jacaranda","heteroptila","Jacaranda heteroptila","Bur. & K.Schum.","Fonseca, M.","920","2006","02","08",NA,"Brasil","Bahia","Alagoinhas","Campus II","-38.4192008972168","-12.1356000900269",NA,NA,NA,NA,"HUNEB0011238",NA,NA,NA,"24621","auto",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
