"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordedBy","year","recordNumber","month","day","continentOcean","preparationType","barcode","imagecode","dayIdentified","fieldNumber","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","infraspecificEpithet","verbatimLongitude","verbatimLatitude"
"1","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","2887","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","sarmentosa","Neoregelia sarmentosa","(Regel) L.B.Sm.","Elton. C. M. Leme","2011","08","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","1851","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","sarmentosa","Neoregelia sarmentosa","(Regel) L.B.Sm.","Sergio Gurken",NA,NA,"2","254","Brasil","Rio de Janeiro","Rio de Janeiro","Serra dos Orgãos","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","22","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","sarmentosa","Neoregelia sarmentosa","(Regel) L.B.Sm.","Elton. C. M. Leme","2011","08","1","254","Brasil","Santa Catarina",NA,NA,NA,NA,NA,NA,"Jones Caldas da Silva;","1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","630","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","sarmentosa","Neoregelia sarmentosa","(Regel) L.B.Sm.","Elton. C. M. Leme","2011","08","1","254","Brasil","Bahia","Porto Seguro","Arraialda Ajuda (vila)","-39.0647010803223","-16.4496994018555","68835","auto","Luiz Felipe Nevares de Carvalho;",NA,"Carvalho2396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2017-05-17 10:20:00-03","NY","NYBG","02591817","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","sarmentosa","Neoregelia sarmentosa",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2920705' target='other'> <mi>dwc_moreinfo</mi></a>","Brazil","Rio de Janeiro","Rio de Janeiro","Recreio dos Bandeirantes, Prainha, Área de Proteção Ambiental da Prainha, trilha (face N) para o cume do morro da Boa Vista. Área de Proteção Ambiental da Prainha","-43.2075004577637","-22.9027996063232","57442","auto","J. M. A. Braga","1998","5104","12","10","South America","sheet","NY02591817","NY02591817_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:44:51-03","EAO","IAN","9577","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Aregelia","sarmentosa","Aregelia sarmentosa","Mez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glaziou, AFM",NA,"16448a",NA,NA,NA,NA,"IAN009577","IAN009577_f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:25:53-03","MN","R","234346","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","sarmentosa","Neoregelia sarmentosa","(Regel) L.B. Sm.","Kessous, I.M.","2018","06",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442","auto","Kessous, I.M.",NA,NA,NA,NA,NA,NA,"R010049380",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:25:53-03","MN","R","46413","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","sarmentosa","Neoregelia sarmentosa","(Regel) L.B. Sm.","Smith, L.B.","1952","02",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Copacabana.","-43.2075004577637","-22.9027996063232","57442","auto","Ule, E.H.G.","1896","4134","11",NA,NA,NA,"R010006230","R010006230",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-31 13:36:31-03","MN","R","197377","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","sarmentosa","Neoregelia sarmentosa","(Regel) L.B. Sm.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Grumari","-43.2075004577637","-22.9027996063232","57442","auto","Moura, R.","1998","137","11",NA,NA,NA,"R010006231","R010006231",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:36:31-03","MN","R","197378","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","sarmentosa","Neoregelia sarmentosa","(Regel) L.B. Sm.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Grumari","-43.2075004577637","-22.9027996063232","57442","auto","Moura, R.","1998","138","11",NA,NA,NA,"R010006232","R010006232",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-31 13:36:31-03","MN","R","203593","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","sarmentosa","Neoregelia sarmentosa","(Regel) L.B. Sm.","Costa, A.","2002","09",NA,"Projeto Ecologia de Comunidades de Bromeliáceas. Setor de Ecologia- IBRAG- UERJ.","Brasil","Rio de Janeiro","Rio de Janeiro","Grumari","-43.2075004577637","-22.9027996063232","57442","auto","Freitas, A.F.N. 58; Carvalho, L.C. & Pessoa, T.C.R.","2000",NA,"01","07",NA,NA,"R010006234","R010006234","11",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-31 13:36:31-03","MN","R","197379","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","sarmentosa","Neoregelia sarmentosa","(Regel) L.B. Sm.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Grumari","-43.2075004577637","-22.9027996063232","57442","auto","Moura, R.","1998","139","11",NA,NA,NA,"R010006233","R010006233",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-09-03 21:47:55-03","MNHN","RECOLNAT_MNHN_P","P01764332","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Neoregelia","sarmentosa","Neoregelia sarmentosa","(Regel) L.B.Sm.",NA,NA,NA,NA,". . Reçu le 28 Avril 1933 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01764332' target='other'> <mi>dwc_moreinfo</mi></a>","Brasil","Rio de Janeiro","Rio de Janeiro","Southern slope of Pedra Dois Irmãos. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.25","-22.98333",NA,NA,"Smith, L.B.","1928",NA,"11","26",NA,"hb","P01764332","P01764332_01",NA,"1358","100","400",NA,NA,NA,NA,NA
"14","2009-07-27 09:37:00-03","MO","MOBOT","3012964","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","sarmentosa","Neoregelia sarmentosa","(Regel) L.B. Sm.",NA,NA,NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Auguste F.M. Glaziou","1887","Glaziou 16448a",NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-09-04 18:33:48-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Neoregelia","sarmentosa","Neoregelia sarmentosa",NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"A. Glaziou","1887","16448a",NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae","Type [status unknown]",NA,NA,NA
"16","2019-07-09 12:55:32-03","F","FMNH-SEEDPLANTS","V0404143F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Neoregelia","sarmentosa","Neoregelia sarmentosa",NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"L. B. Smith","1928","1358","11","26","South America",NA,"V0404143F","V0404143F_01",NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA
