"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","year","month","day","county","locality","decimalLongitude","decimalLatitude","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","428433","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","hypargyrea","Licania hypargyrea","Malme","photo of type","G. O. A. Malme","2378","South America","Brazil","Mato Grosso","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=153121' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01253593","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","kunthiana","Licania kunthiana","Hook.f.",NA,"M. J. P. Pires-O'Brien","1739","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1515343' target='other'> <mi>dwc_moreinfo</mi></a>","NY01253593","1937","08","05","Almeirim","Gleba Mt. Dourado.","-52.539719","-0.8678545","NY01253593_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00835886","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","kunthiana","Licania kunthiana","Hook.f.",NA,"J. A. Rizzo","1879","South America","Brazil","Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=919226' target='other'> <mi>dwc_moreinfo</mi></a>","NY00835886","1968","08","06","Senador Canedo","De Goiânia a Leopoldo de Bulhoes. 18 km. de Goiânia","-49.10185","-16.6176","NY00835886_01","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","378464","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","kunthiana","Licania kunthiana","Hook.f.",NA,"F. C. Hoehne",NA,"South America","Brazil","São Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=446009' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378464","1931","03","25","Sao Paulo","Nativa no Jardim Botánico (Parque do Estado)","-46.618358","-23.646109","NY00378464_01","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01253515","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","kunthiana","Licania kunthiana","Hook.f.",NA,"G. T. Prance","1564","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1514635' target='other'> <mi>dwc_moreinfo</mi></a>","NY01253515","1965","10","08",NA,"Rios Pacaja and Muirapiranga. Banks of Rio Muirapiranga.","-50.75","-2.72",NA,"G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00835864","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","kunthiana","Licania kunthiana","Hook.f.",NA,"P. Lisboa","595","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=919231' target='other'> <mi>dwc_moreinfo</mi></a>","NY00835864","1975","10","02","Aripuanã","Aripuanã, Dardanelos, estrada atrás da estação Humboldt.","-59.4592","-10.1669","NY00835864_01","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01253514","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","kunthiana","Licania kunthiana","Hook.f.",NA,"G. T. Prance","4624","South America","Brazil","Roraima","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1514622' target='other'> <mi>dwc_moreinfo</mi></a>","NY01253514","1967","02","25",NA,"San Salvador, 40 km. north west of Boa Vista. Island of forest in savanna.","-60.9600807","3.0794101","NY01253514_01","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","378476","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","kunthiana","Licania kunthiana","Hook.f.",NA,"A. Lima","65á4311","South America","Brazil","Pernambuco","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=446002' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378476","1965","02","07","Cabo do Santo Agostinho","Cabo. Faz. Santa Leopoldina. Morro de Ze Paulino",NA,NA,"NY00378476_01","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02695693","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","kunthiana","Licania kunthiana","Hook.f.",NA,"G. G. Hatschbach","67453","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2980522' target='other'> <mi>dwc_moreinfo</mi></a>","NY02695693","1997","11","24","Alvorada de Minas","Itapanhoacanga","-43.3653","-18.7361","NY02695693_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00835902","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","kunthiana","Licania kunthiana","Hook.f.",NA,"E. P. Heringer","2584","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=919328' target='other'> <mi>dwc_moreinfo</mi></a>","NY00835902","1952","10","01",NA,"Est. Experimental Minas Gerais",NA,NA,"NY00835902_01","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
