"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","dayIdentified","class","coordinatePrecision","geoFlag","individualCount","fieldNumber","sex"
"1","2016-09-27 15:17:00-03","NY","NYBG","169563","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Gochnatia","cordata","mollissima","Gochnatia cordata mollissima","Hassl.","isotype","E. Hassler","9327","1905","03","South America","Paraguay","Caaguazú","In viciniis Caagazú","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=453840' target='other'> <mi>dwc_moreinfo</mi></a>","NY00169563","NY00169563_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 15:17:00-03","NY","NYBG","169562","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Gochnatia","cordata","mollissima","Gochnatia cordata mollissima","Hassl.","isotype","E. Hassler","9327","1905","03","South America","Paraguay","Caaguazú","In viciniis Caagazú","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=453839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00169562","NY00169562_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02707658","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Moquiniastrum","cordatum",NA,"Moquiniastrum cordatum","(Less.) G.Sancho",NA,"K. A. Freitas","59","2014","01","South America","Brazil","Rio Grande do Sul","RS 471 km 214","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2991573' target='other'> <mi>dwc_moreinfo</mi></a>","NY02707658","NY02707658_01","20","Encruzilhada do Sul","-52.4875","-30.4719","346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","797662","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Moquiniastrum","cordatum",NA,"Moquiniastrum cordatum","(Less.) G.Sancho",NA,"G. F. J. Pabst","9241","1968","12","South America","Brazil","Rio Grande do Sul","Chaca das Pedras, pr. Petrópolis","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797662","NY00797662_01","01","Porto Alegre","-51.23","-30.0331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:34:49-03","EAO","IAN","76409","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Gochnatia","cordata",NA,"Gochnatia cordata","Less.",NA,"Sellow, F","s.n.",NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN076409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:10:30-03","UFBA","ALCB","87093","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Gochnatia","cordata",NA,"Gochnatia cordata","Less.",NA,"Roque, N; Ritter, MR; Matzenbacher, N","1950","2009","02","Southern America","Brasil","Rio Grande do Sul","Fazenda São Maximiano",NA,"até 1m com xilopódio, folhas discolores, pedúnculo alvo-lanoso. Brácteas involucrais creme-esverdeadas, lanosas, corola creme. Frutos passados castanhos.; Domínio Mata Atlântica.",NA,NA,"25","Guaíba","-51.3925","-30.179722","198","Matzenbacher, N","2009","02","-51.3925","-30.179722","198",NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:10:56-03","UFBA","ALCB","124805","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Moquiniastrum","cordatum",NA,"Moquiniastrum cordatum","(Less.) G. Sancho",NA,"Dal Forno, M; Gostel, MR","2586","2015","11","Southern America","Brasil","Rio Grande do Sul","Growing near Matzembacher farm in clearing northwest of pond.",NA,"Small, 0.3 m, sterile. Leaves densely pubescent on both surfaces, pale green.","ALCB017853","ALCB017853","10","Guaíba","-51.650278","-30.320833","36",NA,NA,NA,"-51.650278","-30.320833","36",NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:10:56-03","UFBA","ALCB","124808","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Moquiniastrum","cordatum",NA,"Moquiniastrum cordatum","(Less.) G. Sancho",NA,"Dal Forno, M; Gostel, MR","2585","2015","11","Southern America","Brasil","Rio Grande do Sul","Growing near Matzembacher farm in clearing northwest of pond.",NA,"Small, 0.3 m, sterile. Leaves densely pubescent on both surfaces, pale green.","ALCB017856","ALCB017856","10","Guaíba","-51.650278","-30.320833","36",NA,NA,NA,"-51.650278","-30.320833","36",NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:10:56-03","UFBA","ALCB","124812","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Moquiniastrum","cordatum",NA,"Moquiniastrum cordatum","(Less.) G. Sancho",NA,"Dal Forno, M; Gostel, MR","2588","2015","11","Southern America","Brasil","Rio Grande do Sul","Growing near Matzembacher farm in clearing northwest of pond.",NA,"Small, 0.5 m, sterlie. Leaves argentous and densely pubescent below, subglabrous, dark green above.","ALCB017860","ALCB017860","10","Guaíba","-51.650278","-30.320833","36","Roque, N","2018","09","-51.650278","-30.320833","36","26",NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:10:56-03","UFBA","ALCB","124804","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Moquiniastrum","cordatum",NA,"Moquiniastrum cordatum","(Less.) G. Sancho",NA,"Dal Forno, M; Gostel, MR","2583","2015","11","Southern America","Brasil","Rio Grande do Sul","Growing near Matzembacher farm in clearing northwest of pond.",NA,"Small, 0.3 m, sterile. Leaves densely pubescent on both surfaces, pale green.","ALCB017852","ALCB017852","10","Guaíba","-51.650278","-30.320833","36",NA,NA,NA,"-51.650278","-30.320833","36",NA,NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:10:56-03","UFBA","ALCB","124831","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Moquiniastrum","cordatum",NA,"Moquiniastrum cordatum","(Less.) G. Sancho",NA,"Dal Forno, M; Gostel, MR","2584","2015","11","Southern America","Brasil","Rio Grande do Sul","Growing near Matzembacher farm in clearing northwest of pond.",NA,"Small, 0.5 m, sterlie. Leaves argentous and densely pubescent below, subglabrous, dark green above.","ALCB017879","ALCB017879","10","Guaíba","-51.650278","-30.320833","36","Roque, N","2018","09","-51.650278","-30.320833","36","26",NA,NA,NA,NA,NA,NA
