"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","dayIdentified","typeStatus","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","521770","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","paucidens","Miconia paucidens","DC.","R. Goldenberg","E. Hassler","10824","1907","11","South America","Paraguay","In altaplanitie et declivibus Sierra de Amambay","sheet","Custos herbarii nostri T. Rojas <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574137' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521770","NY00521770_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","521769","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","paucidens","Miconia paucidens","DC.","R. Goldenberg","E. M. Zardini","4148","1988","01","South America","Paraguay","Parque Nacional Cerro Corá. En bosque en el limite Oeste del Parque","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574135' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521769","NY00521769_01","07","Amambay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","521765","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","paucidens","Miconia paucidens","DC.","R. Goldenberg","W. Mantovani","1351","1980","11","South America","Brazil","Martinho Prado, Reserva Biologica da Fazenda Campinha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574128' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521765","NY00521765_01","19","São Paulo","Moji-Guaçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","521761","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","paucidens","Miconia paucidens","DC.","R. Goldenberg","B. J. Pickel","5548",NA,NA,"South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574129' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521761","NY00521761_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","521768","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","paucidens","Miconia paucidens","DC.","R. Goldenberg","A. F. Regnell","I144","1859","12","South America","Brazil","Cidade de Caldas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574136' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521768","NY00521768_01","28","Minas Gerais","Caldas","-46.3858","-21.9236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","521767","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","paucidens","Miconia paucidens","DC.","R. Goldenberg","P. E. Gibbs","3391","1976","02","South America","Brazil","25 km NW de Mogi-Guaçú. Estaçao Experimental de Mogi-Guaçú (Fazenda Campininha)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574132' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521767","NY00521767_01","03","São Paulo","Moji-Guaçu","-47.164784","-22.242395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","521766","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","paucidens","Miconia paucidens","DC.","R. Goldenberg","P. E. Gibbs","3391","1976","02","South America","Brazil","25 km NW de Mogi-Guaçú. Estaçao Experimental de Mogi-Guaçú (Fazenda Campininha)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521766","NY00521766_01","03","São Paulo","Moji-Guaçu","-47.164784","-22.242395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","521764","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","paucidens","Miconia paucidens","DC.","R. Goldenberg","M. Kuhlmann","4530","1959","05","South America","Brazil","Fazenda Barreiro Rico","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574130' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521764","NY00521764_01","02","São Paulo","Anhembi","-48.1469","-22.6647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","521763","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","paucidens","Miconia paucidens","DC.","R. Goldenberg","W. R. Anderson","11152","1974","03","South America","Brazil","Fazenda Lagoa, ca. 20 km N of Cianorte","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574134' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521763","NY00521763_01","19","Paraná","Sao Tomé","-52.5908012390137","-23.5377998352051","19703","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","521762","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","paucidens","Miconia paucidens","DC.","R. Goldenberg","J. R. Mattos","8513","1960","11","South America","Brazil","Fazenda Campininha, 7 km NNW de Padua Sales","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574133' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521762","NY00521762_01","17","São Paulo","Moji-Guaçu","-47.164784","-22.242395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
