"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","class","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","118712","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","velata","Begonia velata","Brade","A. F. Cholewa","isotype","A. C. Brade","197833","1949","05","12","South America","Brazil","Espírito Santo","Castelo","Forno Grande.","-41.108577","-20.492854","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386269' target='other'> <mi>dwc_moreinfo</mi></a>","NY00118712","NY00118712_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 07:33:00-03","NY","NYBG","118713","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","velata","Begonia velata",NA,"Unspecified Determiner","isotype","A. Weberbauer","6021","1909",NA,NA,"South America","Peru",NA,NA,"Prov. Huncabamba, above Palambla.",NA,NA,"2700","2800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601757' target='other'> <mi>dwc_moreinfo</mi></a>","NY00118713","NY00118713_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017-02-01 11:38:00-02","NY","NYBG","1546558","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","velata","Begonia velata",NA,NA,"isotype","A. C. Brade","19783[= herb. RB 67024]","1949","05","12","South America","Brazil","Espírito Santo","Castelo","Forno Grande","-41.108577","-20.492854","1200",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1894415' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546558","NY01546558_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:35:24-03","EAO","IAN","72531","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Begoniaceae","Begonia","velata","Begonia velata","Brade",NA,NA,"Moreira, ML","s.n.","1949","12","21","Southern America","Brasil","Espírito Santo",NA,"Cacheoira de Itapemirim.",NA,NA,NA,NA,NA,NA,"IAN072531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:03:01-03","ESALQ","ESA","117466","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","curtii","Begonia curtii",NA,"Delfini, C.",NA,"Delfini, C.","48.0",NA,NA,NA,NA,"Brasil","Espírito Santo","Pedra Azul","Estrada para o Parque Estadual da Pedra Azul. Pousada Peterle, em cultivo.",NA,NA,NA,NA,NA,"Erva ereta, ca. de 50cm alt., folhas verdes, brilhantes, margem avermelhada, frutos maduros castanhos.","ESA117466","ESA117466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:03:01-03","ESALQ","ESA","129343","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","curtii","Begonia curtii","Brade","Kollmann, L.",NA,"Flores, T.B.","1682.0","2012","10","29",NA,"Brasil","Espírito Santo","Castelo","Propriedade particular ( Sidinei Casagrande - Elias Fassine) em frente a sede do Parque Estadual de Forno Grande.","-41.184700012207","-20.6035995483398","752","752",NA,"Erva, ca. 1m de alt. Frutos castanhos.","ESA129343",NA,"2019","03","15","23588","auto",NA,NA,NA,NA,NA,NA,NA
"7","2015-07-02 14:01:03-03","JBP","HPL","1961","S","Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B. Smith & Schubert","H. Lorenzi",NA,"E.R. Salviani & H. Lorenzi","832","1999","12","16",NA,"Brasil","RJ","Rio de Janeiro","Sítio R. Burle Marx, viveiro das Begonias.","-43.2075","-22.9028",NA,NA,NA,NA,NA,NA,"1999","12","16","57442","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-04-27 16:08:55-03","UFES","VIES","10382","S","Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","Kollmann, L.J.C.",NA,"Kollmann, L.J.C.","12147","2011","01","18",NA,"Brasil","Espírito Santo","Dores do Rio Preto","Beira do asfalto.","-41.8452987670898","-20.6888999938965",NA,NA,NA,NA,"VIES010382","VIES010382","2011","01","18","23972","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-04-27 16:08:55-03","UFES","VIES","13809","S","Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","Iglesias, D.T.",NA,"Iglesias, D.T.; Dutra, V.F. & Barros, P.H.D.","123","2013","03","02",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande.","-41.184700012207","-20.6035995483398","1059","1059",NA,NA,"VIES013809","VIES013809","2013","03","02","23588","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-04-27 16:08:55-03","UFES","VIES","30561","S","Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","Zorzanelli, J.P.F.",NA,"Zorzanelli, J.P.F.; Pereira, C.","1188","2015","01","11",NA,"Brasil","Espírito Santo","Iúna","Serra do Valentim.","-41.5358009338379","-20.3458003997803","1324","1324",NA,NA,"VIES030561","VIES030561","2015","01","11","32198","auto",NA,NA,NA,NA,NA,NA,NA
