"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","recordNumber","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","barcode","imagecode","infraspecificEpithet","fieldNumber","typeStatus","relatedCatalogItem","sex"
"1","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2933","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Epidendrum","dendrobioides","Epidendrum dendrobioides","Thunb.","Carlos A. Ferreira Jr.","2009","11","11","Carlos Alberto F. Jr.;","2009","11","11","Brasil","Minas Gerais","Santana do Pirapama","Caminho da Senhorinha, Inhamés","43°46.228'","18°57.700'","1045","1045","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2530","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Epidendrum","dendrobioides","Epidendrum dendrobioides","Thunb.","Carlos A. Ferreira Jr.","2013","02","01","Carlos Alberto F. Jr.; Fernando Fernandes; Juliana Ordones; Lívia Echternadt","2013","01","31","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço & Ermo de Minas, margem do corrego Ventania abaixa da estrada na frete da Casa Sede.",NA,NA,NA,NA,"1","254","caf","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:09-03","E","E","315756","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Epidendrum","dendrobioides","Epidendrum dendrobioides",NA,NA,NA,NA,NA,"Stannard, B.; Silva, T.","1992","03","24","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00315756 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","52834",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:319533","E00315756",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01044569","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Epidendrum","aquaticum","Epidendrum aquaticum","Lindl.","G. F. J. Pabst",NA,NA,NA,"W. R. Anderson","1972","02","20","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Serra do Cipó",NA,NA,"1200","1200",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185284' target='other'> <mi>dwc_moreinfo</mi></a>","36348","-43.567497","-19.391589",NA,NA,"South America","sheet",NA,"NY01044569","NY01044569_01",NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01044571","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Epidendrum","aquaticum","Epidendrum aquaticum","Lindl.","G. F. J. Pabst",NA,NA,NA,"W. R. Anderson","1972","02","04","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 8 km N of Gouveia on road to Diamantina",NA,NA,"1220","1220",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185286' target='other'> <mi>dwc_moreinfo</mi></a>","35347","-43.6836","-18.41575",NA,NA,"South America","sheet",NA,"NY01044571","NY01044571_01",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01045356","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Epidendrum","aquaticum","Epidendrum aquaticum","Lindl.","E. Hágsater",NA,NA,NA,"E. P. Heringer","1961","08","02","Brazil","Distrito Federal","Brasília","Horto do Guará",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1184326' target='other'> <mi>dwc_moreinfo</mi></a>","8520-714","-47.9294","-15.7797",NA,NA,"South America","sheet",NA,"NY01045356","NY01045356_01",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01044567","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Epidendrum","aquaticum","Epidendrum aquaticum","Lindl.","G. F. J. Pabst",NA,NA,NA,"H. S. Irwin","1971","03","18","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km N of Alto Paraíso",NA,NA,"1250","1250",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185282' target='other'> <mi>dwc_moreinfo</mi></a>","32121","-47.5167","-13.93593",NA,NA,"South America","sheet",NA,"NY01044567","NY01044567_01",NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01044570","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Epidendrum","aquaticum","Epidendrum aquaticum","Lindl.","G. F. J. Pabst",NA,NA,NA,"W. R. Anderson","1972","02","20","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Serra do Cipó",NA,NA,"1200","1200",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185285' target='other'> <mi>dwc_moreinfo</mi></a>","36348","-43.567497","-19.391589",NA,NA,"South America","sheet",NA,"NY01044570","NY01044570_01",NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01044572","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Epidendrum","aquaticum","Epidendrum aquaticum","Lindl.","G. F. J. Pabst",NA,NA,NA,"W. R. Anderson","1972","02","04","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 8 km N of Gouveia on road to Diamantina",NA,NA,"1220","1220",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185287' target='other'> <mi>dwc_moreinfo</mi></a>","35347","-43.6836","-18.41575",NA,NA,"South America","sheet",NA,"NY01044572","NY01044572_01",NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01044566","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Epidendrum","aquaticum","Epidendrum aquaticum","Lindl.","G. F. J. Pabst",NA,NA,NA,"H. S. Irwin","1971","03","18","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km N of Alto Paraíso",NA,NA,"1250","1250",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185280' target='other'> <mi>dwc_moreinfo</mi></a>","32121","-47.5167","-13.93593",NA,NA,"South America","sheet",NA,"NY01044566","NY01044566_01",NA,NA,NA,NA,NA
