"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","individualCount","yearIdentified","class","fieldNumber","verbatimLongitude","verbatimLatitude","monthIdentified","typeStatus","relatedCatalogItem","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","02422367","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","R. de Mello-Silva","1567","1999","02","13","South America","Brazil","Espírito Santo","Santa Teresa","Estação Biológica de São Lourenço (Caixa d'Água).","-40.6002998352051","-19.9356002807617","23813","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2635464' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422367","NY02422367_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","555584","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","J. R. Pirani","2904","1993","05","18","South America","Brazil","Rio de Janeiro","Resende","Estrada Resende - Formoso, a ca. 20 km de Resende","-44.4467","-22.4692",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572846' target='other'> <mi>dwc_moreinfo</mi></a>","NY00555584","NY00555584_01",NA,"R. Callejas Posada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","555583","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","G. G. Hatschbach","46680","1983","08","03","South America","Brazil","Espírito Santo","Muniz Freire","Ibatiba, 22 km L","-41.4131","-20.4644",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572845' target='other'> <mi>dwc_moreinfo</mi></a>","NY00555583","NY00555583_01",NA,"R. Callejas Posada","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:43:18-03","EAO","IAN","34089","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","Sellow, F","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN034089","IAN034089_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-10 17:56:30-03","UNICAMP","UEC","127122","S","Plantae","Magnoliopsida",NA,"Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","Benicio, S; Val","411","2001","10","23",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"UEC149639","UEC149639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:39:37-03","MBM","MBM","33181","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","Hatschbach, G.","32945",NA,NA,NA,"Southern America","Brazil","Paraná","Reserva","Reserva, arredores","-50.8506011962891","-24.6502990722656","43627",NA,NA,"MBM033181","MBM033181 MBM033181_1","auto","Callejas, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:39:37-03","MBM","MBM","33212","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","Hatschbach, G.","33920",NA,NA,NA,"Southern America","Brazil","Paraná","Curitiba","Bom Retiro","-49.2731018066406","-25.4277992248535","25180",NA,NA,"MBM033212","MBM033212","auto","Callejas, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:39:37-03","MBM","MBM","84431","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","Hatschbach, G.","46680",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Ibatiba","Ibatiba, 22km L","-41.5106010437012","-20.2339000701904","18895",NA,NA,"MBM084431","MBM084431","auto","Callejas, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:39:37-03","MBM","MBM","234026","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","Hatschbach, G.; Spichiger, R.; Loizeau, P.A.; Spichiger, R.; Loizeau, P.A.","68862",NA,NA,NA,"Southern America","Brazil","Paraná","Antonina","Reserva Biológica de Sapitanduva","-48.7118988037109","-25.4286003112793","38300",NA,NA,"MBM234026","MBM234026","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:39:37-03","MBM","MBM","234027","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","Hatschbach, G.; Barboza, E.; Barboza, E.","68326",NA,NA,NA,"Southern America","Brazil","Paraná","Antonina","Reserva Biológica de Sapitanduva","-48.7118988037109","-25.4286003112793","38300",NA,NA,"MBM234027","MBM234027","auto","Hatschbach, G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
