"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","typeStatus","continentOcean","locality","individualCount","preparationType","barcode","imagecode","phylum","fieldNumber","sex"
"1","2021-03-31 13:41:04-03","MN","R","196758","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","novaesii","Habenaria novaesii","Edwall & Hoehne","Batista, J.A.N.","2013","08","11","Grotta, A.S.","167","1956","09","16","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","Universidade de São Paulo","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:41:04-03","MN","R","58660","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","novaesii","Habenaria novaesii","Edwall & Hoehne","Batista, J.A.N.","2013","08","11","Grotta, A.S.","167","1956","09","16","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","Universidade de São Paulo","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-01-22 11:17:00-02","MO","MOBOT","101095618","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","novaesii","Habenaria novaesii","Edwall & Hoehne",NA,NA,NA,NA,"Novães, José de Campos","Novães CGGSP 5997","1909","1","20","Brazil","São Paulo","Campinas","-47.060001373291","-22.8999996185303","23900",NA,"auto","Holotype","South America","Campinas.","1",NA,NA,NA,NA,NA,NA
"4","2020-09-02 16:35:08-03","Cenargen","CEN","35167","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","novaesii","Habenaria novaesii","Edwall & Hoehne","J. A. N. Batista","2000","03",NA,"A. S. Grotta","167","1956","09","16","Brasil","SP","SAO PAULO","-46.6300010681152","-23.5400009155273","53584","Duplicata do material SPF 15739.&nf;Doação Flora do Brasil. Estado de São Paulo.","auto",NA,NA,"Via Dutra, km 25.","1","Exsicatas","CEN00035167","CEN00035167",NA,NA,NA
"5","2019-11-01 15:15:28-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Orchidaceae","Habenaria","novaesii","Habenaria novaesii","Edwall & Hoehne","Batista, JAN","2000","03",NA,"Grotta, AS","167","1956","09","16","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","Aquática","auto",NA,"Southern America","Via Dutra Km 25",NA,NA,"UB0018577","UB0018577","Monocotyledonae",NA,NA
"6","2019-11-21 10:13:26-03","IBt","SP","28899","S","Plantae","Orchidaceae","Habenaria","novaesii","Habenaria novaesii","Edwall & Hoehne","Hoehne, FC","1938",NA,NA,"Campos Novaes, J","CGG5997",NA,NA,NA,"Brasil","São Paulo","Campinas","-47.060001373291","-22.8999996185303","23900",NA,"auto","Holotype",NA,NA,NA,NA,"SP002151","SP002151",NA,NA,NA
"7","2013-08-12 09:58:15-03","GH","HU-HERB","GH 00099962","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","novaesii","Habenaria novaesii","Edwall & Hoehne",NA,NA,NA,NA,"J. C. Novais","5997","1909","1","26","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,"Isotype","South America","Campinas",NA,"Sheet",NA,NA,NA,"5997","undetermined"
