"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","class","relatedCatalogItem","coordinatePrecision","individualCount","geoFlag","previousCatalogNumber","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","246372","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Cleidion","prealtum","Cleidion prealtum","Croizat","isotype","B. A. Krukoff","6458","1934","09","14","South America","Brazil","Amazonas","Humaitá","Basin of Rio Madeira; near Tres Casas.","-62.6839542","-6.9876421","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35563' target='other'> <mi>dwc_moreinfo</mi></a>","NY00246372","NY00246372_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01301205","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Conceveiba","prealta","Conceveiba prealta","(Croizat) Punt ex J.Murillo",NA,"B. A. Krukoff","6357","1934","09","14","South America","Brazil","Amazonas","Humaitá","Basin of Rio Madeira: near Tres Casas","-62.6839542","-6.9876421","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1565465' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301205",NA,"L. C. M. Croizat",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01301203","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Conceveiba","prealta","Conceveiba prealta","(Croizat) Punt ex J.Murillo",NA,"B. A. Krukoff","6602","1934","10","12","South America","Brazil","Amazonas","Humaitá","Basin of Rio Madeira; near Livramento, on Rio Livramento","-63.0206","-7.5061","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1565462' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301203",NA,"L. C. M. Croizat",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01301202","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Conceveiba","prealta","Conceveiba prealta","(Croizat) Punt ex J.Murillo",NA,"B. A. Krukoff","6649","1934","10","12","South America","Brazil","Amazonas","Humaitá","Basin of Rio Madeira; near Livramento, on Rio Livramento","-63.0206","-7.5061","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1565458' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301202","NY01301202_01 NY01301202_02","L. C. M. Croizat",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01301204","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Conceveiba","prealta","Conceveiba prealta","(Croizat) Punt ex J.Murillo",NA,"B. A. Krukoff","6391","1934","09","14","South America","Brazil","Amazonas","Humaitá","Basin of Rio Madeira; near Tres Casas.","-62.6839542","-6.9876421","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1565463' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301204","NY01301204_01 NY01301204_02","L. C. M. Croizat",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:38:17-03","EAO","IAN","XILO4828X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Cleidion","prealtum","Cleidion prealtum","Croizat",NA,"Krukoff, BA","6602",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IANXILO4828X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:38:17-03","EAO","IAN","XILO4828X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Cleidion","prealtum","Cleidion prealtum","Croizat",NA,"Krukoff, BA","6602",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IANXILO4828X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 17:38:17-03","EAO","IAN","XILO4829X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Cleidion","prealtum","Cleidion prealtum","Croizat",NA,"Krukoff, BA","6458",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IANXILO4829X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:38:17-03","EAO","IAN","XILO4829X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Cleidion","prealtum","Cleidion prealtum","Croizat",NA,"Krukoff, BA","6458",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IANXILO4829X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:38:17-03","EAO","IAN","XILO4830X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Cleidion","prealtum","Cleidion prealtum","Croizat",NA,"Krukoff, BA","6649",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IANXILO4830X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
