"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","occurrenceRemarks","imagecode","phylum","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","order","typeStatus","individualCount","identifiedBy","yearIdentified","monthIdentified"
"1","2021-02-07 08:35:27-03","MN","R","233658","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","saxicola","Vriesea saxicola","L.B. Sm.","Costa, M.T.R.","1046","2017","07","17","Brasil","Minas Gerais","São João del Rei","Serra do Lenheiro.","-44.2616996765137","-21.1355991363525","39093","R010048330","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:16:30-03","UFV","VIC","15698","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","saxicola","Vriesea saxicola","L.B.Smith","Paula, C.C.","1075","1995","12","22","Brasil","Minas Gerais","Fervedouro","PESB","-42.2789001464844","-20.7255992889404","20038","VIC015698","auto","Brácteas verde-amareladas.","VIC015698",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:43:36-03","UFMG","BHCB","188124","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","saxicola","Vriesea saxicola","L.B.Sm.","Machado, TM; Gomides, SC","570","2013","12","12","Brasil","Minas Gerais","São João Del Rey","Serra do Lenheiro","-44.308361","-21.155583",NA,"BHCB188124",NA,"Saxícola em ambiente sombreado no alto da serra. Planta 1, 24 m de altura, roseta com 30 cm de diâmetro. Folhas com bainha castanha em ambas as faces, lâmina verde com máculas vináceas, escapo passado. Planta com brotação lateral",NA,"Monocotyledon","Southern America","-44.308361","-21.155583","1322","1322",NA,NA,NA,NA,NA,NA,NA
"4","2020-12-11 11:43:36-03","UFMG","BHCB","188125","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","saxicola","Vriesea saxicola","L.B.Sm.","Machado, TM; Gomides, SC","571","2013","12","12","Brasil","Minas Gerais","São João Del Rey","Serra do Lenheiro","-44.308417","-21.155667",NA,"BHCB188125",NA,"Saxicola em ambiente sombreado, poucos indivíduos avistados apenas no alto da serra, rara nas partes baixas. Planta com 1,27m de altura, roseta com 40 cm de diâmetro. Folhas com bainha castanha em ambas as faces, lâmina verde com mácu",NA,"Monocotyledon","Southern America","-44.308417","-21.155667","1322","1322",NA,NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","2519305","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","saxicola","Vriesea saxicola","L.B. Sm.","C. A. W. Schwacke","12086","1895","12","27","Brazil","Minas Gerais",NA,"Serra do Lenheiro near Sao Joao d'el Rei.",NA,NA,NA,"US00091215",NA,NA,"US00091215_01",NA,"South America - Neotropics",NA,NA,"900","900","Monocotyledonae","Bromeliales","Isotype","1",NA,NA,NA
"6","2019-07-16 10:35:59-03","UFSJ","HUFSJ","9420","S","Plantae","Bromeliaceae","Vriesea","saxicola","Vriesea saxicola","L.B.Sm.","Costa, MTR; et al.","1046","2017","07","17","Brasil","Minas Gerais","São João del-Rei","Campo rupestre, acesso pela estrada para Trindade.","-44.499297","-21.230303",NA,"HUFSJ009420",NA,"Erva rupícola 1,7 m de altura, flores passadas.",NA,NA,NA,"-44.499297","-21.230303","119","119",NA,NA,NA,NA,"Couto, D","2018","01"
