"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","stateProvince","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","previousCatalogNumber","relatedCatalogItem","relationshipType","fieldNumber","individualCount"
"1","2021-04-05 14:26:09-03","UNESC","CRI","11398","PreservedSpecimen","Plantae","Solanaceae","Solanum","diploconos","Solanum diploconos","(Mart.) Bohs","M. Sobral","2010","01","25","A. Stival-Santos; E. Legal & S. Silveira","1454","2009","12","14","Brasil","Brasil","Canudos.","-48.8675","-27.359722","48º52'3''W","27º21'35''S","231","231","Floresta Ombrófila Densa Habitat: roça Habito: arbustiva","CRI007438","CRI007438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:11-03","UNESC","CRI","1353","PreservedSpecimen","Plantae","Solanaceae","Solanum","diploconos","Solanum diploconos","(Mart.) Bohs","E. L. C. Soares","1992","06","18","V. Citadini-Zanette; J. J. Zocche","1517","1991","06","18","Brasil","Criciúma",NA,"-49.37","-28.678056","49º22'12''W","28º40'41''S",NA,NA,NA,"CRI007435","CRI007435","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:09-03","UNESC","CRI","1183","PreservedSpecimen","Plantae","Solanaceae","Solanum","diploconos","Solanum diploconos","(Mart.) Bohs","Vanilde Citadini- Zanette",NA,NA,NA,"Clair Maria Martinello; Aurélio José de Aguiar",NA,"1992","07","22","Brasil","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","Habitat: mata atlântica secundária de encosta Habito: arbusto a arvoreta","CRI007436","CRI007436","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:09-03","UNESC","CRI","1223","PreservedSpecimen","Plantae","Solanaceae","Solanum","diploconos","Solanum diploconos","(Mart.) Bohs","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Robson dos Santos","1468","1992","10","15","Brasil","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","Habitat: mata atlântica secundária de encosta Habito: arbustiva apoiante","CRI007437","CRI007437","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:26:09-03","UNESC","CRI","13870","PreservedSpecimen","Plantae","Solanaceae","Solanum","diploconos","Solanum diploconos","(Mart.) Bohs","Alexandre Medeiros","2018","06","27","Alexandre Medeiros","961","2018","06","27","Brasil","Balneário Camboriú","Quilombola APA Costa Branca","-48.599722","-27.042222","48º35'59''W","27º2'32''S",NA,NA,"Fruto amarelo Habitat: Terrestre Habito: Trepadeira","CRI012481",NA,"Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","669194","PreservedSpecimen","Plantae","Solanaceae","Solanum","diploconos","Solanum diploconos","(Mart.) Bohs",NA,NA,NA,NA,"R. M. Klein","255","1952","01","22","Brazil","Brusque","Mata do Hoffmann.","-48.9","-27.1",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=103997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669194","NY00669194_01","Santa Catarina","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","669190","PreservedSpecimen","Plantae","Solanaceae","Solanum","diploconos","Solanum diploconos","(Mart.) Bohs",NA,NA,NA,NA,"V. A. de O. Dittrich","s.n.","1995","11","21","Brazil","Curitiba","Parque Barigui.","-49.22","-25.37",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=103992' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669190","NY00669190_01","Paraná","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00828491","PreservedSpecimen","Plantae","Solanaceae","Solanum","diploconos","Solanum diploconos","(Mart.) Bohs","M. H. Nee",NA,NA,NA,"J. C. Lindeman","755","1966","03","24","Brazil",NA,"Forest Reserve of CMNP, S of Rio Ivaí, ca. 30 km E of Cianorte.",NA,NA,NA,NA,"250","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=922907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00828491","NY00828491_01","Paraná","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00853861","PreservedSpecimen","Plantae","Solanaceae","Solanum","diploconos","Solanum diploconos","(Mart.) Bohs","M. H. Nee",NA,NA,NA,"O. T. Aguiar","s.n.","1984","01","20","Brazil",NA,"Serra da Cantareira, Chapada, saída da Pedra grande.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093209' target='other'> <mi>dwc_moreinfo</mi></a>","NY00853861","NY00853861_01","São Paulo","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00809617","PreservedSpecimen","Plantae","Solanaceae","Solanum","diploconos","Solanum diploconos","(Mart.) Bohs","M. H. Nee",NA,NA,NA,"J. M. Silva","2693","1998","12","15","Brazil","Morretes","Serra da Prata, início da trilha para a Torre da Prata","-48.8342","-25.4769",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=828353' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809617","NY00809617_01","Paraná","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","669173","PreservedSpecimen","Plantae","Solanaceae","Solanum","diploconos","Solanum diploconos","(Mart.) Bohs",NA,NA,NA,NA,"H. de F. Leitão Filho","13135","1981","11","07","Brazil","Jundiaí","Na Serra do Japi.","-46.88","-23.1803",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104012' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669173","NY00669173_01","São Paulo","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","669180","PreservedSpecimen","Plantae","Solanaceae","Solanum","diploconos","Solanum diploconos","(Mart.) Bohs",NA,NA,NA,NA,"G. G. Hatschbach","20821","1969","01","17","Brazil","Morretes","Rod. BR-277, Estr. Arraial.","-48.8342","-25.4769",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=104005' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669180","NY00669180_01","Paraná","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
