"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","infraspecificEpithet","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","169262","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eupatorium","vernoniopsis","Eupatorium vernoniopsis","Sch.Bip. ex Baker","type","L. Riedel","s.n.","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=743196' target='other'> <mi>dwc_moreinfo</mi></a>","NY00169262","NY00169262_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","802595","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Gyptis","vernoniopsis","Gyptis vernoniopsis","(Sch.Bip. ex Baker) R.M.King & H.Rob.",NA,"S. M. de Campos","212","South America","Brazil","Faz. Sta. Luzia do Campo, SSE da cid. de Itapetininga.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799019' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802595","NY00802595_01","1960","03","17","São Paulo","Itapetininga","-48.0497","-23.5903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","802597","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Gyptis","vernoniopsis","Gyptis vernoniopsis","(Sch.Bip. ex Baker) R.M.King & H.Rob.",NA,"P. K. H. Dusén","11679","South America","Brazil","Jaguariahyva.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799027' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802597","NY00802597_01","1911","04","17","Paraná",NA,"-49.713647","-24.340602",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","802598","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Gyptis","vernoniopsis","Gyptis vernoniopsis","(Sch.Bip. ex Baker) R.M.King & H.Rob.",NA,"T. Morong","109","South America","Paraguay","Central Paraguay.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799029' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802598",NA,"1888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","802594","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Gyptis","vernoniopsis","Gyptis vernoniopsis","(Sch.Bip. ex Baker) R.M.King & H.Rob.",NA,"S. M. de Campos","212","South America","Brazil","Itapetininga, Fazenda Santa Luzia do Campo Largo, SSE da cidade de Itapetininga.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799006' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802594","NY00802594_01","1960","03","17","São Paulo","Itapetininga","-48.0497","-23.5903","V. L. Rivera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","802596","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Gyptis","vernoniopsis","Gyptis vernoniopsis","(Sch.Bip. ex Baker) R.M.King & H.Rob.",NA,"P. K. H. Dusén","16564","South America","Brazil","Itataré opp.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799025' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802596","NY00802596_01","1915","01","30","Paraná",NA,NA,NA,NA,"740","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:37:05-03","EAO","IAN","73575","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Eupatorium","vernoniopsis","Eupatorium vernoniopsis","Sch.Bip.",NA,"Sellow, F","3442","Southern America","Brasil",NA,NA,NA,"IAN073575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:49:31-03","NBC","NL-BOTANY","L.3683184","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,"Fiebrig K",NA,"Southern America","Paraguay","N. Paraguay: Zwischen Rio Apa und Rio Aquidaban. San Luis.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3683184 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3683184","NL-L3683184","1908","01","17",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:49:31-03","NBC","NL-BOTANY","L.3683185","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,"Hassler E",NA,"Southern America","Paraguay","Paraguaria Centralis: In regione lacus Ypacaray.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3683185 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3683185","NL-L3683185","1913","03","01",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:49:31-03","NBC","NL-BOTANY","U.1125563","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,"Pedersen TM",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1125563 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1125563","NL-U1125563","1975","02","19","Mato Grosso",NA,NA,NA,"Pedersen TM",NA,NA,"Magnoliopsidae","U 0085143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
