"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","typeStatus","continentOcean","preparationType","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-04-05 14:25:27-03","UNESC","CRI","1158","PreservedSpecimen","Plantae","Magnoliaceae","Magnolia","ovata","Magnolia ovata","(A.St.-Hil.) Spreng.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1408","1992","04","30","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI003848","CRI003848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:27-03","UNESC","CRI","5386","PreservedSpecimen","Plantae","Magnoliaceae","Magnolia","ovata","Magnolia ovata","(A.St.-Hil.) Spreng.","José Aroldo Biff","José Aroldo Biff",NA,"1996","11","09","Brasil","Santa Catarina","Morro Grande",NA,"-49.721111","-28.801111","49º43'16''W","28º48'4''S",NA,NA,"CRI003850","CRI003850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","320738","PreservedSpecimen","Plantae","Magnoliaceae","Talauma","irwiniana","Talauma irwiniana","Lozano",NA,"H. S. Irwin","12681","1966","02","12","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 15 km W of Veadeiros.","-47.5097","-14.1325",NA,NA,"1000","1000","NY00320738","NY00320738_01 NY00320738_02","Magnoliophyta","Magnoliales","isotype","South America","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=265532' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","320735","PreservedSpecimen","Plantae","Magnoliaceae","Talauma","irwiniana","Talauma irwiniana","Lozano",NA,"H. S. Irwin","12681","1966","02","12","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 15 km W of Veadeiros.","-47.5097","-14.1325",NA,NA,"1000","1000","NY00320735","NY00320735_01","Magnoliophyta","Magnoliales","isotype","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=265531' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00897433","PreservedSpecimen","Plantae","Magnoliaceae","Talauma","ovata","Talauma ovata","A.St.-Hil.","H. S. Irwin","E. P. Heringer","8726","1962","10","20","Brazil","Distrito Federal","Brasília","Fundaçao Zoobotanica","-47.9294","-15.7797",NA,NA,NA,NA,"NY00897433","NY00897433_01","Magnoliophyta","Magnoliales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977381' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00897437","PreservedSpecimen","Plantae","Magnoliaceae","Talauma","ovata","Talauma ovata","A.St.-Hil.","J. D. Tobe","M. G. da Silva","4286","1979","01","16","Brazil","Mato Grosso","Juína","Aripuanã km 238 da BR 174 Nucleo Juina, area Urbana.","-58.7408","-11.3783",NA,NA,NA,NA,"NY00897437","NY00897437_01","Magnoliophyta","Magnoliales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977408' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00897424","PreservedSpecimen","Plantae","Magnoliaceae","Talauma","ovata","Talauma ovata","A.St.-Hil.","S. Handel","H. S. Irwin","8905","1965","10","03","Brazil","Distrito Federal","Brasília","Vicinity of Planaltina","-47.67","-15.62",NA,NA,"950","950","NY00897424","NY00897424_01","Magnoliophyta","Magnoliales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977352' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00897443","PreservedSpecimen","Plantae","Magnoliaceae","Talauma","ovata","Talauma ovata","A.St.-Hil.","J. A. Kallunki","W. R. Anderson","36210","1972","02","18","Brazil","Minas Gerais",NA,"Serra do Espinhaço; Serra do Cipo","-43.566908","-19.391522",NA,NA,"1225","1225","NY00897443","NY00897443_01","Magnoliophyta","Magnoliales",NA,"South America","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977432' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","413248","PreservedSpecimen","Plantae","Magnoliaceae","Talauma","ovata","Talauma ovata","A.St.-Hil.","P. K. H. Dusén","P. K. H. Dusén",NA,"1904","04",NA,"Brazil","Paraná","Morretes",NA,"-48.8342","-25.4769",NA,NA,NA,NA,"NY00413248","NY00413248_01","Magnoliophyta","Magnoliales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=735336' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00897431","PreservedSpecimen","Plantae","Magnoliaceae","Talauma","ovata","Talauma ovata","A.St.-Hil.","G. T. Prance","G. T. Prance","59697","1964","10","27","Brazil","Goiás","Caiapônia","Serra do Caiapó. 42 km south of Caiponia. Rio Claro.","-51.8103","-16.9569",NA,NA,NA,NA,"NY00897431","NY00897431_01","Magnoliophyta","Magnoliales",NA,"South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977373' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
