"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","798117","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","E. P. dos Santos","H. M. Fernandes","51","1997","10","15","South America","Brazil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.58","-25.88","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=255254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798117","NY00798117_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","798119","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","G. G. Hatschbach","G. G. Hatschbach","40170","1977","08","25","South America","Brazil","Paraná","Tijucas do Sul","Tabatinga","-49.1989","-25.9283",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=255256' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798119","NY00798119_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","798120","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","G. L. Smith","A. F. M. Glaziou","17062",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Rio Janeiro","-43.448386","-22.913514",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=255257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798120","NY00798120_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","798118","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Á. L. Cabrera; N. Vittet","R. Reitz","4797","1957","09","05","South America","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim, Campo Alegre","-49.2656","-26.1925","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=255255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798118","NY00798118_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:19:03-03","UFRJ","RFA","25991","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","R. L. Esteves","F. de Britto Pereira","13/51","2000","11","11",NA,"Brasil","Minas Gerais","Itamonte","1° distrito","-44.693611","-22.266944","1633","1633",NA,"Árvore, 7m de altura, 21 cm de DAP, folha cinza, comum no local","RFA37147",NA,"2001","08","12","44º41'37''W","22º16'1''S",NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:29:19-03","UFRJ","RFA","15486","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Sales, C.B. et. al","P. Occhioni","6243","1974","09","16",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Estrada Registro - Planalto, km 8","-44.5633010864258","-22.4960994720459",NA,NA,NA,"Arvoreta 8 - 10 m de altura, capítulos cremes","RFA13452",NA,"2005","08","19",NA,NA,"19648","auto",NA,NA,NA,NA
"7","2020-11-13 09:19:03-03","UFRJ","RFA","18404","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Amorim, T.A. et. al","Cézio Pereira","786","1977","08","12",NA,"Brasil","Rio de Janeiro","Itatiaia","Registro, km 4","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"RFA15515",NA,"2005","08","19",NA,NA,"19648","auto",NA,NA,NA,NA
"8","2020-02-08 08:51:01-03","NBC","NL-BOTANY","L.3667535","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera",NA,"Hatschbach GG",NA,"1966","08","12","Southern America","Brazil",NA,NA,"Est. Parana (BRASIL), Mun: S. José dos Pinhaes, Col. S. Andrade.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3667535 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3667535","NL-L3667535",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"9","2020-02-08 08:51:01-03","NBC","NL-BOTANY","WAG.1287289","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera",NA,"Hatschbach GG",NA,"1972","07","11","Southern America","Brazil",NA,NA,"Borda do Campo (mun. S. José dos Pinhaes). Paraná.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1287289 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1287289","NL-WAG1287289",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"10","2020-11-04 11:02:10-03","ESALQ","ESA","105426","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis",NA,"Aguiar, O.T.","Aguiar, O.T.",NA,"2002","03","13",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,"ESA105426","ESA105426","2002","03","17",NA,NA,"27904","auto",NA,NA,NA,NA
