"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","year","month","day","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","verbatimLongitude","verbatimLatitude","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","376596","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","minarum","Dyckia minarum","Mez","R. C. Forzza","type","A. F. Regnell","South America","Brazil","Minas Gerais","Caldas","Cidade de Caldas","-46.3858","-21.9236","sheet","Ex. herb. Regnelli Ser. 2 NO. 283 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=167124' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376596","NY00376596_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","376552","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","minarum","Dyckia minarum","Mez","R. C. Forzza",NA,"L. B. Smith","South America","Brazil","Paraná","Palmeira","Papagaio, 6 km west of Rodovia do Café turnoff","-50.13","-25.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=167126' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376552","NY00376552_01","14942","1965","01","21","900","930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","376551","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","minarum","Dyckia minarum","Mez","P. K. H. Dusén",NA,"P. K. H. Dusén","South America","Brazil","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=167123' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376551","NY00376551_01","10373","1910","10","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","376553","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","minarum","Dyckia minarum","Mez","R. C. Forzza",NA,"G. G. Hatschbach","South America","Brazil","Paraná","Tibagi","Rod. do Café, rio Capivari","-50.4133","-24.5094","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=167125' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376553","NY00376553_01","38063","1976","02","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1584225","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","minarum","Dyckia minarum","Mez","H. E. Luther",NA,"H. S. Irwin","South America","Brazil","Minas Gerais",NA,"Morro da Pedras, ca. 35 km N.E. of Patrocínio","-43.2485756","-19.9480039","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1902132' target='other'> <mi>dwc_moreinfo</mi></a>","NY01584225","NY01584225_01","25618","1970","01","29","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02448580","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","minarum","Dyckia minarum","Mez",NA,NA,"R. de Mello-Silva","South America","Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra. Cachoeira do Rolinho, a 6 km da estrada São Roque de Minas-Sacramento","-46.3657989501953","-20.2453002929688","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2635373' target='other'> <mi>dwc_moreinfo</mi></a>","NY02448580","NY02448580_01","2000","2002","11","09",NA,NA,"57119","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:25-03","PUCPR","HUCP","12759","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Dyckia","minarum","Dyckia minarum","Mez","Libsch, D",NA,"Shirata, MT",NA,"Brasil","Paraná","Quatro Barras","Estrada da Graciosa","-49.0769004821777","-25.3656005859375",NA,NA,"HUCP00004909","HUCP00004909","4253","2000","10","28",NA,NA,"17116","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:03:56-03","ESALQ","ESA","18566","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Dyckia","minarum","Dyckia minarum","Mez","Forzza, R.C.",NA,"Souza, V.C. et al.",NA,"Brasil","Minas Gerais","Ouro Branco",NA,"-43.6918983459473","-20.5207996368408",NA,NA,"ESA018566","ESA018566","8089.0","1995","03","09",NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:25:52-03","MN","R","120340","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","minarum","Dyckia minarum","Mez","Smith, L.B.",NA,"Lutz, A.",NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,"Herbário Adolpho Lutz","R010005723","R010005723","1193","1917","03","08",NA,NA,NA,NA,"1955","10",NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:25:52-03","MN","R","46471","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","minarum","Dyckia minarum","Mez","Smith, L.B.",NA,"Mello Barreto, H.L.",NA,"Brasil","Minas Gerais","Belo Horizonte",NA,"-43.937801361084","-19.9207992553711",NA,"Jardim Botânico de Bello Horizonte","R010005720","R010005720","4909","1933","04","23",NA,NA,"17082","auto","1951","09",NA,NA,NA,NA,NA,NA
"11","2021-01-14 15:25:52-03","MN","R","188107","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","minarum","Dyckia minarum","Mez","Emmerich, M.",NA,"Roppa, O.A.",NA,"Brasil","Minas Gerais","Poços de Caldas",NA,"-46.5614013671875","-21.7877998352051",NA,NA,"R010005722","R010005722","860","1966","09","18",NA,NA,"23696","auto","1967","05","30",NA,NA,NA,NA,NA
"12","2021-01-14 15:25:52-03","MN","R","116961","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","minarum","Dyckia minarum","Mez","Smith, L.B.",NA,"Santos, E.A.A. 2155; Sacco, J.C. 2361",NA,"Brasil","Paraná","Ponta Grossa","Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,"R010005721","R010005721",NA,"1964","11","17",NA,NA,"46557","auto","1969","05",NA,NA,NA,NA,NA,NA
"13","2019-11-21 14:32:46-03","UFJF","CESJ","24071","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Dyckia","minarum","Dyckia minarum","Mez.","S.M.S. Verardo",NA,"L. Krieger; et al.","América do Sul","Brasil","Minas Gerais",NA,"Parque Nacional do Caparaó",NA,NA,NA,"Terreirão, acima da cachoeira. Rupícola, em solo humoso, local ensolarado. Frutos maduroa presentes.","CESJ024071",NA,"CESJ24071","1989","04","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
