"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01392203","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","surumuensis","Trichilia surumuensis","C.DC.","T. D. Pennington","W. Milliken","544","1987","08","13","South America","Brazil","Roraima","Ilha de Maracá.","-61.6812801","3.4127113","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602170' target='other'> <mi>dwc_moreinfo</mi></a>","NY01392203","NY01392203_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01392202","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","surumuensis","Trichilia surumuensis","C.DC.","T. D. Pennington","J. J. Strudwick","3097","1981","07","18","South America","Brazil","Pará","Lageira, airstrip on Rio Maicuru.","-54.43","-0.92","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602168' target='other'> <mi>dwc_moreinfo</mi></a>","NY01392202","NY01392202_01","244","244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01392200","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","surumuensis","Trichilia surumuensis","C.DC.","T. D. Pennington","G. T. Prance","4203","1967","01","31","South America","Brazil","Roraima","Serrinha, Rio Mucajaí.","-61.1159134","2.6449627","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602166' target='other'> <mi>dwc_moreinfo</mi></a>","NY01392200","NY01392200_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01392201","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","surumuensis","Trichilia surumuensis","C.DC.","T. D. Pennington","J. Jangoux","1470","1981","07","18","South America","Brazil","Pará","Rio Maicuru, proximidades da pista de pouso do Lageiro","-54.5","-1","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1602167' target='other'> <mi>dwc_moreinfo</mi></a>","NY01392201","NY01392201_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:42:49-03","EAO","IAN","22584","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Meliaceae","Trichilia","surumuensis","Trichilia surumuensis","C.DC.",NA,"Ule, EHG","8186",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN022584","IAN022584_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:31:06-03","NBC","NL-BOTANY","U 0286328","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Trichilia","surumuensis","Trichilia surumuensis","C.DC.",NA,"Jansen-Jacobs MJ",NA,"1999","09","06","Southern America","Guyana","Upper Essequibo Region",NA,"-58.666667","3.166667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200286328 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0286328",NA,NA,NA,"Magnoliopsidae","-58.666667","3.166667","Uw36565",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:31:06-03","NBC","NL-BOTANY","U.1422965","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Trichilia","surumuensis","Trichilia surumuensis","C.DC.","Jansen-Jacobs MJ","Jansen-Jacobs MJ",NA,"1999","08","31","Southern America","Guyana","Upper Essequibo Region",NA,"-58.666667","3.166667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1422965 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1422965","NL-U1422965",NA,NA,"Magnoliopsidae","-58.666667","3.166667","U 0067322",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:31:06-03","NBC","NL-BOTANY","U 0286371","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Trichilia","surumuensis","Trichilia surumuensis","C.DC.",NA,"Jansen-Jacobs MJ; et al.",NA,NA,NA,NA,"Southern America","Guyana",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200286371 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0286371",NA,NA,NA,"Magnoliopsidae",NA,NA,"Uw34744",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:31:06-03","NBC","NL-BOTANY","U 0286370","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Trichilia","surumuensis","Trichilia surumuensis","C.DC.",NA,"Jansen-Jacobs MJ; Welle BJH ter; Raghoenandan UPD; James V; Chanderbali A",NA,"1994","01","23","Southern America","Guyana","Rupununi District","Rupununi Distr., Kanuku Mts., Crabwood Cr., Camp 2.","-59.1","3.116667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200286370 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0286370",NA,NA,NA,"Magnoliopsidae","-59.1","3.116667","Uw34739",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:31:06-03","NBC","NL-BOTANY","U.1422948","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Trichilia","surumuensis","Trichilia surumuensis","C.DC.",NA,"Jansen-Jacobs MJ; Welle BJH ter; Raghoenandan UPD; James V; Chanderbali A",NA,"1994","01","23","Southern America","Guyana","Rupununi District","Rupununi Distr., Kanuku Mts., Crabwood Cr., Camp 2.","-59.1","3.116667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1422948 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1422948","NL-U1422948",NA,NA,"Magnoliopsidae","-59.1","3.116667","U 0212966",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 10:31:06-03","NBC","NL-BOTANY","U.1422947","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Trichilia","surumuensis","Trichilia surumuensis","C.DC.",NA,"Jansen-Jacobs MJ; Welle BJH ter; Raghoenandan UPD; James V; Chanderbali A",NA,"1994","01","23","Southern America","Guyana","Rupununi District","Rupununi Distr., Kanuku Mts., Crabwood Cr., Camp 2.","-59.1","3.116667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1422947 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1422947","NL-U1422947",NA,NA,"Magnoliopsidae","-59.1","3.116667","U 0212967",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 10:31:06-03","NBC","NL-BOTANY","U.1422963","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Trichilia","surumuensis","Trichilia surumuensis","C.DC.",NA,"Jansen-Jacobs MJ",NA,"1999","09","06","Southern America","Guyana","Upper Essequibo Region",NA,"-58.666667","3.166667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1422963 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1422963","NL-U1422963",NA,NA,"Magnoliopsidae","-58.666667","3.166667","U 0067324",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 10:31:06-03","NBC","NL-BOTANY","U.1422949","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Trichilia","surumuensis","Trichilia surumuensis","C.DC.",NA,"Jansen-Jacobs MJ; Welle BJH ter; Feuillet CPGA; Hiepko PH; Skog LE; Thompso",NA,"1985","02","14","Southern America","Guyana","Upper Takutu-Upper Essequibo","Kanuku Mts., Puwib R. near 'the farm'of the Captain of Sandcreek","-59.433333","3.116667",NA,"shaded forest<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1422949 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1422949","NL-U1422949",NA,NA,"Magnoliopsidae","-59.433333","3.116667","U 0212971",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 10:31:06-03","NBC","NL-BOTANY","U.1422950","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Trichilia","surumuensis","Trichilia surumuensis","C.DC.","Pennington TD","Hoffman B; Gopaul D",NA,"1991","10","23","Southern America","Guyana","Upper Takutu-Upper Essequibo",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1422950 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1422950","NL-U1422950",NA,NA,"Magnoliopsidae",NA,NA,"U 0145943",NA,NA,NA,NA,NA,NA,NA,NA
