"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","495163","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Jacquemontia","hallieriana","Jacquemontia hallieriana","Ooststr.","M. T. Buril","R. M. Harley","22710","1980","05","27","South America","Brazil","Bahia","Serras dos Lençois. About 7-10 km along the main Seabra-Itaberaba road, W of the Lençois turning, by the Rio Mucugézinho","-41.43","-12.47","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=111460' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495163","NY00495163_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01081053","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Jacquemontia","hallieriana","Jacquemontia hallieriana","Ooststr.","M. T. Buril","W. Ganev","3226","1994","05","08","South America","Brazil","Bahia","Riacho do Piçarrão de Osmar Campos.","-41.8","-13.38","1000","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1214766' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081053","NY01081053_01","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:13:26-03","UFBA","ALCB","035485","PreservedSpecimen","Plantae","Dicotyledon",NA,"Convolvulaceae","Jacquemontia","hallieriana","Jacquemontia hallieriana","Ooststr.","Vasconcelos, LV","Guedes, ML; Stannard, B; Atkins, S; Passos Júnior, LA; Saar, E; Santos, TRM dos","PCD5803","1997","02","17","Southern America","Brasil","Bahia","Chapada Diamantina, Fazenda Pedra Grande estrada para Boninal","-41.563333","-13.005556","990","990",NA,"0,30 m. Folhas membranáceas, tomentosas. Flores alvas.",NA,NA,"Mucugê","2012","04","03","-41.563333","-13.005556",NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:34:32-03","NBC","NL-BOTANY","L.2732279","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Jacquemontia","cephalantha","Jacquemontia cephalantha","Hallier f.",NA,"Maguire B; New York Botanical Garden Andes-Brazilian Expedition",NA,"1959","12","22","Southern America","Brazil",NA,"Plants of Minas Gerais. 49 miles from Diamantina.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2732279 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2732279","NL-L2732279",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"5","2021-03-21 19:33:54-03","UFC","EAC","3660","PreservedSpecimen","Plantae","Dicotyledon",NA,"Convolvulaceae","Jacquemontia","cephalantha","Jacquemontia cephalantha","Hallier f.","Buril, M.T.","Fernandes, A.; Matos, F.J.A.","EAC3660","1978","01","30","Southern America","Brasil","Bahia","BR242","-44.9900016784668","-12.1527996063232",NA,NA,NA,"Subarbusto.","EAC0003660","EAC0003660","Barreiras","2010","04","27",NA,NA,NA,"152720","auto",NA,NA,NA
"6","2015-10-27 01:39:28-02","MNHN","RECOLNAT_MNHN_P","P03879091","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Jacquemontia","cephalantha","Jacquemontia cephalantha","(Dammer) Hallier f.","Simao-Bianchini","Glaziou, A.",NA,"1892","3","14",NA,"Brésil",NA,"Minas : Biribiry, près Diamantina",NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03879091' target='other'> <mi>dwc_moreinfo</mi></a>","P03879091","P03879091_01 P03879091_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19670",NA,NA
"7","2015-09-04 12:39:45-03","MNHN","RECOLNAT_MNHN_P","P03879092","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Jacquemontia","cephalantha","Jacquemontia cephalantha","(Dammer) Hallier f.","Simao-Bianchini","Glaziou, A.",NA,"1892","3","14",NA,"Brésil",NA,"Minas : Biribiry, près Diamantina",NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03879092' target='other'> <mi>dwc_moreinfo</mi></a>","P03879092","P03879092_01 P03879092_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19670",NA,NA
"8","2018-04-26 14:54:43-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Jacquemontia","cephalantha","Jacquemontia cephalantha","Hallier f.",NA,"Stevens, AD","9","1987","02","09","Southern America","Brazil","Distrito Federal","Fazenda Água Limpa, ca. 18 km S of center of Brasília",NA,NA,NA,NA,NA,"Shrub ca. 0,5 m tall, corolla blue-white; Cerrado vegetation","CONV015416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","2931278","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Jacquemontia","cephalantha","Jacquemontia cephalantha","Hallier f.",NA,"B. A. S. Pereira","201","1982","3","20","South America - Neotropics","Brazil","Distrito Federal","Lago Sul, margem direita, adjacencias da barra do córrego Mata Gado.",NA,NA,NA,NA,NA,NA,"US03144191","US03144191_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA
"10","2020-09-12 05:00:02-03","US","US","2544278","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Jacquemontia","cephalantha","Jacquemontia cephalantha","Hallier f.",NA,"E. P. Heringer","7893/87",NA,NA,NA,"South America - Neotropics","Brazil","Distrito Federal","Hôrto do Guará, Brasília - DF.",NA,NA,NA,NA,NA,NA,"US03144192","US03144192_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA
"11","2019-11-13 11:18:17-03","USP","SPF","119599","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Jacquemontia","hallieriana","Jacquemontia hallieriana","Ooststr.","Simão-Bianchini, R","Ganev, W","3226","1994","05","08",NA,"Brasil","Bahia",NA,"-41.8","-13.383333","1300","1300",NA,NA,"SPF00119599","SPF00119599","Abaíra","2011","02",NA,"-41.8","-13.383333",NA,NA,NA,NA,NA,NA
"12","2019-11-13 11:18:17-03","USP","SPF","119600","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Jacquemontia","hallieriana","Jacquemontia hallieriana","Ooststr.","Simão-Bianchini, R","Ganev, W","3295","1994","07","02",NA,"Brasil","Bahia",NA,"-41.85","-13.316667","1230","1230",NA,NA,"SPF00119600","SPF00119600","Abaíra","2011","02",NA,"-41.85","-13.316667",NA,NA,NA,NA,NA,NA
"13","2019-11-13 11:18:17-03","USP","SPF","39313","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Jacquemontia","hallieriana","Jacquemontia hallieriana","Ooststr.","Simão-Bianchini, R","Harley, RM","22710","1980","05","27",NA,"Brasil","Bahia","Serra dos Lençóis","-41.4","-12.466667","800","800",NA,NA,"SPF00039313","SPF00039313",NA,"2010","05",NA,"-41.4","-12.466667",NA,NA,NA,NA,NA,NA
"14","2020-07-23 12:03:49-03","CEPLAC","CEPEC","39063","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Jacquemontia","cephalantha","Jacquemontia cephalantha",NA,"Pessoal de Kew","A. M. de Carvalho","2226","1986","02","08",NA,"Brasil","Goiás","Ramal no Km 8 da estrada Anapolis p/ Corumba de Goias, 2-4Km ramal adentro.","-48.9528007507324","-16.3267002105713",NA,NA,NA,NA,NA,NA,"ANÁPOLIS",NA,NA,NA,NA,NA,NA,"31830","auto",NA,NA,"30/12/1988"
"15","2019-05-06 11:54:57-03","UFU","HUFU","32527","S","Plantae",NA,NA,"Convolvulaceae","Jacquemontia","hallieriana","Jacquemontia hallieriana","Ooststr.","Bianchi, R.","Volpi, R.L.; Romero, R.; Pacheco, R.A.; Mendonça, I.; Cruz, M.P.; Alves, A.S.S. & Carvalho, S","696","2003","05","17",NA,"Brasil","Minas Gerais","Condomínio de Pedra","-46.8539009094238","-20.343900680542",NA,NA,NA,"Subarbusto, ca. 0,4 m. Cálice verde e corola azulada.; Campo rupestre.","HUFU00050951","HUFU00050951","Delfinópolis","2004","03",NA,NA,NA,NA,"41380","auto",NA,NA,NA
"16","2019-05-06 11:54:57-03","UFU","HUFU","33203","S","Plantae",NA,NA,"Convolvulaceae","Jacquemontia","hallieriana","Jacquemontia hallieriana","Ooststr.","Bianchini, R.","Romero, R.; Nakjima, J.N.; Volpi, R.L. & Pacheco, R.A.","6307","2002","04","10",NA,"Brasil","Minas Gerais","Estrada para Casa Branca, Fazenda Paraíso.","-46.8539009094238","-20.343900680542",NA,NA,NA,"Subarbusto 0,8 m. Cálice esverdeado, corola lilás.; Campo rupestre.","HUFU00050952","HUFU00050952","Delfinópolis","2004","03",NA,NA,NA,NA,"41380","auto",NA,NA,NA
