"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","622941","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis","nesiotis","Bulbostylis nesiotis","(Hemsl.) C.B.Clarke","M. T. Strong","R. J. V. Alves","4614","1994","12","12","South America","Brazil","Espírito Santo","Ilha da Trindade. Fundo do Vale da Praia das Tartarugas, no pé do Pao de Açúcar, entre as pédras do avental de talude fonolítico.","-29.3067","-20.5186","30","30","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709959' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622941",NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02713800","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis","nesiotis","Bulbostylis nesiotis","(Hemsl.) C.B.Clarke",NA,"G. F. Simmons","3468","1924","12","21","South America","Brazil",NA,"Martin Vas Islets, So. Atl. Oc.",NA,NA,NA,"152","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3138001' target='other'> <mi>dwc_moreinfo</mi></a>","NY02713800","NY02713800_01",NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","3325010","PreservedSpecimen","Plantae",NA,"Cyperales","Cyperaceae","Bulbostylis","nesiotis","Bulbostylis nesiotis","(Hemsl.) C.B. Clarke",NA,"R. J. V. Alves & J. Becker","4614","1994","12","12","South America - Neotropics","Brazil","Espírito Santo","Ilha da Trindade, Fundo do Valeda Praia das Tartarugas, no pe do Pao de Acucar, entre as pedras do arental de talude fonolitico",NA,NA,"30",NA,NA,NA,"US02091168","US02091168_01","Monocotyledonae","1",NA,NA
"4","2020-09-12 05:00:02-03","US","US","1592683","PreservedSpecimen","Plantae",NA,"Cyperales","Cyperaceae","Bulbostylis","nesiotis","Bulbostylis nesiotis","(Hemsl.) C.B. Clarke",NA,"G. Simmons","3468",NA,NA,NA,"South America - Neotropics","Brazil","Espírito Santo","South Atlantic: Martin Vas Islets",NA,NA,NA,NA,NA,NA,"US02091169","US02091169_01","Monocotyledonae","1",NA,NA
"5","2019-11-01 15:13:38-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Cyperaceae","Bulbostylis","nesiotis","Bulbostylis nesiotis","(Hemsl.) C.B.Clarke",NA,"Rabelo, BS; Petry, GL","B.nes8","2016","02","11","Southern America","Brasil","Ilha da Trindade","Ilha da Trindade. Região pertencente à União, não vinculada a qualquer estado ou município brasileiro","-29.1929","-20.3042","601","605",NA,"Endêmica; Altura: até 40cm. Hábito: herbáceo; Vegetação com predominância de espécies herbáceas e graminosas (tal como esta) mas também com ocorrência de espécies arbóreas. Relevo: área plana. Coleta feita próxim à placa indicativa do","UB0030996","UB0030996",NA,NA,"-29.1929","-20.3042"
"6","2019-11-01 15:13:38-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Cyperaceae","Bulbostylis","nesiotis","Bulbostylis nesiotis","(Hemsl.) C.B.Clarke",NA,"Rabelo, BS; Petry, GL","B.nes9","2016","02","11","Southern America","Brasil","Ilha da Trindade","Ilha da Trindade. Região pertencente à União, não vinculada a qualquer estado ou município brasileiro.","-29.1929","-20.3042","601","605",NA,"Endêmica; Altura: até 40cm. Hábito: herbáceo; Vegetação com predominância de espécies herbáceas e graminosas (tal como esta) mas também com ocorrência de espécies arbóreas. Relevo: área plana. Coleta feita próxim à placa indicativa do","UB0031182","UB0031182",NA,NA,"-29.1929","-20.3042"
"7","2019-11-01 15:13:38-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Cyperaceae","Bulbostylis","nesiotis","Bulbostylis nesiotis","(Hemsl.) C.B.Clarke",NA,"Rabelo, BS; Petry, GL","B.nes10","2016","02","11","Southern America","Brasil","Ilha da Trindade","Ilha da Trindade. Região pertencente à União, não vinculada a qualquer estado ou município brasileiro.","-29.1929","-20.3042","603","605",NA,"Endêmica; Altura: até 40cm. Hábito: herbáceo; Vegetação com predominância de espécies herbáceas e graminosas (tal como esta) mas também com ocorrência de espécies arbóreas. Relevo: área plana. Coleta feita próxim à placa indicativa do","UB0031184","UB0031184",NA,NA,"-29.1929","-20.3042"
