"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","coordinatePrecision","individualCount","geoFlag","continentOcean","preparationType","previousCatalogNumber","class","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","typeStatus","relatedCatalogItem","sex","infraspecificEpithet"
"1","2021-04-05 14:33:19-03","UNESC","CRI","11155","PreservedSpecimen","Plantae","Asteraceae","Trixis","lessingii","Trixis lessingii","DC.","M. Sobral","2010","01","25","A. Stival-Santos; E. Legal & S. Silveira","1350","2009","11","23","Brasil","Santa Catarina","Blumenau","Área Virgem do Parque Nacioonal da Serra do Itajaí.","-49.066389","-26.92","49º3'59''W","26º55'12''S","63","63","Floresta Ombrófila Densa Habitat: borda do fragmento em ambiente alagado Habito: erva terrícola","CRI001387","CRI001387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","2791","S","Plantae","Asteraceae","Trixis","lessingii","Trixis lessingii","DC.","Carlos A. Ferreira Jr.","2013","09","10","Carlos Alberto F. Jr. ; Juliana Ordones, Clemens e Reisla","CAF1201","2013","09","09","Brasil","Minas Gerais","Catas Altas","Bocaína, Serra do Caraça","-43.4075012207031","-20.0746994018555",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Asterales","11966","2","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:37:43-03","E","E","322888","PreservedSpecimen","Plantae","Compositae","Holocheilus","hieracioides","Holocheilus hieracioides",NA,NA,NA,NA,NA,"Tweedie, John",NA,NA,NA,NA,"AR","Provincia de Buenos Aires",NA,"Buenos Ayres",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00322888 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00322888",NA,NA,NA,NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:338657",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:37:43-03","E","E","322887","PreservedSpecimen","Plantae","Compositae","Holocheilus","hieracioides","Holocheilus hieracioides",NA,NA,NA,NA,NA,"Gillies, John","109",NA,NA,NA,"AR",NA,NA,"Andes of chili - Buenos Ayres - San Luis",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00322887 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00322887",NA,NA,NA,NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:338656",NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 10:07:00-03","NY","NYBG","797801","PreservedSpecimen","Plantae","Asteraceae","Holocheilus","brasiliensis","Holocheilus brasiliensis",NA,NA,NA,NA,NA,"E. Hassler","9672","1905","11",NA,"Paraguay",NA,NA,"In regione fluminis Yhú",NA,NA,NA,NA,NA,NA,"Dr. E. Hassler, Plantae Paraguarienses-1905 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272908' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797801",NA,"Magnoliophyta","Asterales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 10:07:00-03","NY","NYBG","797793","PreservedSpecimen","Plantae","Asteraceae","Holocheilus","brasiliensis","Holocheilus brasiliensis",NA,"C. Kozera",NA,NA,NA,"C. Kozera","328","1996","11","06","Brazil","Paraná","Curitiba","Parque Barigui","-49.22","-25.37",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272903' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797793","NY00797793_01","Magnoliophyta","Asterales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","797795","PreservedSpecimen","Plantae","Asteraceae","Holocheilus","brasiliensis","Holocheilus brasiliensis","(L.) Cabrera",NA,NA,NA,NA,"P. K. H. Dusén","16588","1915","02","01","Brazil","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602",NA,NA,"740","740","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272910' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797795","NY00797795_01","Magnoliophyta","Asterales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","797796","PreservedSpecimen","Plantae","Asteraceae","Holocheilus","brasiliensis","Holocheilus brasiliensis","(L.) Cabrera",NA,NA,NA,NA,"E. Henz","35542","1946","10","30","Brazil","Rio Grande do Sul",NA,"S. Leopoldo","-51.143791","-29.75136",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797796","NY00797796_01","Magnoliophyta","Asterales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 20:22:00-03","NY","NYBG","685346","PreservedSpecimen","Plantae","Asteraceae","Holocheilus","brasiliensis","Holocheilus brasiliensis",NA,NA,NA,NA,NA,"R. A. Wasum","6321","1989","11","11","Brazil","Rio Grande do Sul","Porto Alegre","Morro da Policia.","-51.23","-30.0331",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=891750' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685346","NY00685346_01","Magnoliophyta","Asterales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 10:07:00-03","NY","NYBG","797794","PreservedSpecimen","Plantae","Asteraceae","Holocheilus","brasiliensis","Holocheilus brasiliensis",NA,NA,NA,NA,NA,"L. Scur","908","2001","10","13","Brazil","Rio Grande do Sul","Caxias do Sul","Vila Seca","-50.973769","-29.068136",NA,NA,"780","780","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272909' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797794","NY00797794_01","Magnoliophyta","Asterales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
