"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","day","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","order","fieldNumber","preparationType","yearIdentified","monthIdentified","dayIdentified","continentOcean"
"1","2021-03-31 13:41:18-03","MN","R","18441","PreservedSpecimen","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb. f.","Sampaio, A.J.","Sampaio, A.J.","4561","1926","05","Brasil","São Paulo","Amparo","-46.7599983215332","-22.7000007629395","18036","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:20:19-03","UNICAMP","UEC","172343","S","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.","Foster, W","Garcia, LC","114","2009","10","Brazil","São Paulo","Campinas","-47.55","-23.391667",NA,NA,"Liliopsida","14","DIstrito de Souzas, cond. Colinas do Atibaia, Mata ribeirão cachoeira.","-47.55","-23.391667","711","711","Epífita de 0.2m., flor e botões brancos.; Mata atlântica, floresta estacional semidecídua.","UEC016563","UEC016563",NA,NA,NA,NA,NA,NA,NA
"3","2019-11-01 15:28:32-03","PUC-RIO","FCAB","2117","PreservedSpecimen","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.","P.E. Leite S.J.","P.E. Leite S.J.","s.n.","1949","09","Brasil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"002117",NA,"Angiospermae",NA,NA,NA,NA,NA,NA
"4","2015-09-03 19:48:01-03","MNHN","RECOLNAT_MNHN_P","P00441553","PreservedSpecimen",NA,"Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.",NA,"Glaziou, A.",NA,"1886","7","Brésil",NA,NA,NA,NA,NA,NA,NA,"14","Sao Christovao",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00441553' target='other'> <mi>dwc_moreinfo</mi></a>","P00441553","P00441553_01",NA,"16374 a","hb",NA,NA,NA,NA
"5","2015-09-04 09:47:05-03","MNHN","RECOLNAT_MNHN_P","P00441554","PreservedSpecimen",NA,"Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.",NA,"Hort. Bot. Parisiensis",NA,"1908",NA,"Brésil",NA,NA,NA,NA,NA,NA,NA,NA,"cultivé à Paris, origine Brésil",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00441554' target='other'> <mi>dwc_moreinfo</mi></a>","P00441554","P00441554_01",NA,NA,"hb",NA,NA,NA,NA
"6","2020-12-11 11:44:52-03","UFMG","BHCB","169946","PreservedSpecimen","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb",NA,"Damasceno, LPS; Reis, AFS","8",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"Monocotyledon",NA,NA,NA,NA,NA,NA,"Planta de cultivo no Museu de História Natural e Jardim Botânico da UFMG número MHNJB02325.","BHCB044201",NA,NA,NA,NA,"2017","12","07","Southern America"
"7","2017-09-11 17:12:17-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.",NA,"Descourtilz, ME","s.n.",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia austro-orientali locis haud indicatis",NA,NA,NA,NA,NA,NA,"P03P6N0037",NA,NA,NA,NA,NA,NA,"Southern America"
"8","2017-09-11 17:12:17-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.",NA,"Blunt ?","s.n.",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia austro-orientali locis haud indicatis",NA,NA,NA,NA,NA,NA,"P03P6N0037",NA,NA,NA,NA,NA,NA,"Southern America"
"9","2017-09-11 17:12:17-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.",NA,"Glaziou, AFM","16374a",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia austro-orientali locis haud indicatis",NA,NA,NA,NA,NA,NA,"P03P6N0037",NA,NA,NA,NA,NA,NA,"Southern America"
"10","2017-09-11 17:12:17-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.",NA,"Descourtilz, ME","s.n.",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia austro-orientali locis haud indicatis",NA,NA,NA,NA,NA,NA,"P03P6N0037",NA,NA,NA,NA,NA,NA,"Southern America"
"11","2017-09-11 17:12:17-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.",NA,"Warming, JEB","s.n.",NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"in sylvis supra arbores ad Lagoa Santa prov. Minas Geraes",NA,NA,NA,NA,NA,NA,"P03P6N0037",NA,NA,NA,NA,NA,NA,"Southern America"
"12","2017-09-11 17:12:17-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.",NA,"Blunt ?","s.n.",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia austro-orientali locis haud indicatis",NA,NA,NA,NA,NA,NA,"P03P6N0037",NA,NA,NA,NA,NA,NA,"Southern America"
"13","2017-09-11 17:12:17-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.",NA,"Glaziou, AFM","16374?a",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in Brasilia austro-orientali locis haud indicatis",NA,NA,NA,NA,NA,NA,"P03P6N0037",NA,NA,NA,NA,NA,NA,"Southern America"
"14","2017-09-11 17:12:17-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.",NA,"Comm. Geogr.Geol. S. Paulo","3239",NA,NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"ad Pinheiros prov. S. Paulo",NA,NA,NA,NA,"Floret Septembri",NA,"P03P6N0037",NA,NA,NA,NA,NA,NA,"Southern America"
"15","2017-09-11 17:12:17-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.",NA,"Warming, JEB","s.n.",NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"in sylvis supra arbores ad Lagoa Santa prov. Minas Geraes",NA,NA,NA,NA,NA,NA,"P03P6N0037",NA,NA,NA,NA,NA,NA,"Southern America"
"16","2017-09-11 17:12:17-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.",NA,"Comm. Geogr.Geol. S. Paulo","3239?",NA,NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"ad Pinheiros prov. S. Paulo",NA,NA,NA,NA,"Floret Septembri",NA,"P03P6N0037",NA,NA,NA,NA,NA,NA,"Southern America"
"17","2019-11-21 10:13:50-03","IBt","SP","4492","S","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.","Hoehne, FC","Hoehne, FC","s.n.",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"Proc. ignorada. Cultivada no Horto do Museu Paulista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-21 10:13:50-03","IBt","SP","27261","S","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.",NA,"Edwall, G","CGG3239","1895","10","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,"SP029843","SP029843",NA,NA,NA,NA,NA,NA,NA
"19","2019-11-21 10:13:50-03","IBt","SP","167554","S","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.",NA,"Souza, S","s.n.","1963","10","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,"16","Instituto de Botânica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-21 10:13:50-03","IBt","SP","59132","S","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.","Handro, O","Handro, O","191","1950","10","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,"02","Jardim Botânico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1961","10",NA,NA
"21","2019-11-21 10:13:50-03","IBt","SP","99418","S","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.","Handro, O","Faria, R; Fonseca, OG","s.n.","1966","11","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,"23","Parque do Estado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1968","03",NA,NA
"22","2019-11-21 10:13:50-03","IBt","SP","174987","S","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.","Barros, F","Barros, F","653","1981","11","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,"10","Parque Estadual das Fontes do Ipiranga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1981","11",NA,NA
"23","2019-11-21 10:13:50-03","IBt","SP","24489","S","Plantae","Orchidaceae","Saundersia","mirabilis","Saundersia mirabilis","Rchb.f.","Barros, F","Hoehne, FC","s.n.","1929","11","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,"15","Vila Conceição",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1981",NA,NA,NA
