"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1738098","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","catappifolia","Ficus catappifolia","Kunth & C.D.Bouché","L.A. Gomes","A. P. do N. Prata","2705","2011","09","08","South America","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto.","-37.4292","-11.4014","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1965895' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738098","NY01738098_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2172339","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","catappifolia","Ficus catappifolia","Kunth & C.D.Bouché",NA,"G. Martinelli","12347","1987","12","07","South America","Brazil","Pará","Óbidos","Campos de Ariramba, próximo do rio Jaramacarú","-55.7591289","-1.1645993","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2321647' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172339","NY02172339_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2172341","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","catappifolia","Ficus catappifolia","Kunth & C.D.Bouché",NA,"D. F. Austin","7023","1979","10","14","South America","Brazil","Amapá",NA,"Parque Florestal de Macapá","-51.21","-0.02","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2321649' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172341","NY02172341_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02172338","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","catappifolia","Ficus catappifolia","Kunth & C.D.Bouché",NA,"U. N. Maciel","286","1978","12","12","South America","Brazil","Pará","Santarém","Arredores de Pindobal. Capoeira,solo arenoso.","-54.7083015441895","-2.44305992126465","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2321621' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172338","NY02172338_01","205258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2172342","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","catappifolia","Ficus catappifolia","Kunth & C.D.Bouché",NA,"U. N. Maciel","286","1978","12","12","South America","Brazil","Pará","Santarém","Arredores de Pindobal. Capoeira,solo arenoso.","-54.7083015441895","-2.44305992126465","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2321650' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172342","NY02172342_01","205258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2172343","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","catappifolia","Ficus catappifolia","Kunth & C.D.Bouché",NA,"R. Vilhena","177","1978","12","09","South America","Brazil","Pará","Santarém","Belterra. Pindobal.","-54.7083015441895","-2.44305992126465","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2321651' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172343","NY02172343_01","205258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2172340","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","catappifolia","Ficus catappifolia","Kunth & C.D.Bouché",NA,"J. A. Ratter","5782","1987","03","19","South America","Brazil","Roraima","Alto Alegre","SEMA Ecological Station, Ilha de Maracá","-61.416667","3.366667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2321648' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172340","NY02172340_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:20-03","UFRJ","RFA","24348","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","catappifolia","Ficus catappifolia","Kunth & C.D.Bouché",NA,"C.M. Rizzini; M.T.M. Széchy 49","219",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Bom Jesus do Itabapoana","Fazenda São Jorge","-41.6796989440918","-21.1338996887207",NA,"Muitos frutos no chão","RFA46117",NA,"30210","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-10-18 16:26:35-02","UNEMAT","TANG","615","S","Plantae",NA,NA,"Moraceae","Ficus","catappifolia","Ficus catappifolia","Kunth & C.D.Bouché",NA,"Anônimo","s.n.","2006","06","07",NA,"Brasil","Mato Grosso","Barra do Bugres","Sítio Salobinha","-57.1810989379883","-15.0725002288818",NA,"folhas simples, alternas3m, arvoreta","TANG000000615",NA,"173387","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:45:21-03","EAO","IAN","162381","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Moraceae","Ficus","catappifolia","Ficus catappifolia","Kunth & Bouch.","Berg, CC","Oldeman, B","2365","1967","01","26",NA,"Guiana Francesa",NA,NA,"Approaugue, rives entre saut Mapaou et saut Athanasse.",NA,NA,NA,"Arbre épiphyte à latex blanc. Feuilles très charnoes. Inflorescences ou infrutescences vert.","IAN162381",NA,NA,NA,"1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
