"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","559672","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","psilostachya","Peperomia psilostachya","C.DC.","R. E. Braga","35","1959","11","06","South America","Brazil","Paraná","Serra Dourada","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559672","NY00559672_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","559683","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","psilostachya","Peperomia psilostachya","C.DC.","F. Ayala","711","1974","10","31","South America","Peru","Loreto","Dtto. Iquitos. Rio Itaya","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757770' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559683","NY00559683_01","R. Callejas Posada","Maynas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","559674","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","psilostachya","Peperomia psilostachya","C.DC.","G. G. Hatschbach","2723","1951","11","10","South America","Brazil","Paraná","Colonia Quero-Quero","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559674","NY00559674_01",NA,"Palmeira","-50.0064","-25.4294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","559677","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","psilostachya","Peperomia psilostachya angustifolia","C.DC.","A. C. Brade","19372","1948","08","31","South America","Brazil","Espírito Santo","Cachoeira de Itapemirim - Sto. Antonio","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485986' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559677","NY00559677_01",NA,NA,NA,NA,"angustifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","04123889","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","psilostachya","Peperomia psilostachya","C.DC.","G. H. H. Tate","971","1926","04",NA,"South America","Bolivia",NA,"Okara. Rio Tipuani","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4442412' target='other'> <mi>dwc_moreinfo</mi></a>","NY04123889",NA,NA,NA,NA,NA,NA,"2286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","559679","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","psilostachya","Peperomia psilostachya","C.DC.","A. P. Duarte","1703","1949","05","14","South America","Brazil","Paraná","Parque N do Ighuasu, margem do Sao Joao","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757776' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559679","NY00559679_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","559673","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","psilostachya","Peperomia psilostachya","C.DC.","G. O. A. Malme","468","1893","04",NA,"South America","Brazil","Rio Grande do Sul","Colonia Ijuhy","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757772' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559673","NY00559673_01",NA,"Ijuí","-53.9144","-28.3881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00956997","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","psilostachya","Peperomia psilostachya","C.DC.","G. G. Hatschbach","47207","1983","12","13","South America","Brazil","Mato Grosso do Sul","Rod. MT-642.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956997","NY00956997_01","R. Callejas Posada","Amambaí","-55.2256","-23.1044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-10-21 20:34:00-02","NY","NYBG","559678","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","psilostachya","Peperomia psilostachya",NA,"G. O. A. Malme","468","1892","12","17","South America","Brazil","Rio Grande do Sul","Piratiny pr. Pelotas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757775' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559678","NY00559678_01 NY00559678_02",NA,"Pelotas","-52.3422","-31.7719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4123890","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","psilostachya","Peperomia psilostachya","C.DC.","G. H. H. Tate","971","1926","04","26","South America","Bolivia",NA,"Okara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4442414' target='other'> <mi>dwc_moreinfo</mi></a>","NY04123890",NA,NA,NA,NA,NA,NA,"2286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
