"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","fieldNumber","year","month","day","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified"
"1","2015-09-03 19:48:01-03","MNHN","RECOLNAT_MNHN_P","P00441555","PreservedSpecimen","Orchidaceae","Saundersia","paniculata","Saundersia paniculata","Brade","Garay","Schwacke, C.A.W.","IV 207","1879","1","7","Brésil","Brésil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00441555' target='other'> <mi>dwc_moreinfo</mi></a>","P00441555","P00441555_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","13383",NA,"Orchidaceae","Saundersia","paniculata","Saundersia paniculata","Brade","Fraga/Nov.-2002","L. Kollmann; et al",NA,"2000","08","15","Brasil","Estação Biológica de Santa Lúcia",NA,"Fruto verde. Herb/Cultivo.","MBML013383",NA,"Plantae","3053","Espírito Santo","Santa Teresa","-40.530278","-19.971389","40W31'49","19S58'17",NA,NA,NA
"3","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","12791",NA,"Orchidaceae","Saundersia","paniculata","Saundersia paniculata","Brade",NA,"C. N. de Fraga",NA,"2000","02","02","Brasil","Divisa com Reserva de Duas Bocas",NA,"Mata Atlântica. Epífita, inflorescência pendente, flores com sépalas e pétalas castanhos e labelo branco.","MBML012791","MBML012791","Plantae","590","Espírito Santo","Cariacica","-40.4199981689453","-20.2639007568359",NA,NA,"18507","auto",NA
"4","2019-11-21 10:13:50-03","IBt","SP","247765","S","Orchidaceae","Saundersia","paniculata","Saundersia paniculata","Brade","Meneguzzo, TEC","Silva, EF",NA,"1982",NA,NA,"Brasil","Sul do Estado",NA,NA,NA,NA,"Plantae","s.n.","Bahia",NA,NA,NA,NA,NA,NA,NA,"2017"
