"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","individualCount","class","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1085717","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Astephanus","furlanii","Astephanus furlanii","Fontella","isotype","A. Furlan","686","1981","04","12","South America","Brazil","Minas Gerais","Grão Mogol, estrada de Montes Claros a Grão-Mogol, a 68 km. de Grão Mogol.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250494' target='other'> <mi>dwc_moreinfo</mi></a>","NY01085717","NY01085717_01 NY01085717_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","346059","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Astephanus","furlanii","Astephanus furlanii","Fontella","isotype","A. Furlan","CFCR11457","1981","04","12","South America","Brazil","Minas Gerais","Estrada de Montes Claros a Grao Mogol, a 68 km. de Grao Mogol.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=763099' target='other'> <mi>dwc_moreinfo</mi></a>","NY00346059","NY00346059_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:21:14-03","MN","R","209969","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Hemipogon","furlanii","Hemipogon furlanii","(Fontella) Rapini",NA,"Hatschbach, G.G. 66383; Hatschbach, M. & Barbosa, E.",NA,"1997","03","17",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Fontella, J.P.","2003","03","28","Juramento","-43.5868988037109","-16.8481006622314","19357","auto",NA,NA,NA
"4","2020-12-21 16:12:23-03","MBM","MBM","243719","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Astephanus","furlanii","Astephanus furlanii","Fontella",NA,"Furlan, A.; et al.; et al.","686","1981","04","12","Southern America","Brazil","Minas Gerais","Estrada de Montes Claros a Grão Mogol, a 68 km de Grão Mogol.",NA,"Subarbusto 30-50cm escandente. Flores róseas a alvas, corola torcida. Cerrado","MBM243719","MBM243719","Rapini, A.","1999","12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:12:23-03","MBM","MBM","347337","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Astephanus","furlanii","Astephanus furlanii","Fontella",NA,"Furlan, A.; et al.; et al.","686","1981","04","12","Southern America","Brazil","Minas Gerais","Grâo Mongol, estrada de Montes Claros a Grão-Mongol, a 68 km de Grão Mongol.",NA,"Cerrado Subarbusto 30-50 cm escandente. Flores roseas a alvas, corola torcida.","MBM347337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:31:42-03","UFMG","BHCB","52346","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Astephanus","furlanii","Astephanus furlanii","Fontella","Isotypus","Furlan, A; Cordeiro, I; Pirani, JR; Rossi, L; Amaral, MCE; Menezes, NL de","686","1981","04","12","Southern America","Brasil","Minas Gerais","estrada de Montes Claros a Grão Mogol, a 68 Km de Grão Mogol.",NA,"Subarbusto 30-50 cm escandente. Flores róseas a alvas, corola torcida.; Cerrado","BHCB000034","BHCB000034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2018-10-18 11:13:00-03","MO","MOBOT","1179210","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Morilloa","furlanii","Morilloa furlanii","(Fontella) Fontella, Goes & S. Cáceres","Holotype","Antonio Furlan|et al.","Furlan 686","1981","4","12","South America","Brazil","Minas Gerais","Estrada de Montes Claros a Gräo Mogol, a 68 km de Gräo Mogol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"8","2018-10-18 11:18:00-03","MO","MOBOT","1487220","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Morilloa","furlanii","Morilloa furlanii","(Fontella) Fontella, Goes & S. Cáceres","Isotype","Antonio Furlan|et al.","Furlan CFCR 11457","1981","4","12","South America","Brazil","Minas Gerais","Estrada de Montes Claros a Grão Mogol, a 68 km de Grão Mogol, cerrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"9","2021-02-09 18:35:42-03","USP","SPF","22621","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Astephanus","furlanii","Astephanus furlanii","Fontella","holotype","Furlan, A; Cordeiro, I; Pirani, JR; Rossi, L; Amaral, MCE; et al.","CFCR686","1981","04","12",NA,"Brasil","Minas Gerais","Estrada de Montes Claros a Grão Mogol, a 68 km de Grão Mogol. Cerrado.",NA,"Subarbusto 30-50cm escandente. Flores róseas a alvas, corola torcida.","SPF00022621","SPF00022621",NA,NA,NA,NA,"Grão Mogol","-42.8897018432617","-16.5594005584717","67219","auto",NA,NA,NA
"10","2021-03-15 18:24:41-03","USP","SPF","135142","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Hemipogon","furlanii","Hemipogon furlanii","(Fontella) Rapini",NA,"Pirani, JR","776","1999","03","13",NA,"Brasil","Minas Gerais","Serra do Catuni, Ca. 1 km de Pau d#?#Óleo em direção a Itacambira.",NA,"Trepadeira, freqüentemente lenhosa na base. Flores alvas, eventualmente violáceas. Frutos verdes.","SPF00135142",NA,"Rapini, A","1999",NA,NA,"Juramento","-43.5868988037109","-16.8481006622314","19357","auto",NA,NA,NA
"11","2019-10-07 09:13:24-03","UEFS","HUEFS","251391","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Hemipogon","furlanii","Hemipogon furlanii","(Fontella) Rapini",NA,"Bitencourt, C.","329","2016","04","18",NA,"Brasil","Minas Gerais","Estrada para Itacambira a cerca de 3 km do vilarejo Pau d'óleo, no lado esquerdo da estrada em cima de afloramentos na subida da Serra. Notava-se solo bastente assoreado no local.#?#No afloramento rochoso (espécies rupícola)",NA,NA,"HUEFS0251391",NA,NA,NA,NA,NA,"Juramento","-43.5868988037109","-16.8481006622314","19357","auto",NA,"Asteranae",NA
"12","2019-10-07 09:13:24-03","UEFS","HUEFS","241258","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Hemipogon","furlanii","Hemipogon furlanii","(Fontella) Rapini",NA,"Bitencourt, C.","329","2016","04","17",NA,"BR","Minas Gerais","Estrada para Itacamb No afloramento rochoso (espécies rupícola)",NA,NA,"HUEFS0241258",NA,NA,NA,NA,NA,"Juramento","-43.5868988037109","-16.8481006622314","19357","auto",NA,"Asteranae",NA
"13","2019-07-09 14:14:23-03","F","FMNH-SEEDPLANTS","V0077548F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Astephanus","furlanii","Astephanus furlanii",NA,"Isotype","A. Furlan & et al.","686","1981","4","12","South America","Brazil","Minas Gerais",NA,NA,NA,"V0077548F","V0077548F_01",NA,NA,NA,NA,NA,"-44","-18",NA,NA,NA,"Dicotyledoneae",NA
"14","2019-07-09 14:15:53-03","F","FMNH-SEEDPLANTS","V0419644F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Hemipogon","furlanii","Hemipogon furlanii",NA,NA,"A. Rapini","776","1999","3","13","South America","Brazil","Minas Gerais",NA,NA,NA,"V0419644F","V0419644F_01 V0419644F_02","RRC ID Flag",NA,NA,NA,NA,"-44","-18",NA,NA,NA,"Dicotyledoneae","776"
