"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","individualCount","fieldNumber","relatedCatalogItem","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","478137","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade","J. J. Wurdack","F. Segadas-Vianna","3195","1951","05","14","South America","Brazil","São Paulo","Sao José do Barreiro","Barreiro Co., Serra da Bocaina, cerca Velha","-44.5697","-22.64","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=497241' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478137","NY00478137_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","478138","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade","J. J. Wurdack","G. T. Prance","30132","1987","01","24","South America","Brazil","Rio de Janeiro","Resende","Engo. Passos-Itamonte","-44.75","-22.38","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=497242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478138","NY00478138_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1522609","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade","T. Bochorny","L. de S. Leoni","3610","1997","01","25","South America","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional. Trunqueira.","-41.837991","-20.408298","1900",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1775549' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522609","NY01522609_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","478139","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade","A. C. Brade","L. Lanstyack","256","1939","01",NA,"South America","Brazil","Rio de Janeiro","Itatiaia","Itatiaya Km. 21 (Serra Negra)","-44.5631","-22.4961",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=497239' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478139","NY00478139_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","03082308","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade",NA,"J. Baumgartz","653A","1994","01","28","South America","Brazil","Minas Gerais","Delfim Moreira","estrada para São Francisco dos Campos, ca. 1,8-5 km após a entrada ao lado do posto da Polícia Federal","-45.2799987792969","-22.5091991424561","1435","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3313385' target='other'> <mi>dwc_moreinfo</mi></a>","NY03082308",NA,"20219","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","03082309","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade",NA,"J. Baumgartz","651","1994","01","26","South America","Brazil","Rio de Janeiro","Itatiaia","Garganta do Registro, ca. 26,5 km da rodovia Presidente Dutra, atrás do bebedouro de água potável (limite dos estados do Rio de Janeiro e Minas Gerais)","-44.5633010864258","-22.4960994720459","1669","1669","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3313386' target='other'> <mi>dwc_moreinfo</mi></a>","NY03082309",NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1801075","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade","L. A. F. Santos Filho","J. M. A. Braga","4509","1997","12","03","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Macieiras, estrada para o abrigo Macieira, Mirante.","-44.5633010864258","-22.4960994720459",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2015951' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801075","NY01801075_01","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1019519","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade",NA,"J. F. A. Baumgratz","923","2007","02","06","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Garganta do Registro.","-44.658","-22.358","1670","1670","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1285956' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019519","NY01019519_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01132010","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade","B. Chiavegatto","R. C. Forzza","4359","2006","11","22","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual da Serra do Ibitipoca.","-43.7931","-21.8428",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1286899' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132010","NY01132010_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","478136","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade","J. F. A. Baumgratz","A. C. Brade","20739","1951","04","26","South America","Brazil","São Paulo","Sao José do Barreiro","Serra da Bocaina","-44.5697","-22.64","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=497240' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478136","NY00478136_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1522616","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade","T. Bochorny","L. de S. Leoni","5699","2004","04","19","South America","Brazil","Minas Gerais","Alto Caparaó","Parque Nacinoal","-41.8683013916016","-20.4333000183105","2429",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1775565' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522616","NY01522616_01","21645","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","03287792","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade",NA,"J. Meirelles","435","2010","01","24","South America","Brazil","Rio de Janeiro","Petrópolis","Parque Nacional da Serra dos Orgãos. Trilha do Pico do Alicate.","-43.1786003112793","-22.5049991607666",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3581868' target='other'> <mi>dwc_moreinfo</mi></a>","NY03287792",NA,"36524","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01874787","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade","T. Bochorny","M. Reginato","1494","2014","10","09","South America","Brazil","Rio de Janeiro","Petrópolis","P. N. da Serra dos Órgãos, Trilha para o Açu.","-43.1786003112793","-22.5049991607666",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2705197' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874787","NY01874787_01","36524","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1018764","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade",NA,"J. F. A. Baumgratz","923","2007","02","06","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Garganta do Registro.","-44.658","-22.358","1670","1670","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262386' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018764","NY01018764_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-30 12:44:23-03","EAO","IAN","191530","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade","Baumgratz, JFA","Baumgratz, JFA; Souza, MLDR; Mimura, MR","653a","1994","01","28","Southern America","Brasil","Minas Gerais","Delfim Moreira","Estrada para São Francisco dos Campos, Ca 1,8- 5 Km após a entrada ao lado do posto da Polícia Federal (1435m), Ca. 1500m alt.; em mata ombrófila de encosta, planta bem frequente no local, inclusive com indivíduos rebrotando após o corte e também se","-45.2799987792969","-22.5091991424561","1500","1500",NA,"Árvore Ca. 2,5- 7m alt., heliófilas, fuste 60cm- 2m alt., 6- 10 cm diâmetro, geralmente retos, rugosos a ásperos, castanhos a cinéreos; folhas verdes discolores; pecíolos verdes; domácias diminutase verdes; hipanto, cálice e pedicelo v","IAN191530",NA,"20219","auto","1997",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-14 13:52:05-03","IAP","PACA-AGP","114583","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade","J.F.A. Baumgratz","J.F.A. Baumgartz et al.","923","2007","02","06",NA,"Brasil","MG","Bocaina de Minas","Parque Nacional do Itatiaia, Garganta do registro, atrãs do bebedouro.","-44.566667","-22.25","1670","1670",NA,"único indivíduo no local&nf;RB 438780&nf;FLOR 41197 Fenofase: fl.","PACA114583",NA,NA,NA,"2007","Magnoliatae","44°34'W","22°15'S",NA,NA,NA,NA,NA,NA
"17","2019-08-27 13:31:06-03","IAP","PACA-AGP","114447","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade","J.F.A. Baumgratz","J.F.A. Baumgartz","653a","1994","01","28",NA,"Brasil","MG","Delfim Moreira","Esrtada para São Francisco dos Campos.","-45.2799987792969","-22.5091991424561","1500","1500",NA,"Habitat: mata ombrófila de encosta","PACA114447",NA,"20219","auto","1997","Magnoliatae",NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-21 14:39:22-03","UFJF","CESJ","70365","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade","K. Antunes","K. Antunes; L.D. Santana; C.N. Delgado; L.N. Gonçalvez","720","2017","08","01","América do Sul","Brasil","Minas Gerais","Marmelópolis","APA da Mantiqueira, Serra dos Marins, Morro do Careca","-45.239597","-22.836331","179","179",NA,"Árvore de 7,0 m de alt., em Floresta Nebular, Frutos paleáceos, (indivíduo 729 da parcela 10 da fitossociologia)","CESJ070365",NA,NA,NA,"2018",NA,"-45.239597","-22.836331","01",NA,NA,NA,NA,NA
"19","2019-11-21 14:39:22-03","UFJF","CESJ","52520","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade","R. Romero","C.N. Matozinhos; N.L. Abreu","428","2008","12","10","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Ninho da égua, Burro de Ouro","-43.8278007507324","-22.0891990661621",NA,NA,NA,"Arbusto em campo de altitude. Flores brancas, cálice verde, filetes vermelhos.","CESJ052520",NA,"20815","auto","2009",NA,NA,NA,"03",NA,NA,NA,NA,NA
"20","2019-11-21 14:39:22-03","UFJF","CESJ","65886","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade","L.L. Justino","L.L. Justino; J.H.C. Ribeiro; M.C.A. Mota; J.F.B. Pastore","140","2015","02","25","América do Sul","Brasil","Minas Gerais","Rio Preto","Trilha para o Ninho da Égua","-43.8278007507324","-22.0891990661621",NA,NA,NA,"Arvoreta 2m, no arbustal latifoliado, crescendo sob solo quartzítico. Frutos do tipo ruptídio.","CESJ065886",NA,"20815","auto","2015",NA,NA,NA,"02","25",NA,NA,NA,NA
"21","2019-11-21 14:39:22-03","UFJF","CESJ","61104","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade","L.L. Justino","D.S. Santiago; L. Menini Neto; S.G. Furtado","357","2012","12","08","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Borda da Mata de Araucária, localizada a 1.800 - 2.000 metros de altitude.","-44.8899993896484","-21.9589004516602",NA,NA,NA,"Árvore, ca. 3 m, frutos passados.","CESJ061104",NA,"29865","auto","2013",NA,NA,NA,"04",NA,NA,NA,NA,NA
"22","2019-11-21 14:39:22-03","UFJF","CESJ","53707","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade","B. Chiavegatto","D. Monteiro; et al.","427","2008","12","03","América do Sul","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Margem da BR Estrada das Flores, em direção às Prateleiras","-44.5633010864258","-22.4960994720459",NA,NA,NA,"Subarbusto saxícola, ca. 30cm altura, em gruta.Lâmina discolor nitida na adaxial, flores com cálice verde, corola branco-rósea, estames amarelados e fruto marrom. Coletado durante a disciplina Taxonomia de Campo.","CESJ053707",NA,"19648","auto","2011",NA,NA,NA,"10",NA,NA,NA,NA,NA
"23","2019-11-21 14:39:22-03","UFJF","CESJ","56667","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Huberia","nettoana","Huberia nettoana","Brade","L.L. Justino","L. Menini Neto; F.R.G. Salimena; V.A.O. Dittrich; F.S. Souza; L.C.Pereira; R.Macedo; P.H. Nobre","853","2010","07","25","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, 22º 07.779S, 44º 44.248W. 2014 m.s.m.","-44.740222","-22.138306","2014","2014",NA,"Árvore, ca. 7m alt., na floresta nebular. Flores alvas.","CESJ056667",NA,NA,NA,"2013",NA,"-44.740222","-22.138306","04",NA,NA,NA,NA,NA
