"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","coordinatePrecision","geoFlag","phylum","order","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","class","individualCount","typeStatus"
"1","2021-04-05 14:33:41-03","UNESC","CRI","12459","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","longibracteata","Goeppertia longibracteata","(Lindl.) Borchs. & Suárez","Aline Votri Guislon & Peterson T. Padilha","2017","07","17","Alexandre Medeiros","2017","04","19","Brasil","Santa Catarina","Balneário Camboriú","Praia da Barra.","-48.595556","-27.006111","48º35'44''W","27º0'22''S","Coleta 62. Habito: Herbácea","CRI010666","CRI010666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:41-03","UNESC","CRI","13764","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","longibracteata","Goeppertia longibracteata","(Lindl.) Borchs. & Suárez","Alexandre Medeiros","2017","08","16","Alexandre Medeiros","2017","08","16","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.6347007751465","-26.9906005859375",NA,NA,"Flor roxa e branca Habitat: Terrestre Habito: Herbácea","CRI012371",NA,"751","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","885893","PreservedSpecimen","Plantae","Marantaceae","Calathea","longibracteata","Calathea longibracteata","(Sweet) Lindl.","J. M. A. Braga",NA,NA,NA,"J. M. A. Braga","2003","11","13","Brazil","Rio de Janeiro","Rio de Janeiro","Parque Municipal Ecológico da Prainha, subida para o Mirante Cruzeiro do Sul, Lagoa Seca","-43.2075","-22.9031",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009030' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885893","NY00885893_01","7261",NA,NA,"Magnoliophyta","Zingiberales","South America","350","350","sheet",NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02687780","PreservedSpecimen","Plantae","Marantaceae","Calathea","longibracteata","Calathea longibracteata","(Sweet) Lindl.",NA,NA,NA,NA,"L. B. Santos","2009","11","17","Brazil","São Paulo","Botucatu","Parque Ecológico da Pavuna, da sede até a trilha a direita ate a cachoeira e volta por trilha em barranco rochoso.","-46.5111","-22.8375",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2966787' target='other'> <mi>dwc_moreinfo</mi></a>","NY02687780","NY02687780_01","469",NA,NA,"Magnoliophyta","Zingiberales","South America","750",NA,"sheet",NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02687781","PreservedSpecimen","Plantae","Marantaceae","Calathea","longibracteata","Calathea longibracteata","(Sweet) Lindl.",NA,NA,NA,NA,"L. B. Santos","2009","11","17","Brazil","São Paulo","Botucatu","Parque Ecológico da Pavuna, da sede até a trilha a direita ate a cachoeira e volta por trilha em barranco rochoso.","-46.5111","-22.8375",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2966792' target='other'> <mi>dwc_moreinfo</mi></a>","NY02687781","NY02687781_01","469",NA,NA,"Magnoliophyta","Zingiberales","South America","750",NA,"sheet",NA,NA,NA
"6","2021-01-06 11:42:36-03","UFPI-MRV","HDELTA","4916","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","longibracteata","Goeppertia longibracteata","(Lindl.) Borchs. & Suárez","De Oliveira, F.C.B.",NA,NA,NA,"De Oliveira, F.C.B.","2018","04","14","Brasil","São Paulo","Iporanga","Canhambora","-48.590278","-24.580556","48°35'25,00''W","24°34'50,00''S","<ll>dwc_commonname:</ll> Caetê liso (pacová-falso)","HDELTA004916",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:20:13-03","UFRJ","RFA","30187","PreservedSpecimen","Plantae","Marantaceae","Calathea","longibracteata","Calathea longibracteata","(Sweet) Lindl.","J. M. A. Braga","2006","04","19","F. Britto","2002","01","20","Brasil","Rio de Janeiro","Rio Claro","Distrito de Lídice","-44.1356010437012","-22.7231006622314","44º10'84''W","22º49'64''S","Arbórea, folha roxa, flor rosa, luminosidade baixa, comum no local","RFA45177",NA,"80/141","27045","auto",NA,NA,NA,"634","634",NA,NA,NA,NA
"8","2020-02-08 10:37:11-03","NBC","NL-BOTANY","U.1390885","PreservedSpecimen","Plantae","Marantaceae","Calathea","longibracteata","Calathea longibracteata","(Sweet) Lindl.",NA,NA,NA,NA,"Sucre Benjamin D","1971","10","28","Brazil",NA,NA,"Brasil, Estado da Guanabara, Restinga do Gumari.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1390885 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1390885","NL-U1390885",NA,NA,NA,NA,"Zingiberales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA
"9","2020-02-08 10:37:11-03","NBC","NL-BOTANY","U.1390886","PreservedSpecimen","Plantae","Marantaceae","Calathea","longibracteata","Calathea longibracteata","(Sweet) Lindl.",NA,NA,NA,NA,"Sucre Benjamin D","1971","10","28","Brazil",NA,NA,"Brasil, Estado da Guanabara, Restinga do Gumari.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1390886 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1390886","NL-U1390886",NA,NA,NA,NA,"Zingiberales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA
"10","2020-11-04 11:13:06-03","ESALQ","ESA","37457","PreservedSpecimen","Plantae","Marantaceae","Goeppertia","longibracteata","Goeppertia longibracteata","(Sweet) Borchs. & S. Suárez","Saka, M.N.",NA,NA,NA,"Torezan, J.M.; Arima, L.I.A.; Pimenta, J.A.; Resende, J.C.F.; Sifuentes, D.V.O.","1997","12","15","Brasil","São Paulo","Bom Sucesso de Itararé",NA,"-49.1399993896484","-24.3099994659424",NA,NA,NA,"ESA037457","ESA037457","645.0","14955","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA
