"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","order","individualCount","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber"
"1","2021-04-05 14:25:04-03","UNESC","CRI","13769","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","distichantha","Aechmea distichantha","Lem.","Alexandre Medeiros","2017","09","19","Alexandre Medeiros","665","2017","09","19","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.6347007751465","-26.9906005859375","8793","Habitat: Terrestre Habito: Herbácea","CRI012376","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","1255","S","Plantae","Bromeliaceae","Aechmea","distichantha","Aechmea distichantha","Lem.",NA,"2008","06","10","João da Silva;",NA,NA,NA,NA,"Brasil","Minas Gerais","Bom Sucesso","Beira Rio das Mortes","-44.7580986022949","-21.0331001281738","22016","254",NA,"auto","Magnoliophyta","Poales","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","1256","S","Plantae","Bromeliaceae","Aechmea","distichantha","Aechmea distichantha","Lem.",NA,"2008","06","10","João da Silva;",NA,NA,NA,NA,"Brasil","Minas Gerais","Bom Sucesso","Beira Rio das Mortes","-44.7580986022949","-21.0331001281738","22016","254",NA,"auto","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","533","S","Plantae","Bromeliaceae","Aechmea","distichantha","Aechmea distichantha","Lem.","Elton. C. M. Leme","2011","08",NA,"Elton M. C. Leme; Luiz Felipe Nevares de Carvalho; R. Bello; Moreira",NA,"1999","08",NA,"Brasil","São Paulo","Cunha","Pedra da Macela; mata de altitude","-44.9599990844727","-23.0699996948242","38855","254",NA,"auto","Magnoliophyta","Poales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","160","S","Plantae","Bromeliaceae","Aechmea","distichantha","Aechmea distichantha","Lem.","Elton. C. M. Leme","2009","05",NA,"Jones Caldas da Silva;","Silvan45",NA,NA,NA,"Brasil","Santa Catarina",NA,"Próximo a Rio Negrinho, planalto",NA,NA,NA,"254",NA,NA,"Magnoliophyta","Poales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","1139","S","Plantae","Bromeliaceae","Aechmea","distichantha","Aechmea distichantha","Lem.",NA,"2008","01","14","Marcia Bacelar;",NA,NA,NA,NA,"Brasil","Minas Gerais","Monte Verde",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Poales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","1138","S","Plantae","Bromeliaceae","Aechmea","distichantha","Aechmea distichantha","Lem.","Elton C. M. Leme","2008","04","15","Marcia Bacelar;",NA,NA,NA,NA,"Brasil","Minas Gerais","Monte Verde",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Poales","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","86","S","Plantae","Bromeliaceae","Aechmea","distichantha","Aechmea distichantha","Lem.","Elton. C. M. Leme","2011","08",NA,"Alvim Seidel;","Seidel1040",NA,NA,NA,"Brasil","Minas Gerais","Mariana",NA,"-43.4160995483398","-20.377799987793","33524","254",NA,"auto","Magnoliophyta","Poales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","376386","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","distichantha","Aechmea distichantha","Lem.","L. B. Smith",NA,NA,NA,"M. H. Nee","35548","1987","08","06","Bolivia","Santa Cruz","Florida","7 km. NNE of Los Negros, along road from Mairana to Comarapa","-64.08","-18",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376386",NA,"Magnoliophyta","Poales",NA,"South America","1250","1250","sheet","NY00376386_01",NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-28 14:47:00-03","NY","NYBG","376324","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","distichantha","Aechmea distichantha",NA,NA,NA,NA,NA,"H. Luederwaldt","12342","1912","03","01","Brazil","São Paulo","Sao Paulo","Ipiranga","-46.63","-23.5403",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376324",NA,"Magnoliophyta","Poales",NA,"South America",NA,NA,"sheet","NY00376324_01",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","376322","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","distichantha","Aechmea distichantha","Lem.","M. H. Nee",NA,NA,NA,"A. F. M. Glaziou","13245",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119062' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376322",NA,"Magnoliophyta","Poales",NA,"South America",NA,NA,"sheet","NY00376322_01",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","376325","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","distichantha","Aechmea distichantha","Lem.","E. A. Mennega; K. U. Kramer",NA,NA,NA,"J. C. Lindeman","2445","1966","09","15","Brazil","Paraná","Palmeira","Edge of plateau of second planalto 45 km W of Curitiba","-50.0064","-25.4294",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119056' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376325",NA,"Magnoliophyta","Poales",NA,"South America","1100","1100","sheet","NY00376325_01",NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-27 18:35:00-03","NY","NYBG","645840","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","distichantha","Aechmea distichantha",NA,"R. Kersten",NA,NA,NA,"R. Kersten","421","2000","11",NA,"Brazil","Paraná","Araucária","REPAR; do Rio Barigui","-49.38","-25.58",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645840",NA,"Magnoliophyta","Poales",NA,"South America",NA,NA,"sheet","NY00645840_01",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","376323","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","distichantha","Aechmea distichantha","Lem.","M. H. Nee",NA,NA,NA,"P. K. H. Dusén","10273",NA,NA,NA,"Brazil","Paraná","Piraquara","Roça Nova","-49.0631","-25.4419",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119060' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376323",NA,"Magnoliophyta","Poales",NA,"South America","950","950","sheet","NY00376323_01",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","376385","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","distichantha","Aechmea distichantha","Lem.","T. M. Pedersen",NA,NA,NA,"T. M. Pedersen","1209","1951","09","30","Argentina","Corrientes","Mburucuyá","Estancia Santa Maria",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119057' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376385",NA,"Magnoliophyta","Poales",NA,"South America",NA,NA,"sheet","NY00376385_01",NA,NA,NA,NA,NA,NA,NA,NA
