"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","locality","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","infraspecificEpithet","relationshipType","relatedCatalogItem","individualCount","typeStatus","eventTime","fieldNumber"
"1","2021-04-05 14:33:44-03","UNESC","CRI","4655","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","brasiliensis","Eugenia brasiliensis","Lam.","Marcelo R. Pasetto","2009","10","20","P. F. Padilha","1993","10","05","Brasil","Santa Catarina","Turvo","-49.681944","-28.927778","49º40'55''W","28º55'40''S","30","30","Habito: arbórea","CRI005199","CRI005199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","9662","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","brasiliensis","Eugenia brasiliensis","Lam.","A. Stival-Santos","2008","10","21","A. Stival-Santos","2008","10","21","Brasil","Santa Catarina","Jaraguá do Sul","-49.141667","-26.587222","49º8'30''W","26º35'14''S",NA,NA,NA,"CRI005200","CRI005200","143","Margem do Rio Cerro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:47-03","E","E","281710","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","brasiliensis","Eugenia brasiliensis",NA,NA,NA,NA,NA,"Hatschbach, G. & Silva, J.M.","1995","01","16","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00281710 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00281710",NA,"61564",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:292960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1017263","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","brasiliensis","Eugenia brasiliensis","Lam.",NA,NA,NA,NA,"N. D. d. Cruz","1964","02","27","Brazil","São Paulo","Ubatuba","-45.0697","-23.4303",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1204060' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017263","NY01017263_01","90","No km 252 da rodovia São Paulo-Ubatuba.","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02499269","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","brasiliensis","Eugenia brasiliensis","Lam.","M. Sobral",NA,NA,NA,"W. W. Thomas","2001","10","30","Brazil","Bahia","Aurelino Leal","-39.381867","-14.34533",NA,NA,"175","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=622971' target='other'> <mi>dwc_moreinfo</mi></a>","NY02499269","NY02499269_01","12678","11.2 km W of BR 101 on road from Aurelino Leal towards Laje do Banco","South America",NA,NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1017259","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","brasiliensis","Eugenia brasiliensis","Lam.",NA,NA,NA,NA,"A. Gehrt","1933","12",NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1204055' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017259","NY01017259_01","s.n.","Pirajussara, perto do Butantan.","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1017245","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","brasiliensis","Eugenia brasiliensis","Lam.",NA,NA,NA,NA,"L. Riedel","1824","09",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1203959' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017245","NY01017245_01","s.n.","Agua, quente.","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1017257","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","brasiliensis","Eugenia brasiliensis","Lam.",NA,NA,NA,NA,"G. Gardner","1836","08",NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1204051' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017257","NY01017257_01","44",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1017261","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","brasiliensis","Eugenia brasiliensis","Lam.",NA,NA,NA,NA,"C. Angeli","1969","10","02","Brazil","Rio de Janeiro","Rio de Janeiro","-43.264624","-22.969328",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1204058' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017261","NY01017261_01","s.n.","Guanabara. Estrada da Vista Chinesa, km 3.","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1280638","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","brasiliensis","Eugenia brasiliensis","Lam.",NA,NA,NA,NA,"R. D. Ribeiro","2009","10","16","Brazil","Rio de Janeiro","Petrópolis","-43.1786","-22.505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1615733' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280638","NY01280638_01","1313","Região do belvedere, Pedra Branca.","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
