"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","continentOcean","preparationType","barcode","imagecode","class","typeStatus","previousCatalogNumber","infraspecificEpithet","fieldNumber","individualCount","sex"
"1","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2601","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","graveolens","Solanum graveolens","Bunbury","Carlos A. Ferreira Jr.","2013","06","18","Carlos Alberto F. Jr.; Juliana Ordones","caf","2013","06","18","Brasil","Minas Gerais","Catas Altas","Tanque Grande, Caraça.","-43.4075012207031","-20.0746994018555","20º 06' 05S","43º 29' 33W","11966","1258","1258","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2692","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","graveolens","Solanum graveolens","Bunbury","Carlos A. Ferreira Jr.","2013","06","18","Carlos Alberto F. Jr.; Juliana Ordones","caf","2013","06","18","Brasil","Minas Gerais","Catas Altas","Tanque Grande, Caraça.","-43.4075012207031","-20.0746994018555","20º 06' 05S","43º 29' 33W","11966","1258","1258","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2574","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","graveolens","Solanum graveolens","Bunbury.","João Renato Stehmann","2013","03","19","Juliana Ordones Rego; Jão Renato, Clemens, Flávia",NA,"2013","03","19","Brasil","Minas Gerais","Santa Bárbara","Serra do Caraça, Caminho para o Tanque Grande","-43.4152984619141","-19.959400177002",NA,NA,"33136",NA,NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2575","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","graveolens","Solanum graveolens","Bunbury.","João Renato Stehmann","2013","03","19","Juliana Ordones Rego; Jão Renato, Clemens, Flávia",NA,"2013","03","19","Brasil","Minas Gerais","Santa Bárbara","Serra do Caraça, Caminho para o Tanque Grande","-43.4152984619141","-19.959400177002",NA,NA,"33136",NA,NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00809534","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","graveolens","Solanum graveolens","Bunbury","M. H. Nee",NA,NA,NA,"G. G. Hatschbach","31613","1973","02","15","Brazil","Minas Gerais","Conceição do Mato Dentro","Rio Conceição","-43.4247","-19.0372",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=827834' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00809534","NY00809534_01",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00809535","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","graveolens","Solanum graveolens","Bunbury","L. A. Bohs",NA,NA,NA,"G. G. Hatschbach","31613","1973","02","15","Brazil","Minas Gerais","Conceição do Mato Dentro","Rio Conceição","-43.4247","-19.0372",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=827836' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00809535","NY00809535_01",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","669145","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","graveolens","Solanum graveolens","Bunbury","M. H. Nee",NA,NA,NA,"K. B. Strier","740","1984","01","29","Brazil","Minas Gerais","Caratinga","Estaçao Biologica de Caratinga.","-41.83","-19.67",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53516' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00669145","NY00669145_01",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","669144","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","graveolens","Solanum graveolens","Bunbury","L. A. Bohs",NA,NA,NA,"L. Riedel","s.n.","1823","11",NA,"Brazil",NA,NA,"Pr. Cajón.",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53519' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00669144","NY00669144_01",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","669141","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","graveolens","Solanum graveolens","Bunbury","L. A. Bohs",NA,NA,NA,"G. G. Hatschbach","46882","1983","10","15","Brazil","Espírito Santo","Muniz Freire","Arredores.","-41.4131","-20.4644",NA,NA,NA,NA,NA,"[This specimen appears to be a duplicate. However, the two specimens are annotated differently: Solanum graveolens Bunbury and Solanum sect. Pachyphylla.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53517' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00669141","NY00669141_01",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00828475","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","graveolens","Solanum graveolens","Bunbury","L. L. Giacomin",NA,NA,NA,"G. G. Hatschbach","46882","1983","10","15","Brazil","Espírito Santo","Muniz Freire","Arredores.","-41.4131","-20.4644",NA,NA,NA,NA,NA,"[This specimen appears to be a duplicate. However, the two specimens are annotated differently: Solanum graveolens Bunbury and Solanum sect. Pachyphylla.] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=922823' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00828475",NA,NA,NA,NA,NA,NA,NA,NA
