"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:37:10-03","E","E","100499","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","gardneri","Licania gardneri","Bridgewater, S., Ratter, J.A., Filho, J.F. & Dias, T.","1999","08","11","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109881","<a href=http://data.rbge.org.uk/herb/E00100499 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:37:10-03","E","E","326665","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","gardneri","Licania gardneri","Gardner, George",NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:391170","<a href=http://data.rbge.org.uk/herb/E00326665 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00326665","paratype","2564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01240845","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","gardneri","Licania gardneri","J. A. Lombardi","2000","07","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1469526' target='other'> <mi>dwc_moreinfo</mi></a>","NY01240845",NA,"4012","Magnoliophyta","Malpighiales","(Hook.f.) Fritsch","G. T. Prance","Minas Gerais","Brazilândia de Minas, fazenda Brejão","-45.9044","-17.0733","NY01240845_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00835719","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","gardneri","Licania gardneri","G. G. Hatschbach","1997","08","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=918533' target='other'> <mi>dwc_moreinfo</mi></a>","NY00835719",NA,"67046","Magnoliophyta","Malpighiales","(Hook.f.) Fritsch",NA,"Mato Grosso","Rio Amaral, Cachoeira da Fumaça","-54.9681","-15.9656","NY00835719_01","Jaciara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","378491","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","gardneri","Licania gardneri","G. C. G. Argent","1967","10","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680611' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378491",NA,"6661","Magnoliophyta","Malpighiales","(Hook.f.) Fritsch","G. T. Prance","Mato Grosso","Expedition Base Camp, c. 2 km W of base camp","-51.77","-12.82","NY00378491_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01253147","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","gardneri","Licania gardneri","M. G. da Silva","1977","07","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1509554' target='other'> <mi>dwc_moreinfo</mi></a>","NY01253147",NA,"3269","Magnoliophyta","Malpighiales","(Hook.f.) Fritsch","G. T. Prance",NA,"Beira do rio.",NA,NA,"NY01253147_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00835777","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","gardneri","Licania gardneri","J. F. Ramos","1967","10",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=918695' target='other'> <mi>dwc_moreinfo</mi></a>","NY00835777",NA,"R & S166","Magnoliophyta","Malpighiales","(Hook.f.) Fritsch","G. T. Prance","Mato Grosso","Collected near the base camp of the expedition (c. 270 km. N of Xavantina)","-51.87","-12.9","NY00835777_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00835751","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","gardneri","Licania gardneri","M. A. Silva","1984","06","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=918689' target='other'> <mi>dwc_moreinfo</mi></a>","NY00835751",NA,"16","Magnoliophyta","Malpighiales","(Hook.f.) Fritsch","G. T. Prance","Goiás","Cachoeira Grande. Em frente ao Balneário","-50.1403","-15.9344","NY00835751_01","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00835776","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","gardneri","Licania gardneri","C. A. Cid Ferreira","1985","09","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=918691' target='other'> <mi>dwc_moreinfo</mi></a>","NY00835776",NA,"6228","Magnoliophyta","Malpighiales","(Hook.f.) Fritsch","G. T. Prance","Mato Grosso","Estr. para Porto dos Gauchos a 25 km da BR 163. Faz. Missionaria. Rio Teles Pires. Cachoeira Cachoeirao","-55.75","-11.67","NY00835776_01","Sinop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01253148","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","gardneri","Licania gardneri","M. G. da Silva","1977","07","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1509557' target='other'> <mi>dwc_moreinfo</mi></a>","NY01253148",NA,"3269","Magnoliophyta","Malpighiales","(Hook.f.) Fritsch","G. T. Prance",NA,"Beira do rio.",NA,NA,"NY01253148_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","378490","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","gardneri","Licania gardneri","L. Riedel","1824",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680610' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378490",NA,NA,"Magnoliophyta","Malpighiales","(Hook.f.) Fritsch","G. T. Prance",NA,"Brasilia",NA,NA,"NY00378490_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","378496","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","gardneri","Licania gardneri","J. G. Jardim","1996","08","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680612' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378496",NA,"886","Magnoliophyta","Malpighiales","(Hook.f.) Fritsch","G. T. Prance","Bahia","Margem do Rio Corrente nas Sete Ilhas","-44.63","-13.34","NY00378496_01","Correntina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01253149","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","gardneri","Licania gardneri","S. A. da M. Souza","1987","02","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1509561' target='other'> <mi>dwc_moreinfo</mi></a>","NY01253149",NA,"1014","Magnoliophyta","Malpighiales","(Hook.f.) Fritsch","R. T. P. Vasconcelos","Pará","Rio Xingu, Largo do Passari.","-52.7416277","-4.3220195","NY01253149_01","Altamira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00835749","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","gardneri","Licania gardneri","J. A. Rizzo","1974","09","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=918624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00835749",NA,"9963","Magnoliophyta","Malpighiales","(Hook.f.) Fritsch","G. T. Prance","Goiás","Atravessando o Rio Javaé até a Faz. S. Pedro as margens do Rio Araguaia. A 200 Mts. da sede",NA,NA,"NY00835749_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","378489","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","gardneri","Licania gardneri","L. Riedel","1824",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378489",NA,NA,"Magnoliophyta","Malpighiales","(Hook.f.) Fritsch","G. T. Prance","Mato Grosso","Cuyaba","-56.043867","-15.612755","NY00378489_01","Cuiabá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01253146","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","gardneri","Licania gardneri","N. T. da Silva","1978","08","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1509543' target='other'> <mi>dwc_moreinfo</mi></a>","NY01253146",NA,"4810","Magnoliophyta","Malpighiales","(Hook.f.) Fritsch","G. T. Prance","Pará","Rio Araguaia, Rio Inajá.",NA,NA,"NY01253146_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","378494","PreservedSpecimen","Plantae","Chrysobalanaceae","Licania","gardneri","Licania gardneri","L. Riedel","1821",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680608' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378494",NA,"1111","Magnoliophyta","Malpighiales","(Hook.f.) Fritsch","G. T. Prance",NA,"Brasilia",NA,NA,"NY00378494_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
