"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","dayIdentified","typeStatus","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","00895748","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","falcatum","Paspalum falcatum","Nees ex Steud.","G. Davidse","W. R. Anderson","36390","1972","02","20","South America","Brazil","Minas Gerais","Serra do Espinhaço, Serra do Cipó","-43.567098","-19.391463","1220","1220","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895748","NY00895748_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","761870","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","falcatum","Paspalum falcatum","Nees ex Steud.",NA,"J. R. Swallen","8353","1946","01","29","South America","Brazil","Paraná","Estacao Experimental, Ponta Grossa",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00761870","NY00761870_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","761868","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","falcatum","Paspalum falcatum","Nees ex Steud.",NA,"M. A. Chase","9928","1925","05","20","South America","Brazil","São Paulo","Campos do Jordao, Serra Mantiqueira",NA,NA,"1590","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00761868","NY00761868_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","761872","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","falcatum","Paspalum falcatum","Nees ex Steud.",NA,"L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00761872","NY00761872_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","761869","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","falcatum","Paspalum falcatum","Nees ex Steud.","E. L. Ekman","P. K. H. Dusén","7546","1909","01","17","South America","Brazil","Paraná","Rio Tibagy",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00761869","NY00761869_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00895747","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","falcatum","Paspalum falcatum","Nees ex Steud.","G. Davidse","H. S. Irwin","28833","1971","01","22","South America","Brazil","Minas Gerais","Serra do Espinhaço, lower cut over slopes of Serra da Caraça, sandy slopes near riacho, ca. 10 km W. of Barão de Cocais.","-43.4927778","-20.1263","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967486' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895747","NY00895747_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00895724","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","falcatum","Paspalum falcatum","Nees ex Steud.",NA,"P. Clausen","s.n.","1838",NA,NA,"South America","Brazil","Minas Gerais","Brésil (Minas Geraes)",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967479' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895724","NY00895724_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00895746","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","falcatum","Paspalum falcatum","Nees ex Steud.","G. Davidse","H. S. Irwin","18702","1968","01","17","South America","Brazil","Goiás","15 km N. of Corumbá de Goiás on road to Niquelândia, in valley of Rio Corumbá. Serra dos Pirineus.","-48.77","-15.8","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967484' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895746","NY00895746_01","Cocalzinho de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00895749","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","falcatum","Paspalum falcatum","Nees ex Steud.","G. Davidse","G. Davidse","10593","1976","02","25","South America","Brazil","Minas Gerais","19 km NE of the intersection of highways 381 and 459 (ca. 12 km SW of Sao Goncalo do Sapucai)",NA,NA,"870","870","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967492' target='other'> <mi>dwc_moreinfo</mi></a>","NY00895749","NY00895749_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","761873","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","falcatum","Paspalum falcatum","Nees ex Steud.","G. Davidse","H. S. Irwin","18605","1968","01","15","South America","Brazil","Goiás","15 km. N. of Corumbá de Goiás on road to Niquelândia, Goiás in valley of Rio Corumbá","-48.7757987976074","-15.7944002151489","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392516' target='other'> <mi>dwc_moreinfo</mi></a>","NY00761873","NY00761873_01","Cocalzinho de Goiás","56114","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
